PERMNO,date,Ticker,Price,Shares_outstanding,Stock_return,SP_Return,marketcap,beta
89217,2010-01-29,AAP,39.45,94631,-0.025445,-0.036974,3733192.95,0.7895267643903419
89217,2010-02-26,AAP,40.8,94631,0.03422,0.028514,3860944.8,0.7895267643903419
89217,2010-03-31,AAP,41.92,92261,0.027451,0.058796,3867581.12,0.7895267643903419
89217,2010-04-30,AAP,45.1,87853,0.075859,0.014759,3962170.3000000003,0.7895267643903419
89217,2010-05-28,AAP,51.76,87853,0.147672,-0.081976,4547271.28,0.7895267643903419
89217,2010-06-30,AAP,50.18,87418,-0.030525,-0.053882,4386635.24,0.7895267643903419
89217,2010-07-30,AAP,53.53,87418,0.06676,0.068778,4679485.54,0.7895267643903419
89217,2010-08-31,AAP,54.47,84266,0.01756,-0.047449,4589969.02,0.7895267643903419
89217,2010-09-30,AAP,58.68,84266,0.07729,0.087551,4944728.88,0.7895267643903419
89217,2010-10-29,AAP,64.98,84266,0.107362,0.036856,5475604.680000001,0.7895267643903419
89217,2010-11-30,AAP,65.99,84053,0.015543,-0.00229,5546657.47,0.7895267643903419
89217,2010-12-31,AAP,66.15,84053,0.002425,0.0653,5560105.95,0.7895267643903419
89217,2011-01-31,AAP,63.94,84053,-0.033409,0.022646,5374348.819999999,0.7895267643903419
89217,2011-02-28,AAP,62.68,81956,-0.019706,0.031957,5137002.08,0.7895267643903419
89217,2011-03-31,AAP,65.62,80060,0.046905,-0.001047,5253537.2,0.7895267643903419
89217,2011-04-29,AAP,65.46,78942,-0.002438,0.028495,5167543.319999999,0.7895267643903419
89217,2011-05-31,AAP,62.1,77855,-0.051329,-0.013501,4834795.5,0.7895267643903419
89217,2011-06-30,AAP,58.49,76637,-0.058132,-0.018258,4482498.13,0.7895267643903419
89217,2011-07-29,AAP,54.97,76637,-0.060181,-0.021474,4212735.89,0.7895267643903419
89217,2011-08-31,AAP,60.72,73734,0.104603,-0.056791,4477128.4799999995,0.7895267643903419
89217,2011-09-30,AAP,58.1,73734,-0.043149,-0.071762,4283945.4,0.7895267643903419
89217,2011-10-31,AAP,65.07,73734,0.119966,0.107723,4797871.38,0.7895267643903419
89217,2011-11-30,AAP,69.22,72446,0.063777,-0.005059,5014712.12,0.7895267643903419
89217,2011-12-30,AAP,69.63,72446,0.005923,0.008533,5044414.9799999995,0.7895267643903419
89217,2012-01-31,AAP,76.64,72446,0.100675,0.043583,5552261.44,0.7895267643903419
89217,2012-02-29,AAP,85.37,72925,0.113909,0.040589,6225607.25,0.7895267643903419
89217,2012-03-30,AAP,88.57,72925,0.037484,0.031332,6458967.249999999,0.7895267643903419
89217,2012-04-30,AAP,91.8,73241,0.036468,-0.007497,6723523.8,0.7895267643903419
89217,2012-05-31,AAP,72.94,73514,-0.205447,-0.062651,5362111.16,0.7895267643903419
89217,2012-06-29,AAP,68.22,73514,-0.064711,0.039555,5015125.08,0.7895267643903419
89217,2012-07-31,AAP,70.15,73514,0.028291,0.012598,5157007.100000001,0.7895267643903419
