iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"31-Oct-2011"
Total Net Assets,"-"
Shares Outstanding,"100,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL*","APPLE INC","Equity","0.0943","404.78","6","$2,429","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"GOOGL","GOOGLE INC CLASS A","Equity","0.3683","592.64","16","$9,482","-","Information Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"PRGO","PERRIGO COMPANY","Equity","0.0631","90.28","18","$1,625","-","Health Care","2682042","US7142901039","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.0597","69.87","22","$1,537","-","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"DGX","QUEST DIAGNOSTICS INC","Equity","0.0585","55.80","27","$1,507","-","Health Care","2702791","US74834L1008","New York Stock Exchange Inc."
"CB","CHUBB CORP","Equity","0.0807","67.05","31","$2,079","-","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"GWW","WW GRAINGER INC","Equity","0.2329","171.31","35","$5,996","-","Industrials","2380863","US3848021040","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.0514","35.80","37","$1,325","-","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.1540","101.67","39","$3,965","-","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"CELG","CELGENE CORP","Equity","0.1032","64.83","41","$2,658","-","Health Care","2182348","US1510201049","NASDAQ"
"ESRX","EXPRESS SCRIPTS INC.","Equity","0.0746","45.73","42","$1,921","-","Health Care","2326469","US3021821000","NASDAQ"
"DNB","DUN & BRADSTREET CORP","Equity","0.1298","66.86","50","$3,343","-","Industrials","2636254","US26483E1001","New York Stock Exchange Inc."
"MCK","MCKESSON CORP","Equity","0.1615","81.55","51","$4,159","-","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.2021","92.94","56","$5,205","-","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.0772","34.88","57","$1,988","-","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"EMC","EMC CORP","Equity","0.0571","24.51","60","$1,471","-","Information Technology","2295172","US2686481027","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","0.1606","57.43","72","$4,135","-","Consumer Discretionary","2367480","US3724601055","New York Stock Exchange Inc."
"WSH","WILLIS GROUP HOLDINGS PLC","Equity","0.1044","36.31","74","$2,687","-","Financials","B4XGY11","IE00B4XGY116","New York Stock Exchange Inc."
"QCI","QUALCOMM","Equity","0.1563","51.60","78","$4,025","-","Information Technology","5382468","US7475251036","Deutsche Boerse Ag"
"CLX","CLOROX","Equity","0.2080","66.94","80","$5,355","-","Consumer Staples","2204026","US1890541097","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.2794","89.92","80","$7,194","-","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","0.0746","19.01","101","$1,920","-","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","1.3195","323.59","105","$33,977","-","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"RNR","RENAISSANCERE HOLDING LTD","Equity","0.3042","68.12","115","$7,834","-","Financials","2728429","BMG7496G1033","New York Stock Exchange Inc."
"WPI","WATSON PHARMACEUTICALS","Equity","0.3260","67.16","125","$8,395","-","Health Care","2943545","US9426831031","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.2024","41.36","126","$5,211","-","Telecommunication Services","2285991","US2282271046","New York Stock Exchange Inc."
"CHD","CHURCH AND DWIGHT INC","Equity","0.2436","44.18","142","$6,274","-","Consumer Staples","2195841","US1713401024","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","0.2865","51.59","143","$7,377","-","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"EW","EDWARDS LIFESCIENCES CORP","Equity","0.4394","75.42","150","$11,313","-","Health Care","2567116","US28176E1082","New York Stock Exchange Inc."
"VISA","VISA INC","Equity","0.5614","93.26","155","$14,455","-","Information Technology","B73HHS3","US92826C8394","Spot Regulated Market - Bvb"
"IHS","IHS INC CLASS A","Equity","0.5643","83.99","173","$14,530","-","Industrials","B08L7X6","US4517341073","New York Stock Exchange Inc."
"SHW","SHERWIN WILLIAMS","Equity","0.6296","82.71","196","$16,211","-","Materials","2804211","US8243481061","New York Stock Exchange Inc."
"FTR","FRONTIER COMMUNICATIONS CORP","Equity","0.0484","6.26","199","$1,246","-","Telecommunication Services","2197933","US35906A1088","NASDAQ"
"SJM","JM SMUCKER","Equity","0.5952","77.02","199","$15,327","-","Consumer Staples","2951452","US8326964058","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.6117","77.98","202","$15,752","-","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"FDO","FAMILY DOLLAR STORES INC","Equity","0.4668","58.63","205","$12,019","-","Consumer Discretionary","2331225","US3070001090","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.7265","90.37","207","$18,707","-","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.4806","58.93","210","$12,375","-","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.3962","48.35","211","$10,202","-","Industrials","2250870","US2358511028","New York Stock Exchange Inc."
"SYMC","SYMANTEC CORP","Equity","0.1400","17.01","212","$3,606","-","Information Technology","2861078","US8715031089","NASDAQ"
"KMB","KIMBERLY CLARK CORP","Equity","0.5875","69.71","217","$15,127","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","0.6743","77.86","223","$17,363","-","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.2288","26.18","225","$5,891","-","Information Technology","2769796","US31620M1062","New York Stock Exchange Inc."
"EGN","ENERGEN CORP.","Equity","0.4344","49.06","228","$11,186","-","Energy","2012672","US29265N1081","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.6492","184.63","230","$42,465","-","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"ROST","ROSS STORES INC","Equity","0.7904","87.73","232","$20,353","-","Consumer Discretionary","2746711","US7782961038","NASDAQ"
"WIN","WINDSTREAM CORP.","Equity","0.1125","12.17","238","$2,896","-","Telecommunication Services","B180376","US97381W1045","NASDAQ"
"GILD","GILEAD SCIENCES INC","Equity","0.3932","41.66","243","$10,123","-","Health Care","2369174","US3755581036","NASDAQ"
"MMM","3M CO","Equity","0.7488","79.02","244","$19,281","-","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"INCO","INTEL CORPORATION CORP","Equity","0.2468","24.54","259","$6,356","-","Information Technology","5923652","US4581401001","Nyse Euronext - Euronext Amsterdam"
"PRE","PARTNERRE LTD","Equity","0.6403","62.22","265","$16,488","-","Financials","2671932","BMG6852T1053","New York Stock Exchange Inc."
"BAX","BAXTER INTERNATIONAL INC.","Equity","0.5765","54.98","270","$14,845","-","Health Care","4514626","US0718131099","Swiss Exchange"
"CHRW","CH ROBINSON WORLDWIDE INC","Equity","0.7523","69.43","279","$19,371","-","Industrials","2116228","US12541W2098","NASDAQ"
"DLTR","DOLLAR TREE INC","Equity","0.8757","79.96","282","$22,549","-","Consumer Discretionary","2272476","US2567461080","NASDAQ"
"LH","LABORATORY CORPORATION OF AMERICA","Equity","0.9574","83.85","294","$24,652","-","Health Care","2586122","US50540R4092","New York Stock Exchange Inc."
"HCN","HEALTH CARE REIT INC","Equity","0.6098","52.69","298","$15,702","-","Financials","2440961","US42217K1060","New York Stock Exchange Inc."
"RAI","REYNOLDS AMERICAN INC","Equity","0.4537","38.68","302","$11,681","-","Consumer Staples","2429090","US7617131062","New York Stock Exchange Inc."
"AAP","ADVANCE AUTO PARTS INC","Equity","0.7986","65.07","316","$20,562","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc."
"INTU","INTUIT INC","Equity","0.6878","53.67","330","$17,711","-","Information Technology","2459020","US4612021034","NASDAQ"
"SRCL","STERICYCLE INC","Equity","1.0939","83.58","337","$28,166","-","Industrials","2860826","US8589121081","NASDAQ"
"CPB","CAMPBELL SOUP","Equity","0.4390","33.25","340","$11,305","-","Consumer Staples","2162845","US1344291091","New York Stock Exchange Inc."
"BMC","BMC SOFTWARE INC.","Equity","0.4671","34.76","346","$12,027","-","Information Technology","2068921","US0559211000","NASDAQ"
"YUM","YUM BRANDS INC","Equity","0.7261","53.57","349","$18,696","-","Consumer Discretionary","2098876","US9884981013","New York Stock Exchange Inc."
"BCR","C R BARD INC","Equity","1.1816","85.95","354","$30,426","-","Health Care","2077905","US0673831097","New York Stock Exchange Inc."
"KMR","KINDER MORGAN MANAGEMENT","Equity","0.9261","66.24","360","$23,846","-","Energy","2758158","US49455U1007","New York Stock Exchange Inc."
"NST","NSTAR","Equity","0.6392","45.09","365","$16,458","-","Utilities","2483450","US67019E1073","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","1.0062","69.65","372","$25,910","-","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","1.0393","70.24","381","$26,761","-","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.5544","105.05","381","$40,024","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENTS INCORPORATED","Equity","0.4607","30.73","386","$11,862","-","Information Technology","2885409","US8825081040","NASDAQ"
"RTN1","RAYTHEON B","Equity","0.7036","44.19","410","$18,118","-","Industrials","7433803","US7551115071","Boerse Stuttgart"
"LOM","LOCKHEED MARTIN CORP.","Equity","1.2085","75.90","410","$31,119","-","Industrials","5335161","US5398301094","Deutsche Boerse Ag"
"PGN","PROGRESS ENERGY INC.","Equity","0.8316","52.10","411","$21,413","-","Utilities","2604206","US7432631056","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","1.3246","78.23","436","$34,108","-","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","0.7297","42.90","438","$18,790","-","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
"MKC","MCCORMICK & CO NON-VOTING INC","Equity","0.8543","48.56","453","$21,998","-","Consumer Staples","2550161","US5797802064","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","0.5087","28.60","458","$13,099","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"ABC","AMERISOURCEBERGEN CORP","Equity","0.7479","40.80","472","$19,258","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.7164","92.85","476","$44,197","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.4466","78.09","477","$37,249","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER CORP.","Equity","1.0378","55.10","485","$26,724","-","Telecommunication Services","2253608","US029912012","New York Stock Exchange Inc."
"PA9","ST PAUL TRAVELERS COS INC","Equity","1.0991","58.35","485","$28,300","-","Financials","5828263","US89417E1091","Boerse Muenchen"
"WRB","WR BERKLEY CORP","Equity","0.6719","34.81","497","$17,301","-","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.6172","30.62","519","$15,892","-","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"VRSK","VERISK ANALYTICS INC","Equity","0.7303","35.15","535","$18,805","-","Industrials","B4P9W92","US92345Y1064","NASDAQ"
"PEP","PEPSICO INC","Equity","1.3397","62.95","548","$34,497","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","0.6247","29.14","552","$16,085","-","Information Technology","2674458","US7043261079","NASDAQ"
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.7767","35.97","556","$19,999","-","Financials","2740542","BMG0450A1053","NASDAQ"
"KFT","KRAFT FOODS INC A","Equity","0.7624","35.18","558","$19,630","-","Consumer Staples","2764296","US50075N1046","NASDAQ"
