iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"30-Nov-2011"
Total Net Assets,"-"
Shares Outstanding,"100,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL*","APPLE INC","Equity","0.0880","382.20","6","$2,293","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"GOOGL","GOOGLE INC CLASS A","Equity","0.3682","599.39","16","$9,590","-","Information Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"PRGO","PERRIGO COMPANY","Equity","0.0677","97.90","18","$1,762","-","Health Care","2682042","US7142901039","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.0644","76.24","22","$1,677","-","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"DGX","QUEST DIAGNOSTICS INC","Equity","0.0608","58.66","27","$1,584","-","Health Care","2702791","US74834L1008","New York Stock Exchange Inc."
"CB","CHUBB CORP","Equity","0.0803","67.44","31","$2,091","-","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"GWW","WW GRAINGER INC","Equity","0.2512","186.90","35","$6,542","-","Industrials","2380863","US3848021040","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.0557","39.22","37","$1,451","-","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.1527","102.00","39","$3,978","-","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"CELG","CELGENE CORP","Equity","0.0993","63.08","41","$2,586","-","Health Care","2182348","US1510201049","NASDAQ"
"ESRX","EXPRESS SCRIPTS INC.","Equity","0.0736","45.65","42","$1,917","-","Health Care","2326469","US3021821000","NASDAQ"
"DNB","DUN & BRADSTREET CORP","Equity","0.1341","69.87","50","$3,494","-","Industrials","2636254","US26483E1001","New York Stock Exchange Inc."
"MCK","MCKESSON CORP","Equity","0.1592","81.31","51","$4,147","-","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.2126","98.90","56","$5,538","-","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.0785","35.85","57","$2,043","-","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"EMC","EMC CORP","Equity","0.0530","23.01","60","$1,381","-","Information Technology","2295172","US2686481027","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","0.1617","58.50","72","$4,212","-","Consumer Discretionary","2367480","US3724601055","New York Stock Exchange Inc."
"WSH","WILLIS GROUP HOLDINGS PLC","Equity","0.1002","35.26","74","$2,609","-","Financials","B4XGY11","IE00B4XGY116","New York Stock Exchange Inc."
