iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"31-Jan-2012"
Total Net Assets,"-"
Shares Outstanding,"400,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL*","APPLE INC","Equity","0.0971","456.48","23","$10,499","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"GOOGL","GOOGLE INC CLASS A","Equity","0.4077","580.11","76","$44,088","-","Information Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"DGX","QUEST DIAGNOSTICS INC","Equity","0.0580","58.08","108","$6,273","-","Health Care","2702791","US74834L1008","New York Stock Exchange Inc."
"CB","CHUBB CORP","Equity","0.0773","67.41","124","$8,359","-","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"AG4","ALLERGAN","Equity","0.1138","87.91","140","$12,307","-","Health Care","5793208","US0184901025","Boerse Berlin"
"HD","HOME DEPOT INC","Equity","0.0607","44.39","148","$6,570","-","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.1561","106.20","159","$16,886","-","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"DNB","DUN & BRADSTREET CORP","Equity","0.1531","82.81","200","$16,562","-","Industrials","2636254","US26483E1001","New York Stock Exchange Inc."
"MCK","MCKESSON CORP","Equity","0.1541","81.72","204","$16,671","-","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"SJM","JM SMUCKER","Equity","0.1632","78.78","224","$17,647","-","Consumer Staples","2951452","US8326964058","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.2066","99.77","224","$22,348","-","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"EMC","EMC CORP","Equity","0.0572","25.76","240","$6,182","-","Information Technology","2295172","US2686481027","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","0.1698","63.78","288","$18,369","-","Consumer Discretionary","2367480","US3724601055","New York Stock Exchange Inc."
"WSH","WILLIS GROUP HOLDINGS PLC","Equity","0.1060","38.87","295","$11,467","-","Financials","B4XGY11","IE00B4XGY116","New York Stock Exchange Inc."
"VRSN","VERISIGN INC","Equity","0.1028","37.06","300","$11,118","-","Information Technology","2142922","US92343E1029","NASDAQ"
"QCI","QUALCOMM","Equity","0.1697","58.82","312","$18,352","-","Information Technology","5382468","US7475251036","Deutsche Boerse Ag"
"SBAC","SBA COMMUNICATIONS CORP CLASS A","Equity","0.1353","45.72","320","$14,630","-","Telecommunication Services","2429294","US78388J1060","NASDAQ"
"CLX","CLOROX","Equity","0.2032","68.66","320","$21,971","-","Consumer Staples","2204026","US1890541097","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.2527","85.40","320","$27,328","-","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"MSI","MOTOROLA SOLUTIONS INC","Equity","0.1579","46.41","368","$17,079","-","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc."
