iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"29-Feb-2012"
Total Net Assets,"-"
Shares Outstanding,"500,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL*","APPLE INC","Equity","0.1139","542.44","29","$15,731","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"GOOGL","GOOGLE INC CLASS A","Equity","0.4252","618.25","95","$58,734","-","Information Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"DGX","QUEST DIAGNOSTICS INC","Equity","0.0567","58.05","135","$7,837","-","Health Care","2702791","US74834L1008","New York Stock Exchange Inc."
"CB","CHUBB CORP","Equity","0.0763","67.96","155","$10,534","-","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"AG4","ALLERGAN","Equity","0.1135","89.59","175","$15,678","-","Health Care","5793208","US0184901025","Boerse Berlin"
"HD","HOME DEPOT INC","Equity","0.0637","47.57","185","$8,800","-","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.1570","109.00","199","$21,691","-","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"DNB","DUN & BRADSTREET CORP","Equity","0.1496","82.65","250","$20,663","-","Industrials","2636254","US26483E1001","New York Stock Exchange Inc."
"MCK","MCKESSON CORP","Equity","0.1542","83.51","255","$21,295","-","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"SJM","JM SMUCKER","Equity","0.1527","75.32","280","$21,090","-","Consumer Staples","2951452","US8326964058","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.2116","104.37","280","$29,224","-","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"EMC","EMC CORP","Equity","0.0601","27.69","300","$8,307","-","Information Technology","2295172","US2686481027","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","0.1634","62.68","360","$22,565","-","Consumer Discretionary","2367480","US3724601055","New York Stock Exchange Inc."
"WSH","WILLIS GROUP HOLDINGS PLC","Equity","0.0972","35.88","374","$13,419","-","Financials","B4XGY11","IE00B4XGY116","New York Stock Exchange Inc."
"VRSN","VERISIGN INC","Equity","0.1017","36.95","380","$14,041","-","Information Technology","2142922","US92343E1029","NASDAQ"
"QCI","QUALCOMM","Equity","0.1756","62.18","390","$24,250","-","Information Technology","5382468","US7475251036","Deutsche Boerse Ag"
"CLX","CLOROX","Equity","0.1958","67.61","400","$27,044","-","Consumer Staples","2204026","US1890541097","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.2544","87.85","400","$35,140","-","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"SBAC","SBA COMMUNICATIONS CORP CLASS A","Equity","0.1376","46.93","405","$19,007","-","Telecommunication Services","2429294","US78388J1060","NASDAQ"
"MSI","MOTOROLA SOLUTIONS INC","Equity","0.1658","49.80","460","$22,908","-","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","0.0782","21.42","504","$10,796","-","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","1.4234","374.48","525","$196,602","-","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"HNZ","H.J. HEINZ CO.","Equity","0.2194","52.71","575","$30,308","-","Consumer Staples","2419240","US4230741039","New York Stock Exchange Inc."
