iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"30-Mar-2012"
Total Net Assets,"-"
Shares Outstanding,"700,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL*","APPLE INC","Equity","0.1244","599.47","41","$24,578","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"GOOGL","GOOGLE INC CLASS A","Equity","0.4382","641.24","135","$86,567","-","Information Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"DGX","QUEST DIAGNOSTICS INC","Equity","0.0585","61.15","189","$11,557","-","Health Care","2702791","US74834L1008","New York Stock Exchange Inc."
"CB","CHUBB CORP","Equity","0.0759","69.11","217","$14,997","-","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"AG4","ALLERGAN","Equity","0.1217","95.43","252","$24,048","-","Health Care","5793208","US0184901025","Boerse Berlin"
"HD","HOME DEPOT INC","Equity","0.0660","50.31","259","$13,030","-","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.1619","114.64","279","$31,985","-","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"DNB","DUN & BRADSTREET CORP","Equity","0.1501","84.73","350","$29,656","-","Industrials","2636254","US26483E1001","New York Stock Exchange Inc."
"MCK","MCKESSON CORP","Equity","0.1746","87.77","393","$34,494","-","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"SJM","JM SMUCKER","Equity","0.1643","81.36","399","$32,463","-","Consumer Staples","2951452","US8326964058","New York Stock Exchange Inc."
"EMC","EMC CORP","Equity","0.0635","29.88","420","$12,550","-","Information Technology","2295172","US2686481027","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.2044","95.23","424","$40,378","-","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","0.1601","62.75","504","$31,626","-","Consumer Discretionary","2367480","US3724601055","New York Stock Exchange Inc."
