iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"30-Apr-2012"
Total Net Assets,"-"
Shares Outstanding,"1,000,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL*","APPLE INC","Equity","0.1164","584.24","57","$33,302","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"GOOGL","GOOGLE INC CLASS A","Equity","0.4060","605.23","192","$116,204","-","Information Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"DGX","QUEST DIAGNOSTICS INC","Equity","0.0544","57.69","270","$15,576","-","Health Care","2702791","US74834L1008","New York Stock Exchange Inc."
"CB","CHUBB CORP","Equity","0.0791","73.07","310","$22,652","-","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"AG4","ALLERGAN","Equity","0.1208","96.00","360","$34,560","-","Health Care","5793208","US0184901025","Boerse Berlin"
"HD","HOME DEPOT INC","Equity","0.0666","51.79","368","$19,059","-","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.1613","115.70","399","$46,164","-","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"DNB","DUN & BRADSTREET CORP","Equity","0.1386","77.78","510","$39,668","-","Industrials","2636254","US26483E1001","New York Stock Exchange Inc."
"MCK","MCKESSON CORP","Equity","0.1654","91.41","518","$47,350","-","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.1810","91.22","568","$51,813","-","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"SJM","JM SMUCKER","Equity","0.1586","79.63","570","$45,389","-","Consumer Staples","2951452","US8326964058","New York Stock Exchange Inc."
"EMC","EMC CORP","Equity","0.0581","28.21","589","$16,616","-","Information Technology","2295172","US2686481027","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","0.1634","64.78","722","$46,771","-","Consumer Discretionary","2367480","US3724601055","New York Stock Exchange Inc."
"VRSN","VERISIGN INC","Equity","0.1038","41.11","723","$29,723","-","Information Technology","2142922","US92343E1029","NASDAQ"
"WSH","WILLIS GROUP HOLDINGS PLC","Equity","0.0967","36.46","759","$27,673","-","Financials","B4XGY11","IE00B4XGY116","New York Stock Exchange Inc."
"QCI","QUALCOMM","Equity","0.1762","63.84","790","$50,434","-","Information Technology","5382468","US7475251036","Deutsche Boerse Ag"
"RE","EVEREST RE GROUP LTD","Equity","0.2770","99.10","800","$79,280","-","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"CLX","CLOROX","Equity","0.1991","70.10","813","$56,991","-","Consumer Staples","2204026","US1890541097","New York Stock Exchange Inc."
"MSI","MOTOROLA SOLUTIONS INC","Equity","0.1475","51.03","827","$42,202","-","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc."
"SBAC","SBA COMMUNICATIONS CORP CLASS A","Equity","0.1585","53.74","844","$45,357","-","Telecommunication Services","2429294","US78388J1060","NASDAQ"
"PGR","PROGRESSIVE CORP","Equity","0.0719","21.30","966","$20,576","-","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","1.4077","396.16","1,017","$402,895","-","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"CA","CA INC","Equity","0.1069","26.42","1,158","$30,594","-","Information Technology","2214832","US12673P1057","NASDAQ"
