iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"31-May-2012"
Total Net Assets,"-"
Shares Outstanding,"2,500,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"FTR","FRONTIER COMMUNICATIONS CORP","Equity","0.0298","3.74","5,551","$20,761","-","Telecommunication Services","2197933","US35906A1088","NASDAQ"
"EMC","EMC CORP","Equity","0.0489","23.85","1,432","$34,153","-","Information Technology","2295172","US2686481027","New York Stock Exchange Inc."
"DGX","QUEST DIAGNOSTICS INC","Equity","0.0535","56.90","656","$37,326","-","Health Care","2702791","US74834L1008","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.0653","49.34","923","$45,541","-","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","0.0752","21.73","2,415","$52,478","-","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"CB","CHUBB CORP","Equity","0.0762","72.07","738","$53,188","-","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"WSH","WILLIS GROUP HOLDINGS PLC","Equity","0.0936","35.27","1,852","$65,320","-","Financials","B4XGY11","IE00B4XGY116","New York Stock Exchange Inc."
"VRSN","VERISIGN INC","Equity","0.0995","38.23","1,817","$69,464","-","Information Technology","2142922","US92343E1029","NASDAQ"
"CA","CA INC","Equity","0.1031","24.87","2,892","$71,924","-","Information Technology","2214832","US12673P1057","NASDAQ"
"SYMC","SYMANTEC CORP","Equity","0.1108","14.84","5,209","$77,302","-","Information Technology","2861078","US8715031089","NASDAQ"
"AG4","ALLERGAN","Equity","0.1116","90.25","863","$77,886","-","Health Care","5793208","US0184901025","Boerse Berlin"
"AAPL*","APPLE INC","Equity","0.1151","577.73","139","$80,304","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"DNB","DUN & BRADSTREET CORP","Equity","0.1175","67.57","1,213","$81,962","-","Industrials","2636254","US26483E1001","New York Stock Exchange Inc."
"MSI","MOTOROLA SOLUTIONS INC","Equity","0.1448","48.08","2,101","$101,016","-","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc."
"TSS","TOTAL SYSTEM SERVICES INC","Equity","0.1474","23.27","4,419","$102,830","-","Information Technology","2897697","US8919061098","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.1484","106.24","975","$103,584","-","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"SJM","JM SMUCKER","Equity","0.1534","76.56","1,398","$107,031","-","Consumer Staples","2951452","US8326964058","New York Stock Exchange Inc."
"SBAC","SBA COMMUNICATIONS CORP CLASS A","Equity","0.1546","51.95","2,077","$107,900","-","Telecommunication Services","2429294","US78388J1060","NASDAQ"
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.1548","79.27","1,363","$108,045","-","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"QCI","QUALCOMM","Equity","0.1579","57.31","1,923","$110,207","-","Information Technology","5382468","US7475251036","Deutsche Boerse Ag"
"MCK","MCKESSON CORP","Equity","0.1592","87.28","1,273","$111,107","-","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","0.1611","63.00","1,784","$112,392","-","Consumer Discretionary","2367480","US3724601055","New York Stock Exchange Inc."
"-","BLACKROCK FDS III","Cash","0.1700","1.00","118,619","$118,619","-","S-T Securities","-","-","-"
"CLX","CLOROX","Equity","0.1991","68.80","2,020","$138,976","-","Consumer Staples","2204026","US1890541097","New York Stock Exchange Inc."
"PSX","PHILLIPS 66","Equity","0.2133","30.03","4,956","$148,829","-","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"HNZ","H.J. HEINZ CO.","Equity","0.2191","53.08","2,880","$152,870","-","Consumer Staples","2419240","US4230741039","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","0.2678","52.06","3,590","$186,895","-","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"CHD","CHURCH AND DWIGHT INC","Equity","0.2695","53.24","3,533","$188,097","-","Consumer Staples","2195841","US1713401024","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.2880","102.12","1,968","$200,972","-","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"WPI","WATSON PHARMACEUTICALS","Equity","0.3036","71.29","2,972","$211,874","-","Health Care","2943545","US9426831031","New York Stock Exchange Inc."
"FRX","FOREST LABORATORIES INC","Equity","0.3179","35.00","6,338","$221,830","-","Health Care","2346508","US3458381064","New York Stock Exchange Inc."
"RNR","RENAISSANCERE HOLDING LTD","Equity","0.3183","77.07","2,882","$222,116","-","Financials","2728429","BMG7496G1033","New York Stock Exchange Inc."
"DTV","DIRECTV","Equity","0.3519","44.45","5,524","$245,542","-","Consumer Discretionary","B42SH20","US25490A1016","NASDAQ"
"TXN","TEXAS INSTRUMENTS INCORPORATED","Equity","0.3898","28.48","9,552","$272,041","-","Information Technology","2885409","US8825081040","NASDAQ"
"GOOGL","GOOGLE INC CLASS A","Equity","0.3987","580.86","479","$278,232","-","Information Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"FDO","FAMILY DOLLAR STORES INC","Equity","0.4130","67.75","4,254","$288,209","-","Consumer Discretionary","2331225","US3070001090","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.4234","49.95","5,915","$295,454","-","Health Care","2369174","US3755581036","NASDAQ"
"RAI","REYNOLDS AMERICAN INC","Equity","0.4520","41.84","7,539","$315,432","-","Consumer Staples","2429090","US7617131062","New York Stock Exchange Inc."
"EW","EDWARDS LIFESCIENCES CORP","Equity","0.4580","85.37","3,744","$319,625","-","Health Care","2567116","US28176E1082","New York Stock Exchange Inc."
"LDOS","SAIC INC","Equity","0.4778","11.11","30,009","$333,400","-","Information Technology","B1FWD42","US78390X1019","New York Stock Exchange Inc."
"BAX","BAXTER INTERNATIONAL INC.","Equity","0.4825","50.62","6,652","$336,724","-","Health Care","4514626","US0718131099","Swiss Exchange"
"PRE","PARTNERRE LTD","Equity","0.4901","70.87","4,826","$342,019","-","Financials","2671932","BMG6852T1053","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.4920","26.47","12,970","$343,316","-","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.5312","31.98","11,592","$370,712","-","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"CELG","CELGENE CORP","Equity","0.5417","68.25","5,539","$378,037","-","Health Care","2182348","US1510201049","NASDAQ"
"ACN","ACCENTURE PLC","Equity","0.5434","57.10","6,641","$379,201","-","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"CPB","CAMPBELL SOUP","Equity","0.5449","31.70","11,996","$380,273","-","Consumer Staples","2162845","US1344291091","New York Stock Exchange Inc."
"INCO","INTEL CORPORATION CORP","Equity","0.5691","25.84","15,370","$397,161","-","Information Technology","5923652","US4581401001","Nyse Euronext - Euronext Amsterdam"
"WIN","WINDSTREAM CORP.","Equity","0.5742","9.36","42,814","$400,739","-","Telecommunication Services","B180376","US97381W1045","NASDAQ"
"CHRW","CH ROBINSON WORLDWIDE INC","Equity","0.5786","58.26","6,931","$403,800","-","Industrials","2116228","US12541W2098","NASDAQ"
"ABC","AMERISOURCEBERGEN CORP","Equity","0.6016","36.99","11,349","$419,800","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc."
"IHS","IHS INC CLASS A","Equity","0.6182","98.99","4,358","$431,398","-","Industrials","B08L7X6","US4517341073","New York Stock Exchange Inc."
"PBCT","PEOPLES UNITED FINANCIAL INC","Equity","0.6194","11.63","37,168","$432,264","-","Financials","B1W41J2","US7127041058","NASDAQ"
"TJX","TJX INC","Equity","0.6342","42.46","10,423","$442,561","-","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","0.6371","79.36","5,602","$444,575","-","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"VISA","VISA INC","Equity","0.6412","115.20","3,884","$447,437","-","Information Technology","B73HHS3","US92826C8394","Spot Regulated Market - Bvb"
"PFE","PFIZER INC","Equity","0.6430","21.87","20,516","$448,685","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"HRL","HORMEL FOODS CORP","Equity","0.6490","29.91","15,143","$452,927","-","Consumer Staples","2437264","US4404521001","New York Stock Exchange Inc."
"INTU","INTUIT INC","Equity","0.6527","56.23","8,101","$455,519","-","Information Technology","2459020","US4612021034","NASDAQ"
"WRB","WR BERKLEY CORP","Equity","0.6698","38.32","12,197","$467,389","-","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"SNPS","SYNOPSYS INC","Equity","0.6706","29.55","15,836","$467,954","-","Information Technology","2867719","US8716071076","NASDAQ"
"RTN1","RAYTHEON B","Equity","0.6754","50.32","9,367","$471,347","-","Industrials","7433803","US7551115071","Boerse Stuttgart"
"AON","AON PLC","Equity","0.7074","46.50","10,617","$493,691","-","Financials","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"FISV","FISERV INC","Equity","0.7119","67.43","7,368","$496,824","-","Information Technology","2342034","US3377381088","NASDAQ"
