iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"29-Jun-2012"
Total Net Assets,"-"
Shares Outstanding,"7,000,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"-","BLACKROCK FDS III","Cash","0.0315","1.00","63,874","$63,874","-","S-T Securities","-","-","-"
"DGX","QUEST DIAGNOSTICS INC","Equity","0.0852","59.90","2,880","$172,512","-","Health Care","2702791","US74834L1008","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.0853","17.17","10,067","$172,850","-","Information Technology","2198163","US17275R1023","NASDAQ"
"HD","HOME DEPOT INC","Equity","0.0862","52.99","3,296","$174,655","-","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"YHOO","YAHOO! INC","Equity","0.0903","15.83","11,560","$182,995","-","Information Technology","2986539","US9843321061","NASDAQ"
"ANSS","ANSYS INC","Equity","0.1130","63.11","3,628","$228,963","-","Information Technology","2045623","US03662Q1058","NASDAQ"
"Y","ALLEGHANY CORP","Equity","0.1184","339.75","706","$239,864","-","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"PRGO","PERRIGO COMPANY","Equity","0.1261","117.93","2,166","$255,436","-","Health Care","2682042","US7142901039","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.1356","68.81","3,991","$274,621","-","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"CA","CA INC","Equity","0.1374","27.09","10,278","$278,431","-","Information Technology","2214832","US12673P1057","NASDAQ"
"CAH","CARDINAL HEALTH INC","Equity","0.1421","42.00","6,856","$287,952","-","Health Care","2175672","US14149Y1082","New York Stock Exchange Inc."
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity","0.1440","104.09","2,803","$291,764","-","Financials","2333931","US3137472060","New York Stock Exchange Inc."
"BIIB","BIOGEN INC","Equity","0.1448","144.38","2,032","$293,380","-","Health Care","2455965","US09062X1037","NASDAQ"
"MA","MASTERCARD INC CLASS A","Equity","0.1497","430.11","705","$303,228","-","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"MCK","MCKESSON CORP","Equity","0.1748","93.75","3,777","$354,094","-","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","0.1749","60.25","5,879","$354,210","-","Consumer Discretionary","2367480","US3724601055","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.1760","108.73","3,279","$356,526","-","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"CLX","CLOROX","Equity","0.2282","72.46","6,380","$462,295","-","Consumer Staples","2204026","US1890541097","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.2505","32.23","15,744","$507,429","-","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"WPI","WATSON PHARMACEUTICALS","Equity","0.2505","73.99","6,859","$507,497","-","Health Care","2943545","US9426831031","New York Stock Exchange Inc."
"CHD","CHURCH AND DWIGHT INC","Equity","0.2761","55.47","10,084","$559,359","-","Consumer Staples","2195841","US1713401024","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.2902","103.49","5,680","$587,823","-","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"RNR","RENAISSANCERE HOLDING LTD","Equity","0.3023","76.01","8,057","$612,413","-","Financials","2728429","BMG7496G1033","New York Stock Exchange Inc."
"FRX","FOREST LABORATORIES INC","Equity","0.3336","34.99","19,311","$675,692","-","Health Care","2346508","US3458381064","New York Stock Exchange Inc."
"K","KELLOGG","Equity","0.3361","49.33","13,801","$680,803","-","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc."
"LH","LABORATORY CORPORATION OF AMERICA","Equity","0.3364","92.61","7,359","$681,517","-","Health Care","2586122","US50540R4092","New York Stock Exchange Inc."
"CB","CHUBB CORP","Equity","0.3419","72.82","9,512","$692,664","-","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"DTV","DIRECTV","Equity","0.3998","48.82","16,591","$809,973","-","Consumer Discretionary","B42SH20","US25490A1016","NASDAQ"
"GOOGL","GOOGLE INC CLASS A","Equity","0.4172","580.07","1,457","$845,162","-","Information Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"COP","CONOCOPHILLIPS","Equity","0.4288","55.88","15,546","$868,710","-","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"HNZ","H.J. HEINZ CO.","Equity","0.4419","54.38","16,462","$895,204","-","Consumer Staples","2419240","US4230741039","New York Stock Exchange Inc."
"SBAC","SBA COMMUNICATIONS CORP CLASS A","Equity","0.4511","57.05","16,017","$913,770","-","Telecommunication Services","2429294","US78388J1060","NASDAQ"
"FDO","FAMILY DOLLAR STORES INC","Equity","0.4522","66.48","13,780","$916,094","-","Consumer Discretionary","2331225","US3070001090","New York Stock Exchange Inc."
"VRSN","VERISIGN INC","Equity","0.4695","43.57","21,831","$951,177","-","Information Technology","2142922","US92343E1029","NASDAQ"
"RAI","REYNOLDS AMERICAN INC","Equity","0.4697","44.87","21,205","$951,468","-","Consumer Staples","2429090","US7617131062","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","0.4926","54.00","18,479","$997,866","-","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.5098","34.08","30,301","$1,032,658","-","Information Technology","2769796","US31620M1062","New York Stock Exchange Inc."
"CELG","CELGENE CORP","Equity","0.5191","64.16","16,389","$1,051,518","-","Health Care","2182348","US1510201049","NASDAQ"
"MSI","MOTOROLA SOLUTIONS INC","Equity","0.5356","48.11","22,552","$1,084,977","-","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc."
"GR","GOODRICH CORP","Equity","0.5478","126.90","8,744","$1,109,614","-","Industrials","2377809","US3823881061","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC","Equity","0.5813","60.09","19,596","$1,177,524","-","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"INCO","INTEL CORPORATION CORP","Equity","0.5949","26.65","45,223","$1,205,193","-","Information Technology","5923652","US4581401001","Nyse Euronext - Euronext Amsterdam"
"TSS","TOTAL SYSTEM SERVICES INC","Equity","0.6119","23.93","51,803","$1,239,646","-","Information Technology","2897697","US8919061098","New York Stock Exchange Inc."
"DG","DOLLAR GENERAL CORP","Equity","0.6223","54.39","23,179","$1,260,706","-","Consumer Discretionary","B5B1S13","US2566771059","New York Stock Exchange Inc."
"ABC","AMERISOURCEBERGEN CORP","Equity","0.6456","39.35","33,238","$1,307,915","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.6465","42.93","30,507","$1,309,666","-","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"INTU","INTUIT INC","Equity","0.6620","59.35","22,597","$1,341,132","-","Information Technology","2459020","US4612021034","NASDAQ"
"VISA","VISA INC","Equity","0.6661","123.63","10,914","$1,349,298","-","Information Technology","B73HHS3","US92826C8394","Spot Regulated Market - Bvb"
"PA9","ST PAUL TRAVELERS COS INC","Equity","0.6702","63.84","21,268","$1,357,749","-","Financials","5828263","US89417E1091","Boerse Muenchen"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","0.6708","83.33","16,308","$1,358,946","-","Financials","2073390","US0846707026","New York Stock Exchange Inc."
