iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"31-Jul-2012"
Total Net Assets,"-"
Shares Outstanding,"11,600,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"LH","LABORATORY CORPORATION OF AMERICA","Equity","0.0194","84.09","787","$66,179","-","Health Care","2586122","US50540R4092","New York Stock Exchange Inc."
"DGX","QUEST DIAGNOSTICS INC","Equity","0.0579","58.43","3,388","$197,961","-","Health Care","2702791","US74834L1008","New York Stock Exchange Inc."
"YHOO","YAHOO! INC","Equity","0.0661","15.84","14,272","$226,068","-","Information Technology","2986539","US9843321061","NASDAQ"
"HD","HOME DEPOT INC","Equity","0.0689","52.18","4,519","$235,801","-","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"CA","CA INC","Equity","0.0986","24.07","14,009","$337,197","-","Information Technology","2214832","US12673P1057","NASDAQ"
"PRGO","PERRIGO COMPANY","Equity","0.1195","114.02","3,584","$408,648","-","Health Care","2682042","US7142901039","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.1206","345.81","1,193","$412,551","-","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"-","BLACKROCK FDS III","Cash","0.1235","1.00","422,249","$422,249","-","S-T Securities","-","-","-"
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity","0.1242","108.66","3,908","$424,643","-","Financials","2333931","US3137472060","New York Stock Exchange Inc."
"CAH","CARDINAL HEALTH INC","Equity","0.1342","43.09","10,654","$459,081","-","Health Care","2175672","US14149Y1082","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.1373","70.90","6,623","$469,571","-","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"BIIB","BIOGEN INC","Equity","0.1448","145.83","3,396","$495,239","-","Health Care","2455965","US09062X1037","NASDAQ"
"MA","MASTERCARD INC CLASS A","Equity","0.1514","436.57","1,186","$517,772","-","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","0.1554","64.03","8,300","$531,449","-","Consumer Discretionary","2367480","US3724601055","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.1557","103.76","5,131","$532,393","-","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"MCK","MCKESSON CORP","Equity","0.1749","90.73","6,594","$598,274","-","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.1814","30.20","20,549","$620,580","-","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"CLX","CLOROX","Equity","0.2002","72.71","9,415","$684,565","-","Consumer Staples","2204026","US1890541097","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.2273","33.21","23,408","$777,380","-","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"WPI","WATSON PHARMACEUTICALS","Equity","0.2507","77.83","11,016","$857,375","-","Health Care","2943545","US9426831031","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.2732","101.70","9,188","$934,420","-","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"CHD","CHURCH AND DWIGHT INC","Equity","0.2776","57.61","16,481","$949,470","-","Consumer Staples","2195841","US1713401024","New York Stock Exchange Inc."
"FRX","FOREST LABORATORIES INC","Equity","0.2897","33.55","29,536","$990,933","-","Health Care","2346508","US3458381064","New York Stock Exchange Inc."
"RNR","RENAISSANCERE HOLDING LTD","Equity","0.2909","73.99","13,448","$995,018","-","Financials","2728429","BMG7496G1033","New York Stock Exchange Inc."
"QCI","QUALCOMM","Equity","0.3174","59.68","18,190","$1,085,579","-","Information Technology","5382468","US7475251036","Deutsche Boerse Ag"
"CB","CHUBB CORP","Equity","0.3350","72.69","15,761","$1,145,667","-","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENTS INCORPORATED","Equity","0.3552","27.24","44,599","$1,214,877","-","Information Technology","2885409","US8825081040","NASDAQ"
"DTV","DIRECTV","Equity","0.3723","49.66","25,641","$1,273,332","-","Consumer Discretionary","B42SH20","US25490A1016","NASDAQ"
"BAX","BAXTER INTERNATIONAL INC.","Equity","0.3790","58.51","22,156","$1,296,348","-","Health Care","4514626","US0718131099","Swiss Exchange"
"COP","CONOCOPHILLIPS","Equity","0.3846","54.44","24,165","$1,315,543","-","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"GOOGL","GOOGLE INC CLASS A","Equity","0.4136","632.97","2,235","$1,414,688","-","Information Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"HNZ","H.J. HEINZ CO.","Equity","0.4154","55.21","25,733","$1,420,719","-","Consumer Staples","2419240","US4230741039","New York Stock Exchange Inc."
"SBAC","SBA COMMUNICATIONS CORP CLASS A","Equity","0.4296","59.06","24,878","$1,469,295","-","Telecommunication Services","2429294","US78388J1060","NASDAQ"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.4374","31.44","47,579","$1,495,884","-","Information Technology","2769796","US31620M1062","New York Stock Exchange Inc."
"VRSN","VERISIGN INC","Equity","0.4412","44.42","33,971","$1,508,992","-","Information Technology","2142922","US92343E1029","NASDAQ"
"FDO","FAMILY DOLLAR STORES INC","Equity","0.4499","66.08","23,287","$1,538,805","-","Consumer Discretionary","2331225","US3070001090","New York Stock Exchange Inc."
"LDOS","SAIC INC","Equity","0.4733","11.57","139,904","$1,618,689","-","Information Technology","B1FWD42","US78390X1019","New York Stock Exchange Inc."
"RAI","REYNOLDS AMERICAN INC","Equity","0.4757","46.27","35,165","$1,627,085","-","Consumer Staples","2429090","US7617131062","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","0.4870","54.31","30,671","$1,665,742","-","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"MSI","MOTOROLA SOLUTIONS INC","Equity","0.5045","48.34","35,694","$1,725,448","-","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc."
"CELG","CELGENE CORP","Equity","0.5186","68.46","25,910","$1,773,799","-","Health Care","2182348","US1510201049","NASDAQ"
