iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"31-Aug-2012"
Total Net Assets,"-"
Shares Outstanding,"12,100,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"-","BLACKROCK FDS III","Cash","0.0141","1.00","50,273","$50,273","-","S-T Securities","-","-","-"
"LH","LABORATORY CORPORATION OF AMERICA","Equity","0.0194","87.95","787","$69,217","-","Health Care","2586122","US50540R4092","New York Stock Exchange Inc."
"DGX","QUEST DIAGNOSTICS INC","Equity","0.0600","60.47","3,533","$213,641","-","Health Care","2702791","US74834L1008","New York Stock Exchange Inc."
"YHOO","YAHOO! INC","Equity","0.0612","14.65","14,887","$218,095","-","Information Technology","2986539","US9843321061","NASDAQ"
"HD","HOME DEPOT INC","Equity","0.0751","56.75","4,714","$267,520","-","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"CA","CA INC","Equity","0.1068","26.03","14,614","$380,402","-","Information Technology","2214832","US12673P1057","NASDAQ"
"PRGO","PERRIGO COMPANY","Equity","0.1154","109.97","3,739","$411,178","-","Health Care","2682042","US7142901039","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.1176","337.15","1,243","$419,077","-","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"CAH","CARDINAL HEALTH INC","Equity","0.1214","39.55","10,939","$432,637","-","Health Care","2175672","US14149Y1082","New York Stock Exchange Inc."
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity","0.1235","107.91","4,078","$440,057","-","Financials","2333931","US3137472060","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.1305","67.31","6,908","$464,977","-","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"BIIB","BIOGEN INC","Equity","0.1457","146.59","3,541","$519,075","-","Health Care","2455965","US09062X1037","NASDAQ"
"MA","MASTERCARD INC CLASS A","Equity","0.1467","422.90","1,236","$522,704","-","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","0.1535","63.16","8,660","$546,966","-","Consumer Discretionary","2367480","US3724601055","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.1557","105.50","5,260","$554,930","-","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"MCK","MCKESSON CORP","Equity","0.1663","87.11","6,800","$592,348","-","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.1904","31.65","21,434","$678,386","-","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"CLX","CLOROX","Equity","0.2005","72.75","9,820","$714,405","-","Consumer Staples","2204026","US1890541097","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.2342","34.17","24,418","$834,363","-","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"WPI","WATSON PHARMACEUTICALS","Equity","0.2624","81.35","11,491","$934,793","-","Health Care","2943545","US9426831031","New York Stock Exchange Inc."
"CHD","CHURCH AND DWIGHT INC","Equity","0.2641","54.74","17,191","$941,035","-","Consumer Staples","2195841","US1713401024","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.2788","103.66","9,583","$993,374","-","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"FRX","FOREST LABORATORIES INC","Equity","0.3000","34.69","30,811","$1,068,834","-","Health Care","2346508","US3458381064","New York Stock Exchange Inc."
"RNR","RENAISSANCERE HOLDING LTD","Equity","0.3041","77.25","14,028","$1,083,663","-","Financials","2728429","BMG7496G1033","New York Stock Exchange Inc."
"QCI","QUALCOMM","Equity","0.3273","61.46","18,975","$1,166,204","-","Information Technology","5382468","US7475251036","Deutsche Boerse Ag"
"CB","CHUBB CORP","Equity","0.3410","73.89","16,441","$1,214,825","-","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENTS INCORPORATED","Equity","0.3792","29.04","46,519","$1,350,912","-","Information Technology","2885409","US8825081040","NASDAQ"
"BAX","BAXTER INTERNATIONAL INC.","Equity","0.3806","58.68","23,111","$1,356,153","-","Health Care","4514626","US0718131099","Swiss Exchange"
"DTV","DIRECTV","Equity","0.3910","52.09","26,746","$1,393,199","-","Consumer Discretionary","B84LSN3","US25490A3095","NASDAQ"
"COP","CONOCOPHILLIPS","Equity","0.4017","56.79","25,205","$1,431,392","-","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"HNZ","H.J. HEINZ CO.","Equity","0.4198","55.72","26,843","$1,495,692","-","Consumer Staples","2419240","US4230741039","New York Stock Exchange Inc."
"FDO","FAMILY DOLLAR STORES INC","Equity","0.4316","63.64","24,164","$1,537,797","-","Consumer Discretionary","2331225","US3070001090","New York Stock Exchange Inc."
"SBAC","SBA COMMUNICATIONS CORP CLASS A","Equity","0.4354","59.78","25,948","$1,551,171","-","Telecommunication Services","2429294","US78388J1060","NASDAQ"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.4388","31.50","49,629","$1,563,314","-","Information Technology","2769796","US31620M1062","New York Stock Exchange Inc."
"GOOGL","GOOGLE INC CLASS A","Equity","0.4480","685.09","2,330","$1,596,260","-","Information Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"D","DOMINION RESOURCES INC","Equity","0.4712","52.48","31,991","$1,678,888","-","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"VRSN","VERISIGN INC","Equity","0.4742","47.68","35,436","$1,689,588","-","Information Technology","2142922","US92343E1029","NASDAQ"
"RAI","REYNOLDS AMERICAN INC","Equity","0.4746","46.10","36,680","$1,690,948","-","Consumer Staples","2429090","US7617131062","New York Stock Exchange Inc."
"MSI","MOTOROLA SOLUTIONS INC","Equity","0.4981","47.66","37,234","$1,774,572","-","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc."
"LDOS","SAIC INC","Equity","0.5001","12.21","145,934","$1,781,854","-","Information Technology","B1FWD42","US78390X1019","New York Stock Exchange Inc."
"INCO","INTEL CORPORATION CORP","Equity","0.5215","24.83","74,833","$1,858,103","-","Information Technology","5923652","US4581401001","Nyse Euronext - Euronext Amsterdam"
"CELG","CELGENE CORP","Equity","0.5464","72.04","27,025","$1,946,881","-","Health Care","2182348","US1510201049","NASDAQ"
"TSS","TOTAL SYSTEM SERVICES INC","Equity","0.5583","23.18","85,817","$1,989,238","-","Information Technology","2897697","US8919061098","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC","Equity","0.5594","61.60","32,358","$1,993,253","-","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"CPB","CAMPBELL SOUP","Equity","0.5763","35.14","58,432","$2,053,300","-","Consumer Staples","2162845","US1344291091","New York Stock Exchange Inc."
"DG","DOLLAR GENERAL CORP","Equity","0.5779","51.07","40,316","$2,058,938","-","Consumer Discretionary","B5B1S13","US2566771059","New York Stock Exchange Inc."
"ABC","AMERISOURCEBERGEN CORP","Equity","0.6100","38.52","56,421","$2,173,337","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc."
"INTU","INTUIT INC","Equity","0.6162","58.54","37,507","$2,195,660","-","Information Technology","2459020","US4612021034","NASDAQ"
"HRL","HORMEL FOODS CORP","Equity","0.6271","28.72","77,803","$2,234,502","-","Consumer Staples","2437264","US4404521001","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.6343","37.38","60,461","$2,260,032","-","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","0.6425","84.34","27,142","$2,289,156","-","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.6509","45.79","50,645","$2,319,035","-","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"PA9","ST PAUL TRAVELERS COS INC","Equity","0.6562","64.74","36,115","$2,338,085","-","Financials","5828263","US89417E1091","Boerse Muenchen"
"VISA","VISA INC","Equity","0.6793","128.25","18,871","$2,420,206","-","Information Technology","B73HHS3","US92826C8394","Spot Regulated Market - Bvb"
"SNPS","SYNOPSYS INC","Equity","0.7137","33.03","76,990","$2,542,980","-","Information Technology","2867719","US8716071076","NASDAQ"
"FISV","FISERV INC","Equity","0.7167","71.31","35,810","$2,553,611","-","Information Technology","2342034","US3377381088","NASDAQ"
"CL","COLGATE-PALMOLIVE","Equity","0.7454","106.31","24,981","$2,655,730","-","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"YUM","YUM BRANDS INC","Equity","0.7528","63.72","42,091","$2,682,039","-","Consumer Discretionary","2098876","US9884981013","New York Stock Exchange Inc."
"AAP","ADVANCE AUTO PARTS INC","Equity","0.7542","71.12","37,786","$2,687,340","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc."
"AON","AON PLC","Equity","0.7543","51.96","51,721","$2,687,423","-","Financials","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.7922","11.76","240,025","$2,822,694","-","Information Technology","2575818","US00507V1098","NASDAQ"
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.8042","39.91","71,799","$2,865,498","-","Financials","2740542","BMG0450A1053","NASDAQ"
"IHS","IHS INC CLASS A","Equity","0.8221","114.04","25,685","$2,929,117","-","Industrials","B08L7X6","US4517341073","New York Stock Exchange Inc."
"WIN","WINDSTREAM CORP.","Equity","0.8682","9.87","313,405","$3,093,307","-","Telecommunication Services","B180376","US97381W1045","NASDAQ"
"ORLY","OREILLY AUTOMOTIVE INC","Equity","0.8981","84.95","37,669","$3,199,982","-","Consumer Discretionary","B65LWX6","US67103H1077","NASDAQ"
"WM","WASTE MANAGEMENT INC","Equity","0.9120","34.58","93,970","$3,249,483","-","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","0.9182","43.41","75,365","$3,271,595","-","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
"SHW","SHERWIN WILLIAMS","Equity","0.9349","143.08","23,280","$3,330,902","-","Materials","2804211","US8243481061","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.9379","27.89","119,813","$3,341,585","-","Utilities","2614807","US98389B1008","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.9433","73.81","45,533","$3,360,791","-","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"MKC","MCCORMICK & CO NON-VOTING INC","Equity","0.9530","61.44","55,266","$3,395,543","-","Consumer Staples","2550161","US5797802064","New York Stock Exchange Inc."
"BCR","C R BARD INC","Equity","0.9605","98.11","34,883","$3,422,371","-","Health Care","2077905","US0673831097","New York Stock Exchange Inc."
"AG4","ALLERGAN","Equity","0.9880","86.13","40,871","$3,520,219","-","Health Care","5793208","US0184901025","Boerse Berlin"
"NEM","NEWMONT MINING CORP","Equity","1.0047","50.68","70,637","$3,579,883","-","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"WEC","WEC ENERGY GROUP INC","Equity","1.0132","37.96","95,105","$3,610,186","-","Utilities","2973995","US9766571064","New York Stock Exchange Inc."
"VRSK","VERISK ANALYTICS INC","Equity","1.0163","48.52","74,627","$3,620,902","-","Industrials","B4P9W92","US92345Y1064","NASDAQ"
"KMR","KINDER MORGAN MANAGEMENT","Equity","1.0170","74.12","48,890","$3,623,727","-","Energy","2758158","US49455U1007","New York Stock Exchange Inc."
"SRCL","STERICYCLE INC","Equity","1.0389","91.52","40,446","$3,701,618","-","Industrials","2860826","US8589121081","NASDAQ"
"TGT","TARGET CORP","Equity","1.0445","64.09","58,069","$3,721,642","-","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"ROST","ROSS STORES INC","Equity","1.0841","69.19","55,827","$3,862,670","-","Consumer Discretionary","2746711","US7782961038","NASDAQ"
"SE","SPECTRA ENERGY CORP","Equity","1.0946","28.26","138,008","$3,900,106","-","Energy","B1L60G9","US8475601097","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","1.1728","63.46","65,847","$4,178,651","-","Telecommunication Services","2285991","US2282271046","New York Stock Exchange Inc."
"KFT","KRAFT FOODS INC A","Equity","1.2106","41.53","103,859","$4,313,264","-","Consumer Staples","2764296","US50075N1046","NASDAQ"
"LOM","LOCKHEED MARTIN CORP.","Equity","1.2301","91.14","48,089","$4,382,831","-","Industrials","5335161","US5398301094","Deutsche Boerse Ag"
"BDX","BECTON DICKINSON","Equity","1.2478","75.98","58,513","$4,445,818","-","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","1.2698","361.64","12,510","$4,524,116","-","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"DLTR","DOLLAR TREE INC","Equity","1.3041","48.17","96,463","$4,646,623","-","Consumer Discretionary","2272476","US2567461080","NASDAQ"
"PFE","PFIZER INC","Equity","1.3310","23.86","198,756","$4,742,318","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","1.3621","60.62","80,057","$4,853,055","-","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.3672","89.49","54,433","$4,871,209","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.3785","67.19","73,098","$4,911,455","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.3850","194.85","25,326","$4,934,771","-","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"ECL","ECOLAB INC","Equity","1.3982","64.03","77,806","$4,981,918","-","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.3997","45.33","110,015","$4,986,980","-","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.4103","37.40","134,354","$5,024,840","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","1.4191","33.01","153,173","$5,056,241","-","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","1.4264","33.96","149,654","$5,082,250","-","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.4341","39.33","129,917","$5,109,636","-","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","1.4360","72.43","70,641","$5,116,528","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.4445","30.82","166,990","$5,146,632","-","Information Technology","2588173","US5949181045","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.4498","87.30","59,170","$5,165,541","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.4589","42.94","121,052","$5,197,973","-","Telecommunication Services","2090571","US92343V1044","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","1.4770","17.31","304,015","$5,262,500","-","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","1.4894","65.54","80,969","$5,306,708","-","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.4920","67.43","78,839","$5,316,114","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.4935","83.60","63,651","$5,321,224","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.4949","112.16","47,489","$5,326,366","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","1.5094","70.40","76,392","$5,377,997","-","Financials","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.5297","36.64","148,750","$5,450,200","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","1.5377","43.05","127,269","$5,478,930","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"CTL","CENTURYLINK INC","Equity","1.5408","42.26","129,907","$5,489,870","-","Telecommunication Services","2185046","US1567001060","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.5476","58.08","94,940","$5,514,115","-","Information Technology","2065308","US0530151036","NASDAQ"
"LLY","ELI LILLY","Equity","1.5527","44.91","123,188","$5,532,373","-","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","1.5686","33.26","168,034","$5,588,811","-","Information Technology","2674458","US7043261079","NASDAQ"
"WMT","WALMART STORES INC","Equity","1.6161","72.60","79,312","$5,758,051","-","Consumer Staples","2961280","US9311421039","Bolsa De Valores De Lima"
