iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"28-Sep-2012"
Total Net Assets,"-"
Shares Outstanding,"12,300,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"KMI","KINDER MORGAN INC","Equity","2.5035","35.52","257,579","$9,149,206","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","1.8879","64.80","106,469","$6,899,191","-","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"AGNC","AMERICAN CAPITAL AGENCY REIT CORP","Equity","1.6711","34.59","176,553","$6,106,968","-","Financials","B2R8TC5","US02503X1054","NASDAQ"
"AMGN","AMGEN INC","Equity","1.6349","84.32","70,860","$5,974,915","-","Health Care","2023607","US0311621009","NASDAQ"
"LLY","ELI LILLY","Equity","1.6033","47.41","123,587","$5,859,260","-","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.5892","73.80","78,696","$5,807,765","-","Consumer Staples","2961280","US9311421039","Bolsa De Valores De Lima"
"MRK","MERCK & CO INC","Equity","1.5861","45.10","128,528","$5,796,613","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","1.5370","33.29","168,728","$5,616,955","-","Information Technology","2674458","US7043261079","NASDAQ"
"ABT","ABBOTT LABORATORIES","Equity","1.5251","68.56","81,292","$5,573,380","-","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.5247","58.66","94,991","$5,572,172","-","Information Technology","2065308","US0530151036","NASDAQ"
"T","AT&T INC","Equity","1.5232","37.70","147,654","$5,566,556","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.5175","45.57","121,699","$5,545,823","-","Telecommunication Services","2090571","US92343V1044","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.5087","116.56","47,302","$5,513,521","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","1.5007","71.39","76,820","$5,484,180","-","Financials","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.4928","85.78","63,599","$5,455,522","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.4918","68.91","79,113","$5,451,677","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.4662","91.45","58,593","$5,358,330","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"CTL","CENTURYLINK INC","Equity","1.4377","40.40","130,055","$5,254,222","-","Telecommunication Services","2185046","US1567001060","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.4349","207.45","25,278","$5,243,921","-","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.4262","39.85","130,791","$5,212,021","-","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","1.4185","33.75","153,599","$5,183,966","-","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","1.4111","16.84","306,238","$5,157,048","-","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.4024","46.09","111,200","$5,125,208","-","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.3950","69.36","73,500","$5,097,960","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.3944","37.93","134,350","$5,095,896","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"ECL","ECOLAB INC","Equity","1.3879","64.81","78,264","$5,072,290","-","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.3781","91.75","54,891","$5,036,249","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.3770","29.78","168,987","$5,032,433","-","Information Technology","2588173","US5949181045","NASDAQ"
"PEP","PEPSICO INC","Equity","1.3659","70.77","70,536","$4,991,833","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","1.3643","33.39","149,320","$4,985,795","-","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.3569","24.85","199,543","$4,958,644","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","1.3156","59.89","80,281","$4,808,029","-","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"DLTR","DOLLAR TREE INC","Equity","1.2542","48.27","94,943","$4,583,373","-","Consumer Discretionary","2272476","US2567461080","NASDAQ"
"AZO","AUTOZONE INC","Equity","1.2503","369.67","12,360","$4,569,121","-","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"LOM","LOCKHEED MARTIN CORP.","Equity","1.2402","93.38","48,538","$4,532,478","-","Industrials","5335161","US5398301094","Deutsche Boerse Ag"
"BDX","BECTON DICKINSON","Equity","1.2265","78.56","57,054","$4,482,162","-","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","1.2023","64.10","68,547","$4,393,863","-","Telecommunication Services","2285991","US2282271046","New York Stock Exchange Inc."
"KFT","KRAFT FOODS INC A","Equity","1.1909","41.35","105,253","$4,352,212","-","-","2764296","US50075N1046","NASDAQ"
"SE","SPECTRA ENERGY CORP","Equity","1.1233","29.36","139,822","$4,105,174","-","Energy","B1L60G9","US8475601097","New York Stock Exchange Inc."
"KMR","KINDER MORGAN MANAGEMENT","Equity","1.1215","76.40","53,646","$4,098,554","-","Energy","2758158","US49455U1007","New York Stock Exchange Inc."
"NEM","NEWMONT MINING CORP","Equity","1.0951","56.01","71,452","$4,002,027","-","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"AG4","ALLERGAN","Equity","1.0455","91.58","41,722","$3,820,901","-","Health Care","5793208","US0184901025","Boerse Berlin"
"SRCL","STERICYCLE INC","Equity","1.0164","90.52","41,033","$3,714,307","-","Industrials","2860826","US8589121081","NASDAQ"
"BCR","C R BARD INC","Equity","1.0074","104.65","35,181","$3,681,692","-","Health Care","2077905","US0673831097","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","1.0069","63.47","57,975","$3,679,673","-","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"WEC","WEC ENERGY GROUP INC","Equity","0.9907","37.67","96,116","$3,620,690","-","Utilities","2973995","US9766571064","New York Stock Exchange Inc."
"VRSK","VERISK ANALYTICS INC","Equity","0.9899","47.61","75,987","$3,617,741","-","Industrials","B4P9W92","US92345Y1064","NASDAQ"
"ROST","ROSS STORES INC","Equity","0.9882","64.60","55,906","$3,611,528","-","Consumer Discretionary","2746711","US7782961038","NASDAQ"
"SHW","SHERWIN WILLIAMS","Equity","0.9505","148.91","23,327","$3,473,624","-","Materials","2804211","US8243481061","New York Stock Exchange Inc."
"MKC","MCCORMICK & CO NON-VOTING INC","Equity","0.9446","62.04","55,645","$3,452,216","-","Consumer Staples","2550161","US5797802064","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.9183","27.71","121,116","$3,356,124","-","Utilities","2614807","US98389B1008","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","0.9096","42.67","77,902","$3,324,078","-","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.9050","71.57","46,212","$3,307,393","-","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"WIN","WINDSTREAM CORP.","Equity","0.8790","10.11","317,729","$3,212,240","-","Telecommunication Services","B180376","US97381W1045","NASDAQ"
"ORLY","OREILLY AUTOMOTIVE INC","Equity","0.8627","83.62","37,705","$3,152,892","-","Consumer Discretionary","B65LWX6","US67103H1077","NASDAQ"
"WM","WASTE MANAGEMENT INC","Equity","0.8359","32.08","95,227","$3,054,882","-","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.8343","41.68","73,148","$3,048,809","-","Financials","2740542","BMG0450A1053","NASDAQ"
"YUM","YUM BRANDS INC","Equity","0.7723","66.34","42,545","$2,822,435","-","Consumer Discretionary","2098876","US9884981013","New York Stock Exchange Inc."
"AON","AON PLC","Equity","0.7478","52.29","52,262","$2,732,780","-","Financials","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.7412","11.28","240,141","$2,708,790","-","Information Technology","2575818","US00507V1098","NASDAQ"
"CL","COLGATE-PALMOLIVE","Equity","0.7371","107.22","25,122","$2,693,581","-","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"FISV","FISERV INC","Equity","0.7219","74.03","35,635","$2,638,059","-","Information Technology","2342034","US3377381088","NASDAQ"
"AAP","ADVANCE AUTO PARTS INC","Equity","0.7209","68.44","38,494","$2,634,529","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc."
"SNPS","SYNOPSYS INC","Equity","0.7177","33.02","79,433","$2,622,878","-","Information Technology","2867719","US8716071076","NASDAQ"
"VISA","VISA INC","Equity","0.7042","134.28","19,165","$2,573,476","-","Information Technology","B73HHS3","US92826C8394","Spot Regulated Market - Bvb"
"IHS","IHS INC CLASS A","Equity","0.6914","97.35","25,957","$2,526,914","-","Industrials","B08L7X6","US4517341073","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","0.6663","88.20","27,609","$2,435,114","-","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"PA9","ST PAUL TRAVELERS COS INC","Equity","0.6600","68.26","35,335","$2,411,967","-","Financials","5828263","US89417E1091","Boerse Muenchen"
"HRL","HORMEL FOODS CORP","Equity","0.6266","29.24","78,310","$2,289,784","-","Consumer Staples","2437264","US4404521001","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC","Equity","0.6238","70.03","32,553","$2,279,687","-","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.6161","44.79","50,265","$2,251,369","-","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
