iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"31-Oct-2012"
Total Net Assets,"-"
Shares Outstanding,"17,800,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"KMI","KINDER MORGAN INC","Equity","2.8287","34.71","426,727","$14,811,694","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","1.6560","48.63","178,303","$8,670,875","-","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","1.9299","65.69","153,836","$10,105,487","-","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.6278","75.02","113,616","$8,523,472","-","Consumer Staples","2961280","US9311421039","Bolsa De Valores De Lima"
"AMGN","AMGEN INC","Equity","1.6908","86.55","102,295","$8,853,121","-","Health Care","2023607","US0311621009","NASDAQ"
"MRK","MERCK & CO INC","Equity","1.6209","45.63","186,003","$8,487,317","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","1.5925","75.29","110,756","$8,338,819","-","Financials","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.5429","70.82","114,074","$8,078,721","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.5126","57.79","137,053","$7,920,293","-","Information Technology","2065308","US0530151036","NASDAQ"
"AGNC","AMERICAN CAPITAL AGENCY REIT CORP","Equity","1.6082","33.02","255,024","$8,420,892","-","Financials","B2R8TC5","US02503X1054","NASDAQ"
"PAYX","PAYCHEX INC","Equity","1.5086","32.43","243,575","$7,899,137","-","Information Technology","2674458","US7043261079","NASDAQ"
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.4978","44.64","175,690","$7,842,802","-","Telecommunication Services","2090571","US92343V1044","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.4721","91.17","84,549","$7,708,332","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.4378","110.21","68,310","$7,528,445","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"CTL","CENTURYLINK INC","Equity","1.3794","38.38","188,190","$7,222,732","-","Telecommunication Services","2185046","US1567001060","New York Stock Exchange Inc."
"ECL","ECOLAB INC","Equity","1.5006","69.60","112,895","$7,857,492","-","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.3762","37.18","193,810","$7,205,856","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","1.3634","16.14","442,300","$7,138,722","-","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.3126","86.80","79,182","$6,872,998","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","1.4670","65.52","117,238","$7,681,434","-","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","1.2767","375.00","17,826","$6,684,750","-","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.4618","83.45","91,724","$7,654,368","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","1.2612","66.75","98,933","$6,603,778","-","Telecommunication Services","2285991","US2282271046","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.4438","40.08","188,617","$7,559,769","-","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","1.1888","75.68","82,253","$6,224,907","-","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"KMR","KINDER MORGAN MANAGEMENT","Equity","1.1225","74.68","78,701","$5,877,423","-","Energy","2758158","US49455U1007","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.4335","46.84","160,251","$7,506,157","-","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"SE","SPECTRA ENERGY CORP","Equity","1.1132","28.87","201,903","$5,828,940","-","Energy","B1L60G9","US8475601097","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","1.4073","33.25","221,619","$7,368,832","-","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"NEM","NEWMONT MINING CORP","Equity","1.0739","54.55","103,081","$5,623,069","-","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.4050","34.59","212,692","$7,357,016","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"VRSK","VERISK ANALYTICS INC","Equity","1.0712","51.00","109,977","$5,608,827","-","Industrials","B4P9W92","US92345Y1064","NASDAQ"
"PG","PROCTER & GAMBLE","Equity","1.4022","69.24","106,039","$7,342,140","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"DLTR","DOLLAR TREE INC","Equity","1.0427","39.87","136,943","$5,459,917","-","Consumer Discretionary","2272476","US2567461080","NASDAQ"
"WEC","WEC ENERGY GROUP INC","Equity","1.0196","38.47","138,781","$5,338,905","-","Utilities","2973995","US9766571064","New York Stock Exchange Inc."
"BCR","C R BARD INC","Equity","0.9353","96.19","50,911","$4,897,129","-","Health Care","2077905","US0673831097","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.3670","24.87","287,801","$7,157,611","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","0.9153","42.52","112,717","$4,792,727","-","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","0.8599","32.74","137,532","$4,502,798","-","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.3559","194.53","36,496","$7,099,567","-","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"AON","AON PLC","Equity","0.7759","53.95","75,307","$4,062,813","-","Financials","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","1.3455","69.24","101,752","$7,045,308","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"KTF","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.7695","26.54","151,825","$4,029,436","-","Consumer Staples","B8FQR30","US6092071058","Boerse Stuttgart"
"ED","CONSOLIDATED EDISON INC","Equity","1.3340","60.38","115,684","$6,985,000","-","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"FISV","FISERV INC","Equity","0.7345","74.94","51,320","$3,845,921","-","Information Technology","2342034","US3377381088","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","1.3281","28.54","243,708","$6,954,208","-","Information Technology","2588173","US5949181045","NASDAQ"
"VISA","VISA INC","Equity","0.7330","138.76","27,660","$3,838,102","-","Information Technology","B73HHS3","US92826C8394","Spot Regulated Market - Bvb"
"PA9","ST PAUL TRAVELERS COS INC","Equity","0.6926","70.94","51,120","$3,626,453","-","Financials","5828263","US89417E1091","Boerse Muenchen"
"MO","ALTRIA GROUP INC","Equity","1.3104","31.80","215,770","$6,861,486","-","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"DG","DOLLAR GENERAL CORP","Equity","0.6658","48.62","71,700","$3,486,054","-","Consumer Discretionary","B5B1S13","US2566771059","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","0.6585","86.35","39,929","$3,447,869","-","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.6440","38.89","86,711","$3,372,191","-","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"LOM","LOCKHEED MARTIN CORP.","Equity","1.2549","93.67","70,151","$6,571,044","-","Industrials","5335161","US5398301094","Deutsche Boerse Ag"
"INTU","INTUIT INC","Equity","0.6177","59.42","54,430","$3,234,231","-","Information Technology","2459020","US4612021034","NASDAQ"
"ACN","ACCENTURE PLC","Equity","0.6049","67.41","46,988","$3,167,461","-","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"CELG","CELGENE CORP","Equity","0.5531","73.32","39,498","$2,895,993","-","Health Care","2182348","US1510201049","NASDAQ"
"TSS","TOTAL SYSTEM SERVICES INC","Equity","0.5396","22.49","125,624","$2,825,284","-","Information Technology","2897697","US8919061098","New York Stock Exchange Inc."
"SBAC","SBA COMMUNICATIONS CORP CLASS A","Equity","0.5033","66.63","39,555","$2,635,550","-","Telecommunication Services","2429294","US78388J1060","NASDAQ"
"SRCL","STERICYCLE INC","Equity","1.0715","94.76","59,209","$5,610,645","-","Industrials","2860826","US8589121081","NASDAQ"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.4616","32.87","73,528","$2,416,865","-","Information Technology","2769796","US31620M1062","New York Stock Exchange Inc."
"LDOS","SAIC INC","Equity","0.4483","10.99","213,571","$2,347,145","-","Information Technology","B1FWD42","US78390X1019","New York Stock Exchange Inc."
"GOOGL","GOOGLE INC CLASS A","Equity","0.4433","679.77","3,415","$2,321,415","-","Information Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"AG4","ALLERGAN","Equity","1.0330","89.92","60,152","$5,408,868","-","Health Care","5793208","US0184901025","Boerse Berlin"
"HNZ","H.J. HEINZ CO.","Equity","0.4285","57.51","39,013","$2,243,638","-","Consumer Staples","2419240","US4230741039","New York Stock Exchange Inc."
"DTV","DIRECTV","Equity","0.3683","51.11","37,734","$1,928,585","-","Consumer Discretionary","B84LSN3","US25490A3095","NASDAQ"
"TGT","TARGET CORP","Equity","1.0173","63.75","83,555","$5,326,631","-","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"CB","CHUBB CORP","Equity","0.3484","76.98","23,698","$1,824,272","-","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"MKC","MCCORMICK & CO NON-VOTING INC","Equity","0.9450","61.62","80,297","$4,947,901","-","Consumer Staples","2550161","US5797802064","New York Stock Exchange Inc."
"K","KELLOGG","Equity","0.3197","52.32","31,996","$1,674,031","-","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.9424","28.25","174,677","$4,934,625","-","Utilities","2614807","US98389B1008","New York Stock Exchange Inc."
"QCI","QUALCOMM","Equity","0.3110","58.58","27,803","$1,628,561","-","Information Technology","5382468","US7475251036","Deutsche Boerse Ag"
"ROST","ROSS STORES INC","Equity","0.9392","60.95","80,689","$4,917,995","-","Consumer Discretionary","2746711","US7782961038","NASDAQ"
"FRX","FOREST LABORATORIES INC","Equity","0.2880","33.71","44,736","$1,508,051","-","Health Care","2346508","US3458381064","New York Stock Exchange Inc."
"LH","LABORATORY CORPORATION OF AMERICA","Equity","0.2746","84.73","16,968","$1,437,699","-","Health Care","2586122","US50540R4092","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.9319","73.25","66,616","$4,879,622","-","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"CHD","CHURCH AND DWIGHT INC","Equity","0.2364","50.76","24,383","$1,237,681","-","Consumer Staples","2195841","US1713401024","New York Stock Exchange Inc."
"SHW","SHERWIN WILLIAMS","Equity","0.9163","142.58","33,650","$4,797,817","-","Materials","2804211","US8243481061","New York Stock Exchange Inc."
"CLX","CLOROX","Equity","0.1971","72.30","14,276","$1,032,155","-","Consumer Staples","2204026","US1890541097","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.1647","31.05","27,779","$862,538","-","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"ORLY","OREILLY AUTOMOTIVE INC","Equity","0.8901","85.68","54,395","$4,660,564","-","Consumer Discretionary","B65LWX6","US67103H1077","NASDAQ"
"MA","MASTERCARD INC CLASS A","Equity","0.1575","460.93","1,789","$824,604","-","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.8898","44.15","105,524","$4,658,885","-","Financials","2740542","BMG0450A1053","NASDAQ"
"MCK","MCKESSON CORP","Equity","0.1551","93.31","8,702","$811,984","-","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.1327","70.06","9,917","$694,785","-","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"WIN","WINDSTREAM CORP.","Equity","0.8358","9.54","458,731","$4,376,294","-","Telecommunication Services","B180376","US97381W1045","NASDAQ"
"CAH","CARDINAL HEALTH INC","Equity","0.1107","41.13","14,096","$579,768","-","Health Care","2175672","US14149Y1082","New York Stock Exchange Inc."
"YUM","YUM BRANDS INC","Equity","0.8218","70.11","61,376","$4,303,071","-","Consumer Discretionary","2098876","US9884981013","New York Stock Exchange Inc."
"ANSS","ANSYS INC","Equity","0.0944","70.88","6,977","$494,530","-","Information Technology","2045623","US03662Q1058","NASDAQ"
"HD","HOME DEPOT INC","Equity","0.0758","61.38","6,464","$396,760","-","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"YHOO","YAHOO! INC","Equity","0.0657","16.81","20,454","$343,832","-","Information Technology","2986539","US9843321061","NASDAQ"
"AAP","ADVANCE AUTO PARTS INC","Equity","0.7521","70.94","55,511","$3,937,950","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.0553","17.14","16,885","$289,409","-","Information Technology","2198163","US17275R1023","NASDAQ"
"CL","COLGATE-PALMOLIVE","Equity","0.7265","104.96","36,243","$3,804,065","-","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.7201","10.89","346,226","$3,770,401","-","Information Technology","2575818","US00507V1098","NASDAQ"
"SNPS","SYNOPSYS INC","Equity","0.7048","32.20","114,617","$3,690,667","-","Information Technology","2867719","US8716071076","NASDAQ"
"HRL","HORMEL FOODS CORP","Equity","0.6392","29.53","113,345","$3,347,078","-","Consumer Staples","2437264","US4404521001","New York Stock Exchange Inc."
"IHS","IHS INC CLASS A","Equity","0.6032","84.39","37,424","$3,158,211","-","Industrials","B08L7X6","US4517341073","New York Stock Exchange Inc."
"ABC","AMERISOURCEBERGEN CORP","Equity","0.5955","39.44","79,059","$3,118,087","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.5768","41.63","72,553","$3,020,381","-","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"CPB","CAMPBELL SOUP","Equity","0.5691","35.27","84,492","$2,980,033","-","Consumer Staples","2162845","US1344291091","New York Stock Exchange Inc."
"MSI","MOTOROLA SOLUTIONS INC","Equity","0.5223","51.68","52,922","$2,735,009","-","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","0.4721","52.78","46,840","$2,472,215","-","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"INCO","INTEL CORPORATION CORP","Equity","0.4530","21.63","109,690","$2,372,046","-","Information Technology","5923652","US4581401001","Nyse Euronext - Euronext Amsterdam"
"KRFT","KRAFT FOODS GROUP INC","Equity","0.4408","45.48","50,752","$2,308,201","-","Consumer Staples","B8P0S06","US50076Q1067","NASDAQ"
"FDO","FAMILY DOLLAR STORES INC","Equity","0.4258","65.96","33,803","$2,229,646","-","Consumer Discretionary","2331225","US3070001090","New York Stock Exchange Inc."
"RAI","REYNOLDS AMERICAN INC","Equity","0.4205","41.64","52,877","$2,201,798","-","Consumer Staples","2429090","US7617131062","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.3998","57.85","36,184","$2,093,244","-","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"BAX","BAXTER INTERNATIONAL INC.","Equity","0.3984","62.63","33,312","$2,086,331","-","Health Care","4514626","US0718131099","Swiss Exchange"
"TXN","TEXAS INSTRUMENTS INCORPORATED","Equity","0.3632","28.09","67,697","$1,901,609","-","Information Technology","2885409","US8825081040","NASDAQ"
"VRSN","VERISIGN INC","Equity","0.3630","37.07","51,276","$1,900,801","-","Information Technology","2142922","US92343E1029","NASDAQ"
"RNR","RENAISSANCERE HOLDING LTD","Equity","0.3186","81.36","20,504","$1,668,205","-","Financials","2728429","BMG7496G1033","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.2884","111.05","13,598","$1,510,058","-","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"WPI","WATSON PHARMACEUTICALS","Equity","0.2750","85.95","16,756","$1,440,178","-","Health Care","2943545","US9426831031","New York Stock Exchange Inc."
