iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"30-Nov-2012"
Total Net Assets,"$657,153,394"
Shares Outstanding,"22,300,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"KMI","KINDER MORGAN INC","Equity","2.7535","33.81","535,195","$18,094,943","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","1.8716","63.82","192,716","$12,299,135","-","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","1.7331","88.80","128,257","$11,389,222","-","Health Care","2023607","US0311621009","NASDAQ"
"LLY","ELI LILLY","Equity","1.6690","49.04","223,655","$10,968,041","-","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","1.5849","74.93","139,001","$10,415,345","-","Financials","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","1.5709","44.30","233,028","$10,323,140","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.5613","72.02","142,461","$10,260,041","-","Consumer Staples","2961280","US9311421039","Bolsa De Valores De Lima"
"ECL","ECOLAB INC","Equity","1.5534","72.08","141,625","$10,208,330","-","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"AGNC","AMERICAN CAPITAL AGENCY REIT CORP","Equity","1.5340","31.55","319,509","$10,080,509","-","Financials","B2R8TC5","US02503X1054","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.5191","69.73","143,166","$9,982,965","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","1.5124","32.54","305,437","$9,938,920","-","Information Technology","2674458","US7043261079","NASDAQ"
"KMB","KIMBERLY CLARK CORP","Equity","1.5012","85.72","115,085","$9,865,086","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.4848","56.76","171,905","$9,757,328","-","Information Technology","2065308","US0530151036","NASDAQ"
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.4791","44.12","220,309","$9,720,033","-","Telecommunication Services","2090571","US92343V1044","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.4762","40.99","236,670","$9,701,103","-","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","1.4552","65.00","147,118","$9,562,670","-","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.4219","88.14","106,015","$9,344,162","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.4132","69.83","132,990","$9,286,692","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.4028","37.92","243,112","$9,218,807","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"CTL","CENTURYLINK INC","Equity","1.3934","38.84","235,755","$9,156,724","-","Telecommunication Services","2185046","US1567001060","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","1.3907","33.81","270,310","$9,139,181","-","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.3877","34.13","267,186","$9,119,058","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","1.3801","32.63","277,938","$9,069,117","-","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.3765","105.69","85,590","$9,046,007","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.3748","25.02","361,083","$9,034,297","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","1.3636","70.21","127,629","$8,960,832","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.3335","43.55","201,213","$8,762,826","-","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.3224","190.07","45,721","$8,690,190","-","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
