iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"31-Dec-2012"
Total Net Assets,"-"
Shares Outstanding,"25,900,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"DUK","DUKE ENERGY CORP","Equity","1.5576","63.80","183,494","$11,706,917","-","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","1.5550","77.27","151,254","$11,687,397","-","Financials","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","1.5512","49.32","236,388","$11,658,656","-","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","1.5411","65.50","176,841","$11,583,086","-","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.5367","57.01","202,594","$11,549,884","-","Information Technology","2065308","US0530151036","NASDAQ"
"MCD","MCDONALDS CORP","Equity","1.5280","88.21","130,197","$11,484,677","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"CTL","CENTURYLINK INC","Equity","1.5251","39.12","293,008","$11,462,473","-","Telecommunication Services","2185046","US1567001060","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","1.5144","55.54","204,938","$11,382,257","-","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","1.5045","32.59","346,970","$11,307,752","-","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.5027","191.55","58,963","$11,294,363","-","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.4998","43.27","260,510","$11,272,268","-","Telecommunication Services","2090571","US92343V1044","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.4974","42.81","262,902","$11,254,835","-","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.4933","70.10","160,109","$11,223,641","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.4855","33.71","331,207","$11,164,988","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.4838","40.41","275,981","$11,152,392","-","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","1.4799","86.32","128,860","$11,123,195","-","Health Care","2023607","US0311621009","NASDAQ"
"PEP","PEPSICO INC","Equity","1.4738","68.43","161,877","$11,077,243","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.4676","68.23","161,664","$11,030,335","-","Consumer Staples","2961280","US9311421039","Bolsa De Valores De Lima"
"KMB","KIMBERLY CLARK CORP","Equity","1.4534","84.43","129,383","$10,923,807","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","1.4438","31.14","348,478","$10,851,605","-","Information Technology","2674458","US7043261079","NASDAQ"
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","1.4272","14.04","764,040","$10,727,122","-","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.4120","86.55","122,622","$10,612,934","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","1.3949","40.94","256,086","$10,484,161","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.3935","25.08","417,612","$10,473,709","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.3895","67.89","153,825","$10,443,179","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","1.3774","72.16","143,462","$10,352,218","-","Telecommunication Services","2285991","US2282271046","New York Stock Exchange Inc."
"AGNC","AMERICAN CAPITAL AGENCY REIT CORP","Equity","1.3762","28.94","357,417","$10,343,648","-","Financials","B2R8TC5","US02503X1054","NASDAQ"
"KO","COCA-COLA","Equity","1.3088","36.25","271,373","$9,837,271","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.2578","26.73","353,673","$9,453,679","-","Information Technology","2588173","US5949181045","NASDAQ"
"LOM","LOCKHEED MARTIN CORP.","Equity","1.2473","92.29","101,580","$9,374,818","-","Industrials","5335161","US5398301094","Deutsche Boerse Ag"
"BDX","BECTON DICKINSON","Equity","1.2422","78.19","119,405","$9,336,277","-","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"CB","CHUBB CORP","Equity","1.2412","75.32","123,853","$9,328,608","-","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","1.2199","354.43","25,869","$9,168,750","-","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"ECL","ECOLAB INC","Equity","1.2014","71.90","125,583","$9,029,418","-","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"NEM","NEWMONT MINING CORP","Equity","1.1657","46.44","188,660","$8,761,370","-","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"KMR","KINDER MORGAN MANAGEMENT","Equity","1.1546","75.46","115,002","$8,678,051","-","Energy","2758158","US49455U1007","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","1.0946","35.33","232,853","$8,226,696","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"VRSK","VERISK ANALYTICS INC","Equity","1.0791","51.00","159,030","$8,110,530","-","Industrials","B4P9W92","US92345Y1064","NASDAQ"
"SE","SPECTRA ENERGY CORP","Equity","1.0660","27.38","292,630","$8,012,209","-","Energy","B1L60G9","US8475601097","New York Stock Exchange Inc."
"SRCL","STERICYCLE INC","Equity","1.0657","93.27","85,881","$8,010,121","-","Industrials","2860826","US8589121081","NASDAQ"
"AG4","ALLERGAN","Equity","1.0657","91.73","87,317","$8,009,588","-","Health Care","5793208","US0184901025","Boerse Berlin"
"MO","ALTRIA GROUP INC","Equity","1.0332","31.42","247,159","$7,765,736","-","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity","1.0108","104.02","73,033","$7,596,893","-","Financials","2333931","US3137472060","New York Stock Exchange Inc."
"WEC","WEC ENERGY GROUP INC","Equity","0.9863","36.85","201,162","$7,412,820","-","Utilities","2973995","US9766571064","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","0.9858","51.80","143,039","$7,409,420","-","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"MKC","MCCORMICK & CO NON-VOTING INC","Equity","0.9844","63.53","116,462","$7,398,831","-","Consumer Staples","2550161","US5797802064","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","0.9842","59.17","125,023","$7,397,611","-","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.9594","108.14","66,679","$7,210,667","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"INTU","INTUIT INC","Equity","0.9578","59.50","120,986","$7,198,667","-","Information Technology","2459020","US4612021034","NASDAQ"
"BCR","C R BARD INC","Equity","0.9574","97.74","73,625","$7,196,108","-","Health Care","2077905","US0673831097","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.9487","73.73","96,709","$7,130,355","-","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.9095","44.02","155,289","$6,835,822","-","Financials","2740542","BMG0450A1053","NASDAQ"
"XEL","XCEL ENERGY INC","Equity","0.9008","26.71","253,484","$6,770,558","-","Utilities","2614807","US98389B1008","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","0.8946","33.74","199,294","$6,724,180","-","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","0.8716","40.18","163,046","$6,551,188","-","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
"ABC","AMERISOURCEBERGEN CORP","Equity","0.8525","43.18","148,386","$6,407,307","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc."
"O","REALTY INCOME REIT CORP","Equity","0.8128","40.21","151,923","$6,108,824","-","Financials","2724193","US7561091049","New York Stock Exchange Inc."
"AON","AON PLC","Equity","0.8091","55.60","109,376","$6,081,306","-","Financials","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
