iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"31-Jul-2013"
Total Net Assets,"$2,325,293,524"
Shares Outstanding,"68,900,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"JNJ","JOHNSON & JOHNSON","Equity","1.5975","93.50","397,294","$37,146,989","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.5946","52.00","713,053","$37,078,756","-","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","1.5623","39.44","921,121","$36,329,012","-","Information Technology","2674458","US7043261079","NASDAQ"
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.5362","72.09","495,509","$35,721,244","-","Information Technology","2065308","US0530151036","NASDAQ"
"PEP","PEPSICO INC","Equity","1.5303","83.54","425,949","$35,583,779","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","1.5230","52.04","680,509","$35,413,688","-","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.5208","77.94","453,730","$35,363,716","-","Consumer Staples","2961280","US9311421039","Bolsa De Valores De Lima"
"DUK","DUKE ENERGY CORP","Equity","1.4959","71.00","489,902","$34,783,042","-","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","1.4854","43.24","798,817","$34,540,847","-","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"CB","CHUBB CORP","Equity","1.4772","86.50","397,109","$34,349,929","-","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","1.4699","36.63","933,078","$34,178,647","-","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.4615","44.84","757,875","$33,983,115","-","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","1.4579","53.11","638,297","$33,899,954","-","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.4540","98.80","342,195","$33,808,866","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.4534","98.08","344,582","$33,796,603","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.4452","35.27","952,780","$33,604,551","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","1.4412","59.90","559,453","$33,511,235","-","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.4383","49.48","675,933","$33,445,165","-","Telecommunication Services","2090571","US92343V1044","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.4060","80.30","407,153","$32,694,386","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","1.4032","103.72","314,576","$32,627,823","-","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"LOM","LOCKHEED MARTIN CORP.","Equity","1.3971","120.12","270,455","$32,487,055","-","Industrials","5335161","US5398301094","Deutsche Boerse Ag"
"MRK","MERCK & CO INC","Equity","1.3963","48.17","674,007","$32,466,917","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.3857","93.75","343,707","$32,222,531","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","1.3817","71.25","450,936","$32,129,190","-","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"ECL","ECOLAB INC","Equity","1.3300","92.14","335,657","$30,927,436","-","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.3052","195.04","155,606","$30,349,394","-","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","1.2978","448.58","67,274","$30,177,771","-","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.2610","29.23","1,003,140","$29,321,782","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","1.2315","11.92","2,402,330","$28,635,774","-","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","1.2297","70.79","403,926","$28,593,922","-","Financials","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"SE","SPECTRA ENERGY CORP","Equity","1.2093","35.99","781,294","$28,118,771","-","Energy","B1L60G9","US8475601097","New York Stock Exchange Inc."
"VRSK","VERISK ANALYTICS INC","Equity","1.1817","64.36","426,935","$27,477,537","-","Industrials","B4P9W92","US92345Y1064","NASDAQ"
"SRCL","STERICYCLE INC","Equity","1.1460","115.94","229,848","$26,648,577","-","Industrials","2860826","US8589121081","NASDAQ"
"O","REALTY INCOME REIT CORP","Equity","1.1304","43.41","605,488","$26,284,234","-","Financials","2724193","US7561091049","New York Stock Exchange Inc."
"AGNC","AMERICAN CAPITAL AGENCY REIT CORP","Equity","1.1256","22.53","1,161,766","$26,174,588","-","Financials","B2R8TC5","US02503X1054","NASDAQ"
"KMR","KINDER MORGAN MANAGEMENT","Equity","1.1106","80.98","318,911","$25,825,428","-","Energy","2758158","US49455U1007","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.0914","40.08","633,190","$25,378,255","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.0847","31.83","792,378","$25,221,392","-","Information Technology","2588173","US5949181045","NASDAQ"
"KMI","KINDER MORGAN INC","Equity","1.0368","37.76","638,463","$24,108,363","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"WEC","WEC ENERGY GROUP INC","Equity","1.0026","43.48","536,178","$23,313,019","-","Utilities","2973995","US9766571064","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","0.9938","59.31","389,610","$23,107,769","-","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","0.9912","35.06","657,400","$23,048,444","-","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.9894","86.80","265,043","$23,005,732","-","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.9693","70.25","320,832","$22,538,448","-","Telecommunication Services","2285991","US2282271046","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","0.9625","42.03","532,515","$22,381,605","-","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.9611","125.89","177,525","$22,348,622","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"MKC","MCCORMICK & CO NON-VOTING INC","Equity","0.9571","71.61","310,798","$22,256,245","-","Consumer Staples","2550161","US5797802064","New York Stock Exchange Inc."
"BCR","C R BARD INC","Equity","0.9509","114.60","192,951","$22,112,185","-","Health Care","2077905","US0673831097","New York Stock Exchange Inc."
"ABC","AMERISOURCEBERGEN CORP","Equity","0.9287","58.27","370,588","$21,594,163","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.9245","54.15","397,013","$21,498,254","-","Financials","2740542","BMG0450A1053","NASDAQ"
"AG4","ALLERGAN","Equity","0.9135","91.12","233,109","$21,240,892","-","Health Care","5793208","US0184901025","Boerse Berlin"
"VISA","VISA INC","Equity","0.8838","177.01","116,106","$20,551,923","-","Information Technology","B73HHS3","US92826C8394","Spot Regulated Market - Bvb"
