iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"30-Aug-2013"
Total Net Assets,"$2,184,911,137"
Shares Outstanding,"66,900,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TJX","TJX INC","Equity","1.5943","52.72","660,749","$34,834,687","-","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","1.5833","38.68","894,381","$34,594,657","-","Information Technology","2674458","US7043261079","NASDAQ"
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.5670","71.16","481,129","$34,237,140","-","Information Technology","2065308","US0530151036","NASDAQ"
"GIS","GENERAL MILLS INC","Equity","1.5628","49.32","692,353","$34,146,850","-","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.5256","86.41","385,754","$33,333,003","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","1.5092","79.73","413,589","$32,975,451","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","1.4800","41.69","775,637","$32,336,307","-","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.4715","72.98","440,550","$32,151,339","-","Consumer Staples","2961280","US9311421039","Bolsa De Valores De Lima"
"LOM","LOCKHEED MARTIN CORP.","Equity","1.4713","122.42","262,595","$32,146,880","-","Industrials","5335161","US5398301094","Deutsche Boerse Ag"
"CB","CHUBB CORP","Equity","1.4678","83.17","385,589","$32,069,437","-","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","1.4580","51.40","619,777","$31,856,538","-","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.4450","94.36","334,582","$31,571,158","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.4324","33.83","925,120","$31,296,810","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","1.4282","65.60","475,682","$31,204,739","-","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.4232","47.38","656,313","$31,096,110","-","Telecommunication Services","2090571","US92343V1044","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.4215","93.48","332,255","$31,059,197","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","1.4165","47.29","654,447","$30,948,799","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.4093","77.89","395,333","$30,792,487","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.4018","41.62","735,875","$30,627,118","-","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","1.3980","56.23","543,213","$30,544,867","-","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
