iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"28-Feb-2014"
Total Net Assets,"$2,417,049,105"
Shares Outstanding,"67,300,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"VZ","VERIZON COMMUNICATIONS INC","Equity","2.0021","47.58","1,017,050","$48,391,239","-","Telecommunication Services","2090571","US92343V1044","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","1.7466","56.99","740,780","$42,217,052","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"LOM","LOCKHEED MARTIN CORP.","Equity","1.5750","162.30","234,561","$38,069,250","-","Industrials","5335161","US5398301094","Deutsche Boerse Ag"
"LLY","ELI LILLY","Equity","1.5211","59.61","616,751","$36,764,527","-","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.5136","96.27","380,027","$36,585,199","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.4811","77.78","460,264","$35,799,334","-","Information Technology","2065308","US0530151036","NASDAQ"
"PFE","PFIZER INC","Equity","1.4707","32.11","1,107,084","$35,548,467","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","1.4572","115.22","305,693","$35,221,947","-","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"ECL","ECOLAB INC","Equity","1.4572","107.75","326,871","$35,220,350","-","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","1.4542","538.44","65,281","$35,149,902","-","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.4376","92.12","377,202","$34,747,848","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.4295","95.15","363,127","$34,551,534","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.4231","50.03","687,504","$34,395,825","-","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","1.4195","41.76","821,592","$34,309,682","-","Information Technology","2674458","US7043261079","NASDAQ"
"KMB","KIMBERLY CLARK CORP","Equity","1.4167","110.35","310,306","$34,242,267","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","1.4097","61.46","554,394","$34,073,055","-","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","1.3985","39.78","849,722","$33,801,941","-","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","1.3961","70.88","476,089","$33,745,188","-","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","1.3902","95.77","350,869","$33,602,724","-","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.3846","74.70","447,997","$33,465,376","-","Consumer Staples","2961280","US9311421039","Bolsa De Valores De Lima"
"PEP","PEPSICO INC","Equity","1.3585","80.07","410,094","$32,836,227","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"CB","CHUBB CORP","Equity","1.3502","87.48","373,046","$32,634,064","-","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.3311","31.93","1,007,608","$32,172,923","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.2906","42.35","736,610","$31,195,434","-","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.2901","78.66","396,409","$31,181,532","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"QCI","QUALCOMM","Equity","1.2637","75.29","405,699","$30,545,078","-","Information Technology","5382468","US7475251036","Deutsche Boerse Ag"
"ED","CONSOLIDATED EDISON INC","Equity","1.2590","56.05","542,912","$30,430,218","-","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"SE","SPECTRA ENERGY CORP","Equity","1.1712","37.28","759,362","$28,309,015","-","Energy","B1L60G9","US8475601097","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","1.1260","62.54","435,195","$27,217,095","-","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"VRSK","VERISK ANALYTICS INC","Equity","1.1195","63.72","424,670","$27,057,849","-","Industrials","B4P9W92","US92345Y1064","NASDAQ"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.1157","185.17","145,631","$26,966,492","-","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","1.0880","69.40","378,931","$26,297,811","-","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","1.0616","53.77","477,186","$25,658,291","-","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","1.0591","75.90","337,261","$25,598,110","-","Telecommunication Services","2285991","US2282271046","New York Stock Exchange Inc."
"SRCL","STERICYCLE INC","Equity","1.0544","114.00","223,565","$25,486,410","-","Industrials","2860826","US8589121081","NASDAQ"
"FRX","FOREST LABORATORIES INC","Equity","1.0539","97.57","261,076","$25,473,185","-","Health Care","2346508","US3458381064","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.0416","115.78","217,453","$25,176,708","-","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"MMM","3M CO","Equity","1.0351","134.73","185,700","$25,019,361","-","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","1.0339","130.37","191,686","$24,990,104","-","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"VISA","VISA INC","Equity","1.0307","225.94","110,259","$24,911,918","-","Information Technology","B73HHS3","US92826C8394","Spot Regulated Market - Bvb"
