iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"31-Mar-2014"
Total Net Assets,"$2,438,866,654"
Shares Outstanding,"67,700,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"VZ","VERIZON COMMUNICATIONS INC","Equity","2.0004","47.57","1,025,589","$48,787,269","-","Telecommunication Services","2090571","US92343V1044","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","1.7345","56.77","745,158","$42,302,620","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","1.5785","163.24","235,833","$38,497,379","-","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.5323","98.23","380,433","$37,369,934","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.5218","97.68","379,951","$37,113,614","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","1.4995","58.86","621,310","$36,570,307","-","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","1.4774","117.08","307,760","$36,032,541","-","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.4645","77.26","462,314","$35,718,380","-","Information Technology","2065308","US0530151036","NASDAQ"
"MCD","MCDONALDS CORP","Equity","1.4635","98.03","364,113","$35,693,997","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"ECL","ECOLAB INC","Equity","1.4576","107.99","329,193","$35,549,552","-","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.4543","51.82","684,450","$35,468,199","-","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.4477","35.07","1,006,789","$35,308,090","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","1.4443","42.60","826,874","$35,224,832","-","Information Technology","2674458","US7043261079","NASDAQ"
"PFE","PFIZER INC","Equity","1.4379","32.12","1,091,786","$35,068,166","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.4079","110.25","311,444","$34,336,701","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","1.4064","83.50","410,793","$34,301,216","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.4051","76.43","448,362","$34,268,308","-","Consumer Staples","2961280","US9311421039","Bolsa De Valores De Lima"
"DUK","DUKE ENERGY CORP","Equity","1.4007","71.22","479,648","$34,160,531","-","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","1.4000","97.38","350,618","$34,143,181","-","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
