iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"30-Apr-2014"
Total Net Assets,"$2,538,283,361"
Shares Outstanding,"69,500,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.9413","46.73","1,054,458","$49,274,822","-","Telecommunication Services","2090571","US92343V1044","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","1.7675","58.56","766,130","$44,864,573","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.5761","102.41","390,647","$40,006,159","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","1.5680","164.14","242,475","$39,799,847","-","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.5609","101.29","391,145","$39,619,077","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.4952","101.38","374,368","$37,953,428","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","1.4873","59.10","638,798","$37,752,962","-","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.4699","53.02","703,723","$37,311,393","-","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.4599","77.96","475,330","$37,056,727","-","Information Technology","2065308","US0530151036","NASDAQ"
"T","AT&T INC","Equity","1.4559","35.70","1,035,126","$36,953,998","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.4476","79.71","460,981","$36,744,796","-","Consumer Staples","2961280","US9311421039","Bolsa De Valores De Lima"
"DUK","DUKE ENERGY CORP","Equity","1.4472","74.49","493,157","$36,735,265","-","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","1.4292","85.89","422,360","$36,276,500","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.4161","112.25","320,216","$35,944,246","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
