iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"30-May-2014"
Total Net Assets,"$2,807,375,847"
Shares Outstanding,"76,000,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"VZ","VERIZON COMMUNICATIONS INC","Equity","2.0553","49.96","1,154,903","$57,698,954","-","Telecommunication Services","2090571","US92343V1044","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","1.7294","57.86","839,090","$48,549,747","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.5321","100.53","427,853","$43,012,062","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.5483","101.46","428,411","$43,466,580","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","1.4918","59.86","699,658","$41,881,528","-","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","1.5479","163.65","265,541","$43,455,785","-","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","1.4608","103.88","394,791","$41,010,889","-","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","1.4530","117.70","346,557","$40,789,759","-","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.5080","54.93","770,728","$42,336,089","-","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.4324","35.47","1,133,724","$40,213,190","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.4034","112.35","350,681","$39,399,010","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.4813","101.43","409,987","$41,584,981","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.3806","76.77","504,867","$38,758,640","-","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.4776","79.68","520,596","$41,481,089","-","Information Technology","2065308","US0530151036","NASDAQ"
"DUK","DUKE ENERGY CORP","Equity","1.3676","71.08","540,135","$38,392,796","-","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","1.3667","40.01","958,955","$38,367,790","-","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","1.4555","88.33","462,598","$40,861,281","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.3147","43.78","843,017","$36,907,284","-","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.2976","29.63","1,229,439","$36,428,278","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"ECL","ECOLAB INC","Equity","1.4418","109.19","370,708","$40,477,607","-","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.2844","80.79","446,324","$36,058,516","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"SE","SPECTRA ENERGY CORP","Equity","1.2463","40.58","862,183","$34,987,386","-","Energy","B1L60G9","US8475601097","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","1.2197","54.45","628,842","$34,240,447","-","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.1340","128.34","248,062","$31,836,277","-","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"CB","CHUBB CORP","Equity","1.3789","92.66","417,786","$38,712,051","-","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"ABC","AMERISOURCEBERGEN CORP","Equity","1.0627","73.18","407,681","$29,834,096","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc."
"VRSK","VERISK ANALYTICS INC","Equity","1.0175","59.19","482,586","$28,564,265","-","Industrials","B4P9W92","US92345Y1064","NASDAQ"
"TGT","TARGET CORP","Equity","0.9994","56.76","494,302","$28,056,582","-","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","1.3635","41.11","931,105","$38,277,727","-","Information Technology","2674458","US7043261079","NASDAQ"
"AMT","AMERICAN TOWER REIT CORP","Equity","0.9784","89.63","306,447","$27,466,845","-","Financials","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","1.3454","532.50","70,928","$37,769,160","-","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.9590","49.74","541,275","$26,923,019","-","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"AGN","ALLERGAN INC","Equity","0.9295","167.46","155,820","$26,093,617","-","-","2017213","US0184901025","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","1.2987","80.45","453,189","$36,459,055","-","Information Technology","2714923","US7475251036","NASDAQ"
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.8631","56.93","425,641","$24,231,742","-","Financials","2740542","BMG0450A1053","NASDAQ"
"PSA","PUBLIC STORAGE REIT","Equity","0.8485","172.38","138,181","$23,819,641","-","Financials","2852533","US74460D1090","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.8387","76.45","307,969","$23,544,230","-","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","0.8360","33.39","702,868","$23,468,763","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"INTU","INTUIT INC","Equity","0.7841","79.29","277,626","$22,012,966","-","Information Technology","2459020","US4612021034","NASDAQ"
"ED","CONSOLIDATED EDISON INC","Equity","1.2067","55.01","615,826","$33,876,588","-","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.7767","61.03","357,259","$21,803,517","-","Health Care","2575465","US5850551061","New York Stock Exchange Inc."
"RAI","REYNOLDS AMERICAN INC","Equity","0.7623","59.63","358,907","$21,401,624","-","Consumer Staples","2429090","US7617131062","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.0751","184.36","163,707","$30,181,023","-","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"MSI","MOTOROLA SOLUTIONS INC","Equity","0.7561","67.42","314,827","$21,225,636","-","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","1.0679","41.56","721,376","$29,980,387","-","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.7480","68.40","307,020","$21,000,168","-","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","1.0627","76.73","388,823","$29,834,389","-","Telecommunication Services","2285991","US2282271046","New York Stock Exchange Inc."
"HSY","HERSHEY FOODS","Equity","0.7098","97.34","204,719","$19,927,347","-","Consumer Staples","2422806","US4278661081","New York Stock Exchange Inc."
"CTL","CENTURYLINK INC","Equity","0.6174","37.67","460,131","$17,333,135","-","Telecommunication Services","2185046","US1567001060","New York Stock Exchange Inc."
