iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"30-Jun-2014"
Total Net Assets,"$2,639,770,235"
Shares Outstanding,"70,900,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"JNJ","JOHNSON & JOHNSON","Equity","1.5193","104.62","383,347","$40,105,763","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","1.5186","89.34","448,696","$40,086,501","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","1.5039","57.85","686,259","$39,700,083","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.4642","48.93","789,955","$38,652,498","-","Telecommunication Services","2090571","US92343V1044","New York Stock Exchange Inc."
"ECL","ECOLAB INC","Equity","1.4562","111.34","345,241","$38,439,133","-","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.4561","79.28","484,836","$38,437,798","-","Information Technology","2065308","US0530151036","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.4560","100.68","381,749","$38,434,489","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.4502","35.36","1,082,597","$38,280,630","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","1.4464","118.30","322,754","$38,181,798","-","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.4446","100.74","378,529","$38,133,011","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.4440","75.07","507,758","$38,117,393","-","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","1.4300","102.66","367,706","$37,748,698","-","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.4286","52.54","717,783","$37,712,319","-","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","1.4138","74.19","503,043","$37,320,760","-","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","1.3838","40.90","893,125","$36,528,813","-","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.3762","111.22","326,633","$36,328,122","-","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.3666","78.59","459,042","$36,076,111","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","1.3653","41.56","867,213","$36,041,372","-","Information Technology","2674458","US7043261079","NASDAQ"
"CB","CHUBB CORP","Equity","1.3586","92.17","389,096","$35,862,978","-","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.3498","45.38","785,206","$35,632,648","-","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"ABC","AMERISOURCEBERGEN CORP","Equity","1.3294","72.66","482,978","$35,093,181","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc."
"SE","SPECTRA ENERGY CORP","Equity","1.2924","42.48","803,098","$34,115,603","-","Energy","B1L60G9","US8475601097","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.2875","29.68","1,145,130","$33,987,458","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","1.2793","536.24","62,976","$33,770,250","-","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","1.2665","79.20","422,140","$33,433,488","-","Information Technology","2714923","US7475251036","NASDAQ"
"ED","CONSOLIDATED EDISON INC","Equity","1.1880","57.74","543,146","$31,361,250","-","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","1.1508","62.17","488,638","$30,378,624","-","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"SRCL","STERICYCLE INC","Equity","1.1123","118.42","247,949","$29,362,121","-","Industrials","2860826","US8589121081","NASDAQ"
"INTC","INTEL CORPORATION CORP","Equity","1.1085","30.90","947,027","$29,263,134","-","Information Technology","2463247","US4581401001","NASDAQ"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.1081","126.56","231,120","$29,250,547","-","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","1.0875","71.52","401,396","$28,707,842","-","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"MMM","3M CO","Equity","1.0488","143.24","193,290","$27,686,860","-","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.0475","181.27","152,544","$27,651,651","-","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.0373","42.36","646,440","$27,383,198","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","1.0191","74.26","362,251","$26,900,759","-","Telecommunication Services","2285991","US2282271046","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","1.0176","132.84","202,224","$26,863,436","-","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","1.0093","53.15","501,260","$26,641,969","-","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.9733","89.98","285,554","$25,694,149","-","Financials","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"MSI","MOTOROLA SOLUTIONS INC","Equity","0.9718","66.57","385,343","$25,652,284","-","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc."
"WEC","WEC ENERGY GROUP INC","Equity","0.9711","46.92","546,369","$25,635,633","-","Utilities","2973995","US9766571064","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.9465","99.75","250,485","$24,985,879","-","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","0.9297","44.73","548,659","$24,541,517","-","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.9269","48.51","504,404","$24,468,638","-","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","0.9144","210.71","114,553","$24,137,463","-","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"FISV","FISERV INC","Equity","0.9078","60.32","397,274","$23,963,568","-","Information Technology","2342034","US3377381088","NASDAQ"
"CVX","CHEVRON CORP","Equity","0.8945","130.55","180,881","$23,614,015","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"KMR","KINDER MORGAN MANAGEMENT","Equity","0.8900","78.93","297,655","$23,493,909","-","Energy","2758158","US49455U1007","New York Stock Exchange Inc."
"MCK","MCKESSON CORP","Equity","0.8871","186.21","125,763","$23,418,328","-","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"HSIC","HENRY SCHEIN INC","Equity","0.8777","118.67","195,250","$23,170,318","-","Health Care","2416962","US8064071025","NASDAQ"
"SBAC","SBA COMMUNICATIONS CORP CLASS A","Equity","0.8679","102.30","223,960","$22,911,108","-","Telecommunication Services","2429294","US78388J1060","NASDAQ"
"XEL","XCEL ENERGY INC","Equity","0.8632","32.23","706,996","$22,786,481","-","Utilities","2614807","US98389B1008","New York Stock Exchange Inc."
"PSA","PUBLIC STORAGE REIT","Equity","0.8488","171.35","130,769","$22,407,268","-","Financials","2852533","US74460D1090","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.8481","57.44","389,752","$22,387,355","-","Financials","2740542","BMG0450A1053","NASDAQ"
"TGT","TARGET CORP","Equity","0.8333","57.95","379,578","$21,996,545","-","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","0.8329","48.02","457,875","$21,987,158","-","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","0.8152","81.75","263,227","$21,518,807","-","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.8043","63.76","332,992","$21,231,570","-","Health Care","2575465","US5850551061","New York Stock Exchange Inc."
"MKC","MCCORMICK & CO NON-VOTING INC","Equity","0.7997","71.59","294,876","$21,110,173","-","Consumer Staples","2550161","US5797802064","New York Stock Exchange Inc."
"INTU","INTUIT INC","Equity","0.7895","80.53","258,796","$20,840,842","-","Information Technology","2459020","US4612021034","NASDAQ"
"NEM","NEWMONT MINING CORP","Equity","0.7529","25.44","781,238","$19,874,695","-","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.7392","68.18","286,214","$19,514,071","-","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"DG","DOLLAR GENERAL CORP","Equity","0.7216","57.36","332,071","$19,047,593","-","Consumer Discretionary","B5B1S13","US2566771059","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","0.7188","41.94","452,413","$18,974,201","-","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"HSY","HERSHEY FOODS","Equity","0.7041","97.37","190,879","$18,585,888","-","Consumer Staples","2422806","US4278661081","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","0.6937","94.07","194,665","$18,312,137","-","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"HRL","HORMEL FOODS CORP","Equity","0.6816","49.35","364,604","$17,993,207","-","Consumer Staples","2437264","US4404521001","New York Stock Exchange Inc."
"SNPS","SYNOPSYS INC","Equity","0.6603","38.82","449,033","$17,431,461","-","Information Technology","2867719","US8716071076","NASDAQ"
"Y","ALLEGHANY CORP","Equity","0.6575","438.12","39,618","$17,357,438","-","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"RSG","REPUBLIC SERVICES INC","Equity","0.6446","37.97","448,166","$17,016,863","-","Industrials","2262530","US7607591002","New York Stock Exchange Inc."
"BCR","C R BARD INC","Equity","0.6345","143.01","117,122","$16,749,617","-","Health Care","2077905","US0673831097","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","0.6293","41.70","398,377","$16,612,321","-","Information Technology","2588173","US5949181045","NASDAQ"
"MMC","MARSH & MCLENNAN INC","Equity","0.6078","51.82","309,645","$16,045,804","-","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.5984","160.49","98,434","$15,797,673","-","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
