iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"31-Dec-2014"
Total Net Assets,"$3,581,101,129"
Shares Outstanding,"88,500,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BDX","BECTON DICKINSON","Equity","1.5556","139.16","400,761","$55,769,901","55,769,900.76","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","1.5474","74.33","746,357","$55,476,716","55,476,715.81","Information Technology","2714923","US7475251036","NASDAQ"
"WMT","WALMART STORES INC","Equity","1.5230","85.88","635,772","$54,600,099","54,600,099.36","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.5121","91.09","595,156","$54,212,760","54,212,760.04","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"ABC","AMERISOURCEBERGEN CORP","Equity","1.4886","90.16","591,943","$53,369,581","53,369,580.88","Health Care","2795393","US03073E1055","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","1.4753","83.54","633,138","$52,892,349","52,892,348.52","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.4434","93.70","552,263","$51,747,043","51,747,043.10","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","1.4229","111.17","458,881","$51,013,801","51,013,800.77","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.4183","83.37","609,924","$50,849,364","50,849,363.88","Information Technology","2065308","US0530151036","NASDAQ"
"PEP","PEPSICO INC","Equity","1.4114","94.56","535,119","$50,600,853","50,600,852.64","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.4060","104.57","482,031","$50,405,982","50,405,981.67","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"CB","CHUBB CORP","Equity","1.4054","103.47","486,962","$50,385,958","50,385,958.14","Financials","2195722","US1712321017","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","1.4022","46.17","1,088,849","$50,272,158","50,272,158.33","Information Technology","2674458","US7043261079","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.3955","92.45","541,153","$50,029,595","50,029,594.85","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.3874","33.59","1,480,775","$49,739,232","49,739,232.25","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","1.3583","56.79","857,510","$48,697,993","48,697,992.90","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.3566","49.11","990,318","$48,634,517","48,634,516.98","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.3438","46.78","1,029,890","$48,178,254","48,178,254.20","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","1.3226","619.11","76,589","$47,417,016","47,417,015.79","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.3209","53.33","887,956","$47,354,693","47,354,693.48","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.3143","115.54","407,823","$47,119,869","47,119,869.42","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"ECL","ECOLAB INC","Equity","1.2630","104.52","433,233","$45,281,513","45,281,513.16","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"PSA","PUBLIC STORAGE REIT","Equity","1.2614","184.85","244,653","$45,224,107","45,224,107.05","Financials","2852533","US74460D1090","New York Stock Exchange Inc."
