iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"30-Sep-2015"
Total Net Assets,"$6,046,245,627"
Shares Outstanding,"152,700,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"T","AT&T INC","Equity","1.6905","32.58","3,141,423","$102,347,561","102,347,561.34","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.5651","98.53","961,696","$94,755,907","94,755,906.88","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"PSA","PUBLIC STORAGE REIT","Equity","1.5135","211.63","432,976","$91,630,711","91,630,710.88","Financials","2852533","US74460D1090","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","1.4575","94.30","935,701","$88,236,604","88,236,604.30","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.4339","71.94","1,206,737","$86,812,660","86,812,659.78","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","1.4261","723.83","119,280","$86,338,442","86,338,442.40","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.4178","80.36","1,068,140","$85,835,730","85,835,730.40","Information Technology","2065308","US0530151036","NASDAQ"
"GIS","GENERAL MILLS INC","Equity","1.4165","56.13","1,527,828","$85,756,986","85,756,985.64","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","1.3888","47.63","1,765,268","$84,079,715","84,079,714.84","Information Technology","2674458","US7043261079","NASDAQ"
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.3822","43.51","1,923,195","$83,678,214","83,678,214.45","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","1.3328","66.85","1,207,040","$80,690,624","80,690,624.00","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.3158","31.41","2,536,220","$79,662,670","79,662,670.20","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","1.3141","98.69","806,126","$79,556,575","79,556,574.94","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.3008","93.35","843,620","$78,751,927","78,751,927.00","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","1.3002","71.94","1,094,172","$78,714,734","78,714,733.68","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.2965","44.70","1,755,956","$78,491,233","78,491,233.20","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","1.2939","109.04","718,383","$78,332,482","78,332,482.32","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"SRCL","STERICYCLE INC","Equity","1.2669","139.31","550,563","$76,698,932","76,698,931.53","Industrials","2860826","US8589121081","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.2535","74.35","1,020,660","$75,886,071","75,886,071.00","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.2467","130.40","578,806","$75,476,302","75,476,302.40","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","1.2169","49.39","1,491,609","$73,670,569","73,670,568.51","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
