iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"31-Oct-2016"
Total Net Assets,"$13,215,276,188"
Shares Outstanding,"299,200,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"JNJ","JOHNSON & JOHNSON","Equity","1.5319","115.99","1,750,083","$202,992,127","202,992,127.17","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","1.5271","107.20","1,887,557","$202,346,110","202,346,110.40","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.5253","86.80","2,328,509","$202,114,581","202,114,581.20","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","1.4818","55.20","3,556,965","$196,344,468","196,344,468.00","Information Technology","2674458","US7043261079","NASDAQ"
"GIS","GENERAL MILLS INC","Equity","1.4523","61.98","3,104,861","$192,439,285","192,439,284.78","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","1.4464","75.55","2,536,894","$191,662,342","191,662,341.70","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.4322","36.79","5,158,311","$189,774,262","189,774,261.69","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.4311","51.57","3,677,195","$189,632,946","189,632,946.15","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.4229","48.10","3,919,928","$188,548,537","188,548,536.80","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.4084","87.06","2,143,573","$186,619,465","186,619,465.38","Information Technology","2065308","US0530151036","NASDAQ"
"BDX","BECTON DICKINSON","Equity","1.3853","167.91","1,093,197","$183,558,708","183,558,708.27","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","1.3458","80.02","2,228,557","$178,329,131","178,329,131.14","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","1.3304","107.76","1,635,889","$176,283,399","176,283,398.64","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.3079","112.57","1,539,540","$173,306,018","173,306,017.80","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.3022","83.32","2,070,902","$172,547,555","172,547,554.64","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.2860","144.30","1,180,889","$170,402,283","170,402,282.70","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","1.2688","115.35","1,457,547","$168,128,046","168,128,046.45","Health Care","2853688","US8636671013","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","1.2391","141.33","1,161,775","$164,193,661","164,193,660.75","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"NEM","NEWMONT MINING CORP","Equity","1.2290","37.04","4,396,712","$162,854,212","162,854,212.48","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","1.2188","171.18","943,485","$161,505,762","161,505,762.30","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"PSA","PUBLIC STORAGE REIT","Equity","1.1859","213.72","735,244","$157,136,348","157,136,347.68","Real Estate","2852533","US74460D1090","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","1.1854","65.66","2,392,179","$157,070,473","157,070,473.14","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.1767","42.40","3,677,456","$155,924,134","155,924,134.40","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC","Equity","1.1753","116.24","1,339,783","$155,736,376","155,736,375.92","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","1.1333","10.36","14,495,144","$150,169,692","150,169,691.84","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.1180","82.51","1,795,438","$148,141,589","148,141,589.38","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"RSG","REPUBLIC SERVICES INC","Equity","1.1172","52.63","2,812,673","$148,030,980","148,030,979.99","Industrials","2262530","US7607591002","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","1.1143","58.72","2,514,427","$147,647,153","147,647,153.44","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.0931","31.71","4,567,787","$144,844,526","144,844,525.77","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","1.0397","90.99","1,514,061","$137,764,410","137,764,410.39","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","1.0394","127.00","1,084,480","$137,728,960","137,728,960.00","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","1.0111","66.12","2,026,340","$133,981,601","133,981,600.80","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
