iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"30-Nov-2016"
Total Net Assets,"$12,613,557,463"
Shares Outstanding,"283,800,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"T","AT&T INC","Equity","1.5374","38.63","5,001,954","$193,225,483","193,225,483.02","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.5205","96.02","1,990,276","$191,106,302","191,106,301.52","Information Technology","2065308","US0530151036","NASDAQ"
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.4723","49.90","3,708,233","$185,040,827","185,040,826.70","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.4421","111.30","1,628,490","$181,250,937","181,250,937.00","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","1.4274","115.92","1,547,603","$179,398,140","179,398,139.76","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","1.4221","100.10","1,785,580","$178,736,558","178,736,558.00","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","1.3914","169.10","1,034,186","$174,880,853","174,880,852.60","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.3821","119.27","1,456,470","$173,713,177","173,713,176.90","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.3608","87.30","1,959,124","$171,031,525","171,031,525.20","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.2972","82.46","1,977,126","$163,033,810","163,033,809.96","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","1.2662","158.32","1,005,166","$159,137,881","159,137,881.12","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.2630","77.32","2,053,045","$158,741,439","158,741,439.40","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","1.2519","69.52","2,263,261","$157,341,905","157,341,904.72","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","1.2513","58.95","2,667,894","$157,272,351","157,272,351.30","Information Technology","2674458","US7043261079","NASDAQ"
"SYK","STRYKER CORP","Equity","1.2470","113.66","1,378,956","$156,732,139","156,732,138.96","Health Care","2853688","US8636671013","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.2368","46.82","3,320,128","$155,448,393","155,448,392.96","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.2276","157.44","980,028","$154,295,608","154,295,608.32","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","1.2270","73.77","2,090,516","$154,217,365","154,217,365.32","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.2190","32.14","4,766,919","$153,208,777","153,208,776.66","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.2168","60.94","2,509,521","$152,930,210","152,930,209.74","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","1.2123","69.77","2,183,852","$152,367,354","152,367,354.04","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC","Equity","1.2045","119.43","1,267,560","$151,384,691","151,384,690.80","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"RSG","REPUBLIC SERVICES INC","Equity","1.1749","55.49","2,661,180","$147,668,878","147,668,878.20","Industrials","2262530","US7607591002","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","1.1682","164.49","892,629","$146,828,544","146,828,544.21","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.1170","40.35","3,479,230","$140,386,931","140,386,930.50","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"FISV","FISERV INC","Equity","1.0462","104.62","1,256,858","$131,492,484","131,492,483.96","Information Technology","2342034","US3377381088","NASDAQ"
"CB","CHUBB LTD","Equity","1.0450","128.00","1,026,103","$131,341,184","131,341,184.00","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","1.0258","10.22","12,615,383","$128,929,214","128,929,214.26","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","1.0248","61.19","2,104,986","$128,804,093","128,804,093.34","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","1.0171","78.34","1,631,732","$127,829,885","127,829,884.88","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","1.0070","82.72","1,530,020","$126,563,254","126,563,254.40","Financials","2740542","BMG0450A1053","NASDAQ"
"ISRG","INTUITIVE SURGICAL INC","Equity","0.9965","643.74","194,561","$125,246,698","125,246,698.14","Health Care","2871301","US46120E6023","NASDAQ"
"MO","ALTRIA GROUP INC","Equity","0.9753","63.93","1,917,327","$122,574,715","122,574,715.11","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"BCR","C R BARD INC","Equity","0.9517","210.55","568,118","$119,617,245","119,617,244.90","Health Care","2077905","US0673831097","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","0.9342","783.18","149,918","$117,412,779","117,412,779.24","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"PSA","PUBLIC STORAGE REIT","Equity","0.9290","209.30","557,845","$116,756,959","116,756,958.50","Real Estate","2852533","US74460D1090","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.9089","39.01","2,928,297","$114,232,866","114,232,865.97","Utilities","2614807","US98389B1008","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.8984","73.01","1,546,564","$112,914,638","112,914,637.64","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"SNPS","SYNOPSYS INC","Equity","0.8536","60.48","1,773,856","$107,282,811","107,282,810.88","Information Technology","2867719","US8716071076","NASDAQ"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.8007","162.22","620,378","$100,637,719","100,637,719.16","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.7845","65.23","1,511,512","$98,595,928","98,595,927.76","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","0.7824","73.29","1,341,786","$98,339,496","98,339,495.94","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.7816","67.12","1,463,649","$98,240,121","98,240,120.88","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"NEM","NEWMONT MINING CORP","Equity","0.7741","32.44","2,999,133","$97,291,875","97,291,874.52","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.7665","83.46","1,154,361","$96,342,969","96,342,969.06","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"CLX","CLOROX","Equity","0.7612","115.56","827,856","$95,667,039","95,667,039.36","Consumer Staples","2204026","US1890541097","New York Stock Exchange Inc."
"K","KELLOGG","Equity","0.7575","72.00","1,322,254","$95,202,288","95,202,288.00","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.7257","29.82","3,058,566","$91,206,438","91,206,438.12","Information Technology","2198163","US17275R1023","NASDAQ"
"DHR","DANAHER CORP","Equity","0.7219","78.17","1,160,708","$90,732,544","90,732,544.36","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.6853","129.40","665,658","$86,136,145","86,136,145.20","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"CHD","CHURCH AND DWIGHT INC","Equity","0.6759","43.79","1,940,056","$84,955,052","84,955,052.24","Consumer Staples","2195841","US1713401024","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.6739","179.65","471,485","$84,702,280","84,702,280.25","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"AET","AETNA INC","Equity","0.6727","130.84","646,173","$84,545,275","84,545,275.32","Health Care","2695921","US00817Y1082","New York Stock Exchange Inc."
