iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"05-Jan-2017"
Total Net Assets,"$12,323,574,096"
Shares Outstanding,"270,500,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"T","AT&T INC","Equity","1.6440","42.65","4,748,661","$202,530,392","202,530,391.65","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.5805","103.04","1,889,598","$194,704,178","194,704,177.92","Information Technology","2065308","US0530151036","NASDAQ"
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.5615","54.64","3,520,569","$192,363,890","192,363,890.16","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.4667","116.86","1,546,108","$180,678,181","180,678,180.88","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","1.4409","104.71","1,695,215","$177,505,963","177,505,962.65","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","1.3736","115.17","1,469,291","$169,218,244","169,218,244.47","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.3436","119.70","1,382,774","$165,518,048","165,518,047.80","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.3370","88.55","1,859,975","$164,700,786","164,700,786.25","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","1.3135","164.80","981,853","$161,809,374","161,809,374.40","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.2963","85.06","1,877,380","$159,689,943","159,689,942.80","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.2827","81.09","1,948,663","$158,017,083","158,017,082.67","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","1.2623","118.78","1,309,177","$155,504,044","155,504,044.06","Health Care","2853688","US8636671013","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","1.2565","162.18","954,424","$154,788,484","154,788,484.32","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.2526","49.14","3,140,188","$154,308,838","154,308,838.32","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","1.2516","60.85","2,533,813","$154,182,521","154,182,521.05","Information Technology","2674458","US7043261079","NASDAQ"
"DUK","DUKE ENERGY CORP","Equity","1.2515","77.75","1,982,908","$154,171,097","154,171,097.00","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.2346","33.61","4,525,099","$152,088,577","152,088,577.39","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.2336","163.30","930,619","$151,970,083","151,970,082.70","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","1.2313","70.59","2,148,719","$151,678,074","151,678,074.21","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","1.2275","178.43","847,467","$151,213,537","151,213,536.81","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","1.2273","73.72","2,050,909","$151,193,011","151,193,011.48","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.1815","62.25","2,338,067","$145,544,671","145,544,670.75","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"RSG","REPUBLIC SERVICES INC","Equity","1.1733","57.21","2,526,516","$144,541,980","144,541,980.36","Industrials","2262530","US7607591002","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC","Equity","1.1233","114.99","1,203,412","$138,380,346","138,380,345.88","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.1195","41.75","3,303,148","$137,906,429","137,906,429.00","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"FISV","FISERV INC","Equity","1.0520","108.61","1,193,258","$129,599,751","129,599,751.38","Information Technology","2342034","US3377381088","NASDAQ"
"CB","CHUBB LTD","Equity","1.0330","130.63","974,183","$127,257,525","127,257,525.29","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","1.0096","85.62","1,452,598","$124,371,441","124,371,440.76","Financials","2740542","BMG0450A1053","NASDAQ"
"MO","ALTRIA GROUP INC","Equity","1.0038","67.93","1,820,301","$123,653,047","123,653,046.93","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"BCR","C R BARD INC","Equity","1.0033","229.14","539,376","$123,592,617","123,592,616.64","Health Care","2077905","US0673831097","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","0.9937","10.22","11,978,353","$122,418,768","122,418,767.66","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"PSA","PUBLIC STORAGE REIT","Equity","0.9787","227.56","529,795","$120,560,150","120,560,150.20","Real Estate","2852533","US74460D1090","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.9753","60.11","1,998,829","$120,149,611","120,149,611.19","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.9576","76.15","1,549,155","$117,968,153","117,968,153.25","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.9484","632.91","184,597","$116,833,287","116,833,287.27","Health Care","2871301","US46120E6023","NASDAQ"
"XEL","XCEL ENERGY INC","Equity","0.9208","40.80","2,780,110","$113,428,488","113,428,488.00","Utilities","2614807","US98389B1008","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","0.9150","792.00","142,323","$112,719,816","112,719,816.00","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.8527","75.59","1,389,574","$105,037,899","105,037,898.66","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"NEM","NEWMONT MINING CORP","Equity","0.8457","36.57","2,848,900","$104,184,273","104,184,273.00","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.8440","70.83","1,467,886","$103,970,365","103,970,365.38","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"SNPS","SYNOPSYS INC","Equity","0.8175","59.79","1,684,296","$100,704,058","100,704,057.84","Information Technology","2867719","US8716071076","NASDAQ"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.8066","168.70","588,978","$99,360,589","99,360,588.60","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","0.7890","76.28","1,274,282","$97,202,231","97,202,230.96","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"CLX","CLOROX","Equity","0.7828","122.70","785,953","$96,436,433","96,436,433.10","Consumer Staples","2204026","US1890541097","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.7787","66.85","1,435,011","$95,930,485","95,930,485.35","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.7764","87.24","1,096,323","$95,643,219","95,643,218.52","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"K","KELLOGG","Equity","0.7450","73.11","1,255,348","$91,778,492","91,778,492.28","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.7151","80.01","1,100,991","$88,090,290","88,090,289.91","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.7112","30.17","2,903,779","$87,607,012","87,607,012.43","Information Technology","2198163","US17275R1023","NASDAQ"
"HD","HOME DEPOT INC","Equity","0.6869","133.90","631,965","$84,620,114","84,620,113.50","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.6776","217.78","383,271","$83,468,758","83,468,758.38","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.6774","106.99","779,942","$83,445,995","83,445,994.58","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"DPS","DR PEPPER SNAPPLE GROUP INC","Equity","0.6772","91.37","912,988","$83,419,714","83,419,713.56","Consumer Staples","B2QW0Z8","US26138E1091","New York Stock Exchange Inc."
"CHD","CHURCH AND DWIGHT INC","Equity","0.6712","44.89","1,841,879","$82,681,948","82,681,948.31","Consumer Staples","2195841","US1713401024","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.6700","184.40","447,611","$82,539,468","82,539,468.40","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","0.6552","917.00","88,020","$80,714,340","80,714,340.00","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"O","REALTY INCOME REIT CORP","Equity","0.6540","59.92","1,344,621","$80,569,690","80,569,690.32","Real Estate","2724193","US7561091049","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","0.6431","148.16","534,690","$79,219,670","79,219,670.40","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.6407","119.00","663,276","$78,929,844","78,929,844.00","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"VAR","VARIAN MEDICAL SYSTEMS INC","Equity","0.6318","88.82","876,219","$77,825,772","77,825,771.58","Health Care","2927516","US92220P1057","New York Stock Exchange Inc."
"AET","AETNA INC","Equity","0.6194","124.51","612,872","$76,308,693","76,308,692.72","Health Care","2695921","US00817Y1082","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","0.6137","70.15","1,077,624","$75,595,324","75,595,323.60","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","0.6133","62.30","1,212,745","$75,554,014","75,554,013.50","Information Technology","2588173","US5949181045","NASDAQ"
"AGNC","AGNC INVESTMENT REIT CORP","Equity","0.6124","18.94","3,983,182","$75,441,467","75,441,467.08","Financials","BYYHJL8","US00123Q1040","NASDAQ"
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.6109","65.15","1,155,049","$75,251,442","75,251,442.35","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"CTAS","CINTAS CORP","Equity","0.6107","116.28","647,005","$75,233,741","75,233,741.40","Industrials","2197137","US1729081059","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","0.6105","120.67","623,287","$75,212,042","75,212,042.29","Information Technology","B7TL820","US30303M1027","NASDAQ"
"PCG","PG&E CORP","Equity","0.5991","60.54","1,219,108","$73,804,798","73,804,798.32","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
"MKC","MCCORMICK & CO NON-VOTING INC","Equity","0.5977","91.49","804,783","$73,629,597","73,629,596.67","Consumer Staples","2550161","US5797802064","New York Stock Exchange Inc."
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.5976","78.05","943,295","$73,624,175","73,624,174.75","Information Technology","2769796","US31620M1062","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.5874","68.31","1,059,223","$72,355,523","72,355,523.13","Financials","2567741","US5717481023","New York Stock Exchange Inc."
