"Ticker","Name","Asset.Class","Weight....","Price","Shares","Market.Value","Notional.Value","Sector","SEDOL","ISIN","Exchange","Date"
"-","BLACKROCK FDS III","Cash",0.0557,"1","1,433","$1,433","-","S-T Securities","-","-","-","31-Oct-2011"
"-","BLACKROCK FDS III","Cash",0.083,"1","2,163","$2,163","-","S-T Securities","-","-","-","30-Nov-2011"
"-","BLACKROCK FDS III","Cash",0.071,"1","5,676","$5,676","-","S-T Securities","-","-","-","30-Dec-2011"
"-","BLACKROCK FDS III","Cash",0.1246,"1","13,475","$13,475","-","S-T Securities","-","-","-","31-Jan-2012"
"-","BLACKROCK FDS III","Cash",0.1119,"1","15,454","$15,454","-","S-T Securities","-","-","-","29-Feb-2012"
"-","BLACKROCK FDS III","Cash",0.2098,"1","41,442","$41,442","-","S-T Securities","-","-","-","30-Mar-2012"
"-","BLACKROCK FDS III","Cash",0.0641,"1","18,355","$18,355","-","S-T Securities","-","-","-","30-Apr-2012"
"-","BLACKROCK FDS III","Cash",0.17,"1","118,619","$118,619","-","S-T Securities","-","-","-","31-May-2012"
"-","BLACKROCK FDS III","Cash",0.0315,"1","63,874","$63,874","-","S-T Securities","-","-","-","29-Jun-2012"
"-","BLACKROCK FDS III","Cash",0.1235,"1","422,249","$422,249","-","S-T Securities","-","-","-","31-Jul-2012"
"-","BLACKROCK FDS III","Cash",0.0141,"1","50,273","$50,273","-","S-T Securities","-","-","-","31-Aug-2012"
"-","BLACKROCK FDS III","Cash",0.1004,"1","366,835","$366,835","-","S-T Securities","-","-","-","28-Sep-2012"
"-","BLACKROCK FDS III","Cash",0.1744,"1","913,112","$913,112","-","S-T Securities","-","-","-","31-Oct-2012"
"-","BLACKROCK FDS III","Cash",0.1854,"1","1,218,632","$1,218,632","-","S-T Securities","-","-","-","30-Nov-2012"
"-","BLACKROCK FDS III","Cash",0.1645,"1","1,236,225","$1,236,225","-","S-T Securities","-","-","-","31-Dec-2012"
"-","BLACKROCK FDS III","Cash",0.038,"1","474,710","$474,710","-","S-T Securities","-","-","-","31-Jan-2013"
"-","BLACKROCK FDS III","Cash",0.1329,"1","2,280,778","$2,280,778","-","S-T Securities","-","-","-","28-Feb-2013"
"-","BLACKROCK FDS III","Cash",0.4416,"1","11,420,680","$11,420,680","-","S-T Securities","-","-","-","28-Mar-2013"
"-","BLACKROCK FDS III","Cash",0.0579,"1","2,137,516","$2,137,516","-","S-T Securities","-","-","-","30-Apr-2013"
"-","BLACKROCK FDS III","Cash",0.0445,"1","1,728,868","$1,728,868","-","S-T Securities","-","-","-","31-May-2013"
"-","BLACKROCK FDS III","Cash",0.2675,"1","9,557,422","$9,557,422","-","S-T Securities","-","-","-","28-Jun-2013"
"-","BLACKROCK FDS III","Cash",0.0681,"1","1,583,169","$1,583,169","-","S-T Securities","-","-","-","31-Jul-2013"
"-","BLACKROCK FDS III","Cash",0.1754,"1","3,831,798","$3,831,798","-","S-T Securities","-","-","-","30-Aug-2013"
"-","BLACKROCK FDS III","Cash",0.1267,"1","2,572,532","$2,572,532","-","S-T Securities","-","-","-","30-Sep-2013"
"-","BLACKROCK FDS III","Cash",0.0447,"1.00","948,362","$948,362","-","S-T Securities","-","-","-","31-Oct-2013"
"-","BLACKROCK FDS III","Cash",0.1587,"1.00","3,799,503","$3,799,503","-","S-T Securities","-","-","-","29-Nov-2013"
"-","BLACKROCK FDS III","Cash",0.1203,"1.00","2,906,307","$2,906,307","-","S-T Securities","-","-","-","31-Dec-2013"
"-","BLACKROCK FDS III","Cash",0.0931,"1.00","2,200,940","$2,200,940","-","S-T Securities","-","-","-","31-Jan-2014"
"-","BLACKROCK FDS III","Cash",0.0042,"1.00","101,904","$101,904","-","S-T Securities","-","-","-","28-Feb-2014"
"-","BLACKROCK FDS III","Cash",0.1232,"1.00","3,003,952","$3,003,952","-","S-T Securities","-","-","-","31-Mar-2014"
"-","BLACKROCK FDS III","Cash",0.1136,"1","2,883,044","$2,883,044","-","S-T Securities","-","-","-","30-Apr-2014"
"A60","ACTAVIS INC","Equity",0.4512,"154.58","61,933","$9,573,603","-","Health Care","B94VGB4","IE00BD1NQJ95","Boerse Berlin","31-Oct-2013"
"A60","ACTAVIS INC","Equity",0.4698,"163.07","68,961","$11,245,470","-","Health Care","B94VGB4","IE00BD1NQJ95","Boerse Berlin","29-Nov-2013"
"A60","ACTAVIS INC","Equity",0.4777,"168.00","68,706","$11,542,608","-","Health Care","B94VGB4","IE00BD1NQJ95","Boerse Berlin","31-Dec-2013"
"A60","ACTAVIS INC","Equity",0.554,"188.98","69,312","$13,098,582","-","Health Care","B94VGB4","IE00BD1NQJ95","Boerse Berlin","31-Jan-2014"
"A60","ACTAVIS INC","Equity",0.6214,"220.82","68,013","$15,018,631","-","Health Care","B94VGB4","IE00BD1NQJ95","Boerse Berlin","28-Feb-2014"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.7986,"65.07","316","$20,562","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","31-Oct-2011"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.8398,"69.22","316","$21,874","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","30-Nov-2011"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.8256,"69.63","948","$66,009","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","30-Dec-2011"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.8957,"76.64","1,264","$96,873","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","31-Jan-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.9765,"85.37","1,580","$134,885","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","29-Feb-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.9881,"88.57","2,204","$195,208","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","30-Mar-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",1.0132,"91.8","3,159","$289,996","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","30-Apr-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.8077,"72.94","7,728","$563,680","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","31-May-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.7588,"68.22","22,531","$1,537,065","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","29-Jun-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.743,"70.15","36,226","$2,541,254","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","31-Jul-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.7542,"71.12","37,786","$2,687,340","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","31-Aug-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.7209,"68.44","38,494","$2,634,529","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","28-Sep-2012"
