iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"31-Oct-2011"
Total Net Assets,"-"
Shares Outstanding,"100,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"GHC","GRAHAM HOLDINGS COMPANY CO CLASS B","Equity","0.0506","340.16","4","$1,361","-","Consumer Discretionary","2942003","US9396401088","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","0.0723","323.59","6","$1,942","-","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"CMG","CHIPOTLE MEXICAN GRILL INC","Equity","0.0876","336.12","7","$2,353","-","Consumer Discretionary","B0X7DZ3","US1696561059","New York Stock Exchange Inc."
"MLM","MARTIN MARIETTA MATERIALS INC.","Equity","0.0269","72.17","10","$722","-","Materials","2572079","US5732841060","New York Stock Exchange Inc."
"SHLD","SEARS HOLDINGS CORP","Equity","0.0291","78.18","10","$782","-","Consumer Discretionary","2634805","US8123501061","NASDAQ"
"IHS","IHS INC CLASS A","Equity","0.0313","83.99","10","$840","-","Industrials","B08L7X6","US4517341073","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.1615","433.86","10","$4,339","-","Health Care","2871301","US46120E6023","NASDAQ"
"CLR","CONTINENTAL RESOURCES INC","Equity","0.0248","60.65","11","$667","-","Energy","B1XGWS3","US2120151012","New York Stock Exchange Inc."
"RNR","RENAISSANCERE HOLDING LTD","Equity","0.0279","68.12","11","$749","-","Financials","2728429","BMG7496G1033","New York Stock Exchange Inc."
"NFLX","NETFLIX INC","Equity","0.0336","82.08","11","$903","-","Consumer Discretionary","2857817","US64110L1061","NASDAQ"
"PCLN","PRICELINE GROUP INC/THE","Equity","0.2079","507.72","11","$5,585","-","Consumer Discretionary","2779063","US7415034039","NASDAQ"
"DLB","DOLBY LABORATORIES INC. CL A","Equity","0.0131","29.24","12","$351","-","Information Technology","B04NJM9","US25659T1079","New York Stock Exchange Inc."
