iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"30-Nov-2011"
Total Net Assets,"-"
Shares Outstanding,"100,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"GHC","GRAHAM HOLDINGS COMPANY CO CLASS B","Equity","0.0134","358.91","1","$359","-","Consumer Discretionary","2942003","US9396401088","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","0.0736","328.38","6","$1,970","-","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"CMG","CHIPOTLE MEXICAN GRILL INC","Equity","0.0840","321.56","7","$2,251","-","Consumer Discretionary","B0X7DZ3","US1696561059","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.1459","434.21","9","$3,908","-","Health Care","2871301","US46120E6023","NASDAQ"
"FSLR","FIRST SOLAR INC","Equity","0.0179","47.86","10","$479","-","Information Technology","B1HMF22","US3364331070","NASDAQ"
"SHLD","SEARS HOLDINGS CORP","Equity","0.0225","60.33","10","$603","-","Consumer Discretionary","2634805","US8123501061","NASDAQ"
"SPXC","SPX CORP","Equity","0.0237","63.40","10","$634","-","Industrials","2787185","US7846351044","New York Stock Exchange Inc."
"MLM","MARTIN MARIETTA MATERIALS INC.","Equity","0.0292","78.26","10","$783","-","Materials","2572079","US5732841060","New York Stock Exchange Inc."
"IHS","IHS INC CLASS A","Equity","0.0330","88.38","10","$884","-","Industrials","B08L7X6","US4517341073","New York Stock Exchange Inc."
"NFLX","NETFLIX INC","Equity","0.0265","64.53","11","$710","-","Consumer Discretionary","2857817","US64110L1061","NASDAQ"
"CLR","CONTINENTAL RESOURCES INC","Equity","0.0290","70.59","11","$776","-","Energy","B1XGWS3","US2120151012","New York Stock Exchange Inc."
"RNR","RENAISSANCERE HOLDING LTD","Equity","0.0302","73.44","11","$808","-","Financials","2728429","BMG7496G1033","New York Stock Exchange Inc."
"PCLN","PRICELINE GROUP INC/THE","Equity","0.1995","485.89","11","$5,345","-","Consumer Discretionary","2779063","US7415034039","NASDAQ"
"DLB","DOLBY LABORATORIES INC. CL A","Equity","0.0147","32.92","12","$395","-","Information Technology","B04NJM9","US25659T1079","New York Stock Exchange Inc."
"MHK","MOHAWK INDUSTRIES INC","Equity","0.0244","54.56","12","$655","-","Consumer Discretionary","2598699","US6081901042","New York Stock Exchange Inc."
"DNB","DUN & BRADSTREET CORP","Equity","0.0313","69.87","12","$838","-","Industrials","2636254","US26483E1001","New York Stock Exchange Inc."
"RAH","RALCORP HOLDINGS INC.","Equity","0.0364","81.32","12","$976","-","Consumer Staples","2741244","US7510281014","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.0393","87.73","12","$1,053","-","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"FOSL","FOSSIL GROUP INC.","Equity","0.0401","89.59","12","$1,075","-","Consumer Discretionary","2346627","US3498821004","NASDAQ"
"ADS","ALLIANCE DATA SYSTEMS CORP","Equity","0.0459","102.41","12","$1,229","-","Information Technology","2762030","US0185811082","New York Stock Exchange Inc."
"FLS","FLOWSERVE CORP","Equity","0.0460","102.77","12","$1,233","-","Industrials","2288406","US34354P1057","New York Stock Exchange Inc."
