iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"31-Jan-2012"
Total Net Assets,"-"
Shares Outstanding,"4,700,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"GHC","GRAHAM HOLDINGS COMPANY CO CLASS B","Equity","0.0160","378.71","56","$21,208","-","Consumer Discretionary","2942003","US9396401088","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","0.0707","347.88","270","$93,928","-","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"CMG","CHIPOTLE MEXICAN GRILL INC","Equity","0.0935","367.29","338","$124,144","-","Consumer Discretionary","B0X7DZ3","US1696561059","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.1448","459.91","418","$192,242","-","Health Care","2871301","US46120E6023","NASDAQ"
"SHLD","SEARS HOLDINGS CORP","Equity","0.0149","42.15","470","$19,811","-","Consumer Discretionary","2634805","US8123501061","NASDAQ"
"IHS","IHS INC CLASS A","Equity","0.0317","89.48","470","$42,056","-","Industrials","B08L7X6","US4517341073","New York Stock Exchange Inc."
"MLM","MARTIN MARIETTA MATERIALS INC.","Equity","0.0300","82.51","483","$39,852","-","Materials","2572079","US5732841060","New York Stock Exchange Inc."
"CLR","CONTINENTAL RESOURCES INC","Equity","0.0307","80.68","506","$40,824","-","Energy","B1XGWS3","US2120151012","New York Stock Exchange Inc."
"PCLN","PRICELINE GROUP INC/THE","Equity","0.2130","529.48","534","$282,742","-","Consumer Discretionary","2779063","US7415034039","NASDAQ"
"SPXC","SPX CORP","Equity","0.0287","69.63","547","$38,088","-","Industrials","2787185","US7846351044","New York Stock Exchange Inc."
"DNB","DUN & BRADSTREET CORP","Equity","0.0343","82.81","550","$45,546","-","Industrials","2636254","US26483E1001","New York Stock Exchange Inc."
"ADS","ALLIANCE DATA SYSTEMS CORP","Equity","0.0461","110.80","552","$61,162","-","Information Technology","2762030","US0185811082","New York Stock Exchange Inc."
"RNR","RENAISSANCERE HOLDING LTD","Equity","0.0310","73.11","563","$41,161","-","Financials","2728429","BMG7496G1033","New York Stock Exchange Inc."
"NFLX","NETFLIX INC","Equity","0.0510","120.20","563","$67,673","-","Consumer Discretionary","2857817","US64110L1061","NASDAQ"
"DLB","DOLBY LABORATORIES INC. CL A","Equity","0.0155","36.37","564","$20,513","-","Information Technology","B04NJM9","US25659T1079","New York Stock Exchange Inc."
"FOSL","FOSSIL GROUP INC.","Equity","0.0404","95.05","564","$53,608","-","Consumer Discretionary","2346627","US3498821004","NASDAQ"
"RE","EVEREST RE GROUP LTD","Equity","0.0370","85.40","576","$49,190","-","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"RAH","RALCORP HOLDINGS INC.","Equity","0.0379","87.45","576","$50,371","-","Consumer Staples","2741244","US7510281014","New York Stock Exchange Inc."
"FLS","FLOWSERVE CORP","Equity","0.0493","110.17","594","$65,441","-","Industrials","2288406","US34354P1057","New York Stock Exchange Inc."
"MHK","MOHAWK INDUSTRIES INC","Equity","0.0285","61.16","618","$37,797","-","Consumer Discretionary","2598699","US6081901042","New York Stock Exchange Inc."
"GWW","WW GRAINGER INC","Equity","0.0927","190.74","645","$123,027","-","Industrials","2380863","US3848021040","New York Stock Exchange Inc."
"FSLR","FIRST SOLAR INC","Equity","0.0210","42.28","658","$27,820","-","Information Technology","B1HMF22","US3364331070","NASDAQ"
"CVD","COVANCE INC.","Equity","0.0217","43.81","658","$28,827","-","Health Care","2229029","US2228161004","New York Stock Exchange Inc."
"WLTGQ","WALTER ENERGY INC","Equity","0.0343","69.13","658","$45,488","-","Materials","2951805","US93317Q1058","Non-Nms Quotation Service (Nnqs)"
"RL","RALPH LAUREN CORPORATION","Equity","0.0754","152.00","659","$100,168","-","Consumer Discretionary","B4V9661","US7512121010","New York Stock Exchange Inc."
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity","0.0476","94.46","669","$63,194","-","Financials","2333931","US3137472060","New York Stock Exchange Inc."
"PRE","PARTNERRE LTD","Equity","0.0332","65.42","674","$44,093","-","Financials","2671932","BMG6852T1053","New York Stock Exchange Inc."
"MX4A","CME GROUP INC CLASS A","Equity","0.1223","239.51","678","$162,388","-","Financials","B012KV5","US12572Q1058","Boerse Berlin"
"DV","DEVRY EDUCATION GROUP INC","Equity","0.0194","37.76","682","$25,752","-","Consumer Discretionary","2267609","US2518931033","New York Stock Exchange Inc."
"DO","DIAMOND OFFSHORE DRILLING INC","Equity","0.0352","62.30","751","$46,787","-","Energy","2261021","US25271C1027","New York Stock Exchange Inc."
"EGN","ENERGEN CORP.","Equity","0.0273","48.17","752","$36,224","-","Energy","2012672","US29265N1081","New York Stock Exchange Inc."
"ENR","ENERGIZER HOLDINGS INC","Equity","0.0437","77.12","752","$57,994","-","Consumer Staples","2569297","US29266R1086","New York Stock Exchange Inc."
