iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"29-Feb-2012"
Total Net Assets,"-"
Shares Outstanding,"4,350,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"GHC","GRAHAM HOLDINGS COMPANY CO CLASS B","Equity","0.0150","393.90","49","$19,301","-","Consumer Discretionary","2942003","US9396401088","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","0.0727","374.48","249","$93,246","-","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"CMG","CHIPOTLE MEXICAN GRILL INC","Equity","0.0943","390.22","310","$120,968","-","Consumer Discretionary","B0X7DZ3","US1696561059","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.1567","511.62","393","$201,067","-","Health Care","2871301","US46120E6023","NASDAQ"
"SHLD","SEARS HOLDINGS CORP","Equity","0.0236","69.66","435","$30,302","-","Consumer Discretionary","2634805","US8123501061","NASDAQ"
"IHS","IHS INC CLASS A","Equity","0.0321","94.57","435","$41,138","-","Industrials","B08L7X6","US4517341073","New York Stock Exchange Inc."
"MLM","MARTIN MARIETTA MATERIALS INC.","Equity","0.0300","85.87","448","$38,470","-","Materials","2572079","US5732841060","New York Stock Exchange Inc."
"CLR","CONTINENTAL RESOURCES INC","Equity","0.0333","90.68","471","$42,710","-","Energy","B1XGWS3","US2120151012","New York Stock Exchange Inc."
"PCLN","PRICELINE GROUP INC/THE","Equity","0.2405","627.02","492","$308,494","-","Consumer Discretionary","2779063","US7415034039","NASDAQ"
"SPXC","SPX CORP","Equity","0.0288","73.14","505","$36,936","-","Industrials","2787185","US7846351044","New York Stock Exchange Inc."
"DNB","DUN & BRADSTREET CORP","Equity","0.0327","82.65","508","$41,986","-","Industrials","2636254","US26483E1001","New York Stock Exchange Inc."
"ADS","ALLIANCE DATA SYSTEMS CORP","Equity","0.0483","121.36","510","$61,894","-","Information Technology","2762030","US0185811082","New York Stock Exchange Inc."
"RNR","RENAISSANCERE HOLDING LTD","Equity","0.0292","71.96","521","$37,491","-","Financials","2728429","BMG7496G1033","New York Stock Exchange Inc."
"NFLX","NETFLIX INC","Equity","0.0450","110.73","521","$57,690","-","Consumer Discretionary","2857817","US64110L1061","NASDAQ"
"DLB","DOLBY LABORATORIES INC. CL A","Equity","0.0155","38.07","522","$19,873","-","Information Technology","B04NJM9","US25659T1079","New York Stock Exchange Inc."
"FOSL","FOSSIL GROUP INC.","Equity","0.0496","121.98","522","$63,674","-","Consumer Discretionary","2346627","US3498821004","NASDAQ"
