iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"30-Mar-2012"
Total Net Assets,"-"
Shares Outstanding,"4,350,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"GHC","GRAHAM HOLDINGS COMPANY CO CLASS B","Equity","0.0139","373.57","49","$18,305","-","Consumer Discretionary","2942003","US9396401088","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.0315","329.10","126","$41,467","-","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","0.0703","371.80","249","$92,578","-","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"CMG","CHIPOTLE MEXICAN GRILL INC","Equity","0.0983","418.00","310","$129,580","-","Consumer Discretionary","B0X7DZ3","US1696561059","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.1616","541.75","393","$212,908","-","Health Care","2871301","US46120E6023","NASDAQ"
"SHLD","SEARS HOLDINGS CORP","Equity","0.0211","66.25","420","$27,825","-","Consumer Discretionary","2634805","US8123501061","NASDAQ"
"IHS","IHS INC CLASS A","Equity","0.0309","93.65","435","$40,738","-","Industrials","B08L7X6","US4517341073","New York Stock Exchange Inc."
"MLM","MARTIN MARIETTA MATERIALS INC.","Equity","0.0291","85.63","448","$38,362","-","Materials","2572079","US5732841060","New York Stock Exchange Inc."
"CLR","CONTINENTAL RESOURCES INC","Equity","0.0307","85.82","471","$40,421","-","Energy","B1XGWS3","US2120151012","New York Stock Exchange Inc."
"PCLN","PRICELINE GROUP INC/THE","Equity","0.2701","717.50","496","$355,880","-","Consumer Discretionary","2779063","US7415034039","NASDAQ"
"DNB","DUN & BRADSTREET CORP","Equity","0.0327","84.73","508","$43,043","-","Industrials","2636254","US26483E1001","New York Stock Exchange Inc."
"ADS","ALLIANCE DATA SYSTEMS CORP","Equity","0.0487","125.96","510","$64,240","-","Information Technology","2762030","US0185811082","New York Stock Exchange Inc."
"RNR","RENAISSANCERE HOLDING LTD","Equity","0.0299","75.73","521","$39,455","-","Financials","2728429","BMG7496G1033","New York Stock Exchange Inc."
"DLB","DOLBY LABORATORIES INC. CL A","Equity","0.0151","38.06","522","$19,867","-","Information Technology","B04NJM9","US25659T1079","New York Stock Exchange Inc."
"FOSL","FOSSIL GROUP INC.","Equity","0.0532","131.98","531","$70,081","-","Consumer Discretionary","2346627","US3498821004","NASDAQ"
"RAH","RALCORP HOLDINGS INC.","Equity","0.0300","74.09","534","$39,564","-","Consumer Staples","2741244","US7510281014","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.0375","92.52","534","$49,406","-","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"NFLX","NETFLIX INC","Equity","0.0476","115.04","545","$62,697","-","Consumer Discretionary","2857817","US64110L1061","NASDAQ"
"SPXC","SPX CORP","Equity","0.0326","77.53","554","$42,952","-","Industrials","2787185","US7846351044","New York Stock Exchange Inc."
"MHK","MOHAWK INDUSTRIES INC","Equity","0.0287","66.51","569","$37,844","-","Consumer Discretionary","2598699","US6081901042","New York Stock Exchange Inc."
"FLS","FLOWSERVE CORP","Equity","0.0513","115.51","585","$67,573","-","Industrials","2288406","US34354P1057","New York Stock Exchange Inc."
"GWW","WW GRAINGER INC","Equity","0.0972","214.81","596","$128,027","-","Industrials","2380863","US3848021040","New York Stock Exchange Inc."
"CVD","COVANCE INC.","Equity","0.0220","47.63","609","$29,007","-","Health Care","2229029","US2228161004","New York Stock Exchange Inc."
"RL","RALPH LAUREN CORPORATION","Equity","0.0807","174.33","610","$106,341","-","Consumer Discretionary","B4V9661","US7512121010","New York Stock Exchange Inc."
"MX4A","CME GROUP INC CLASS A","Equity","0.1381","289.33","629","$181,989","-","Financials","B012KV5","US12572Q1058","Boerse Berlin"
