iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"30-Apr-2012"
Total Net Assets,"-"
Shares Outstanding,"4,200,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"GHC","GRAHAM HOLDINGS COMPANY CO CLASS B","Equity","0.0138","378.17","46","$17,396","-","Consumer Discretionary","2942003","US9396401088","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.0334","342.90","123","$42,177","-","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","0.0730","396.16","233","$92,305","-","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"CMG","CHIPOTLE MEXICAN GRILL INC","Equity","0.0976","414.15","298","$123,417","-","Consumer Discretionary","B0X7DZ3","US1696561059","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.1728","578.20","378","$218,560","-","Health Care","2871301","US46120E6023","NASDAQ"
"SHLD","SEARS HOLDINGS CORP","Equity","0.0172","53.78","405","$21,781","-","Consumer Discretionary","2634805","US8123501061","NASDAQ"
"IHS","IHS INC CLASS A","Equity","0.0336","101.07","420","$42,449","-","Industrials","B08L7X6","US4517341073","New York Stock Exchange Inc."
"MLM","MARTIN MARIETTA MATERIALS INC.","Equity","0.0284","82.88","433","$35,887","-","Materials","2572079","US5732841060","New York Stock Exchange Inc."
"CLR","CONTINENTAL RESOURCES INC","Equity","0.0322","89.25","456","$40,698","-","Energy","B1XGWS3","US2120151012","New York Stock Exchange Inc."
"PCLN","PRICELINE GROUP INC/THE","Equity","0.2876","760.82","478","$363,672","-","Consumer Discretionary","2779063","US7415034039","NASDAQ"
"DNB","DUN & BRADSTREET CORP","Equity","0.0301","77.78","490","$38,112","-","Industrials","2636254","US26483E1001","New York Stock Exchange Inc."
"ADS","ALLIANCE DATA SYSTEMS CORP","Equity","0.0500","128.49","492","$63,217","-","Information Technology","2762030","US0185811082","New York Stock Exchange Inc."
"SPXC","SPX CORP","Equity","0.0305","76.78","502","$38,544","-","Industrials","2787185","US7846351044","New York Stock Exchange Inc."
"RNR","RENAISSANCERE HOLDING LTD","Equity","0.0311","78.06","503","$39,264","-","Financials","2728429","BMG7496G1033","New York Stock Exchange Inc."
"DLB","DOLBY LABORATORIES INC. CL A","Equity","0.0156","39.23","504","$19,772","-","Information Technology","B04NJM9","US25659T1079","New York Stock Exchange Inc."
"FOSL","FOSSIL GROUP INC.","Equity","0.0530","130.67","513","$67,034","-","Consumer Discretionary","2346627","US3498821004","NASDAQ"
"RAH","RALCORP HOLDINGS INC.","Equity","0.0297","72.81","516","$37,570","-","Consumer Staples","2741244","US7510281014","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.0404","99.10","516","$51,136","-","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"NFLX","NETFLIX INC","Equity","0.0334","80.14","527","$42,234","-","Consumer Discretionary","2857817","US64110L1061","NASDAQ"
"FLS","FLOWSERVE CORP","Equity","0.0492","114.93","541","$62,177","-","Industrials","2288406","US34354P1057","New York Stock Exchange Inc."
"FSLR","FIRST SOLAR INC","Equity","0.0079","18.40","543","$9,991","-","Information Technology","B1HMF22","US3364331070","NASDAQ"
"MHK","MOHAWK INDUSTRIES INC","Equity","0.0290","67.02","548","$36,727","-","Consumer Discretionary","2598699","US6081901042","New York Stock Exchange Inc."
"GWW","WW GRAINGER INC","Equity","0.0945","207.82","575","$119,497","-","Industrials","2380863","US3848021040","New York Stock Exchange Inc."
"CVD","COVANCE INC.","Equity","0.0217","46.76","588","$27,495","-","Health Care","2229029","US2228161004","New York Stock Exchange Inc."
"RL","RALPH LAUREN CORPORATION","Equity","0.0802","172.27","589","$101,467","-","Consumer Discretionary","B4V9661","US7512121010","New York Stock Exchange Inc."
"MX4A","CME GROUP INC CLASS A","Equity","0.1278","265.82","608","$161,619","-","Financials","B012KV5","US12572Q1058","Boerse Berlin"
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity","0.0486","100.66","611","$61,503","-","Financials","2333931","US3137472060","New York Stock Exchange Inc."
"WLTGQ","WALTER ENERGY INC","Equity","0.0324","66.31","618","$40,980","-","Materials","2951805","US93317Q1058","Non-Nms Quotation Service (Nnqs)"
"PRE","PARTNERRE LTD","Equity","0.0341","69.62","620","$43,164","-","Financials","2671932","BMG6852T1053","New York Stock Exchange Inc."
"CF","CF INDUSTRIES HOLDINGS INC","Equity","0.0973","193.06","637","$122,979","-","Materials","B0G4K50","US1252691001","New York Stock Exchange Inc."
"ENR","ENERGIZER HOLDINGS INC","Equity","0.0366","71.33","649","$46,293","-","Consumer Staples","2569297","US29266R1086","New York Stock Exchange Inc."
"DO","DIAMOND OFFSHORE DRILLING INC","Equity","0.0364","68.55","671","$45,997","-","Energy","2261021","US25271C1027","New York Stock Exchange Inc."
"EGN","ENERGEN CORP.","Equity","0.0278","52.38","672","$35,199","-","Energy","2012672","US29265N1081","New York Stock Exchange Inc."
"FMC","FMC CORP","Equity","0.0597","110.45","683","$75,437","-","Materials","2328603","US3024913036","New York Stock Exchange Inc."
"RKT","ROCK-TENN CO. CL A","Equity","0.0337","62.33","684","$42,634","-","Materials","2747082","US7727392075","New York Stock Exchange Inc."
"ARG","AIRGAS INC","Equity","0.0498","91.64","687","$62,957","-","Materials","2011561","US0093631028","New York Stock Exchange Inc."
"AAP","ADVANCE AUTO PARTS INC","Equity","0.0510","91.80","702","$64,444","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc."
"ICE","INTERCONTINENTALEXCHANGE INC.","Equity","0.0740","133.04","703","$93,527","-","Financials","B0PBS81","US45865V1008","New York Stock Exchange Inc."
