iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"31-May-2012"
Total Net Assets,"-"
Shares Outstanding,"4,300,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"KMI WS","KINDER MORGAN EQUITY WARRANTS EXP","Equity","0.0000","2.28","0","$0","-","Energy","B7LCWC9","US49456B1199","New York Stock Exchange Inc."
"FSLR","FIRST SOLAR INC","Equity","0.0057","12.56","555","$6,971","-","Information Technology","B1HMF22","US3364331070","NASDAQ"
"ACI","ARCH COAL INC.","Equity","0.0109","6.34","2,087","$13,232","-","Energy","2037181","US0393801008","New York Stock Exchange Inc."
"PCS","METROPCS COMMUNICATIONS INC.","Equity","0.0130","6.40","2,473","$15,827","-","Telecommunication Services","B02F228","US5917081029","New York Stock Exchange Inc."
"GHC","GRAHAM HOLDINGS COMPANY CO CLASS B","Equity","0.0138","348.82","48","$16,743","-","Consumer Discretionary","2942003","US9396401088","New York Stock Exchange Inc."
"LUV","SOUTHWEST AIRLINES","Equity","0.0143","9.03","1,924","$17,374","-","Industrials","2831543","US8447411088","New York Stock Exchange Inc."
"NIHDQ","NII HOLDINGS INC CLASS B","Equity","0.0160","11.52","1,688","$19,446","-","Telecommunication Services","2090485","US62913F2011","Non-Nms Quotation Service (Nnqs)"
"UAL","UNITED CONTINENTAL HOLDINGS INC","Equity","0.0160","25.17","774","$19,482","-","Industrials","B4QG225","US9100471096","New York Stock Exchange Inc."
"SHLD","SEARS HOLDINGS CORP","Equity","0.0169","49.40","415","$20,501","-","Consumer Discretionary","2634805","US8123501061","NASDAQ"
"DLB","DOLBY LABORATORIES INC. CL A","Equity","0.0182","42.89","516","$22,131","-","Information Technology","B04NJM9","US25659T1079","New York Stock Exchange Inc."
"CVC","CABLEVISION SYSTEMS CORP CLASS A","Equity","0.0186","11.44","1,978","$22,628","-","Consumer Discretionary","2162243","US12686C1099","New York Stock Exchange Inc."
"ANRZQ","ALPHA NATURAL RESOURCES INC","Equity","0.0187","10.48","2,168","$22,721","-","Energy","B066NX5","US02076X1028","Non-Nms Quotation Service (Nnqs)"
"GME","GAMESTOP CORP CLASS A","Equity","0.0207","19.18","1,313","$25,183","-","Consumer Discretionary","B0LLFT5","US36467W1099","New York Stock Exchange Inc."
"GNW","GENWORTH FINANCIAL A INC","Equity","0.0208","5.24","4,821","$25,262","-","Financials","B011WL6","US37247D1063","New York Stock Exchange Inc."
"DAL","DELTA AIR LINES INC","Equity","0.0210","12.10","2,105","$25,471","-","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"PBI","PITNEY BOWES INC","Equity","0.0213","13.64","1,898","$25,889","-","Industrials","2690506","US7244791007","New York Stock Exchange Inc."
