iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"29-Jun-2012"
Total Net Assets,"-"
Shares Outstanding,"4,750,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"LUV","SOUTHWEST AIRLINES","Equity","0.0141","9.22","2,122","$19,565","-","Industrials","2831543","US8447411088","New York Stock Exchange Inc."
"PCS","METROPCS COMMUNICATIONS INC.","Equity","0.0146","6.05","3,340","$20,207","-","Telecommunication Services","B02F228","US5917081029","New York Stock Exchange Inc."
"ANRZQ","ALPHA NATURAL RESOURCES INC","Equity","0.0150","8.71","2,393","$20,843","-","Energy","B066NX5","US02076X1028","Non-Nms Quotation Service (Nnqs)"
"GHC","GRAHAM HOLDINGS COMPANY CO CLASS B","Equity","0.0153","373.82","57","$21,308","-","Consumer Discretionary","2942003","US9396401088","New York Stock Exchange Inc."
"UAL","UNITED CONTINENTAL HOLDINGS INC","Equity","0.0165","24.33","939","$22,846","-","Industrials","B4QG225","US9100471096","New York Stock Exchange Inc."
"DLB","DOLBY LABORATORIES INC. CL A","Equity","0.0170","41.30","570","$23,541","-","Information Technology","B04NJM9","US25659T1079","New York Stock Exchange Inc."
"SHLD","SEARS HOLDINGS CORP","Equity","0.0172","59.70","401","$23,940","-","Consumer Discretionary","2634805","US8123501061","NASDAQ"
"DAL","DELTA AIR LINES INC","Equity","0.0183","10.95","2,321","$25,415","-","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"ST","SENSATA TECHNOLOGIES HOLDING N.V.","Equity","0.0184","26.78","956","$25,602","-","Industrials","B62S207","NL0009324904","New York Stock Exchange Inc."
"DLPH","DELPHI AUTOMOTIVE PLC","Equity","0.0196","25.50","1,066","$27,183","-","Consumer Discretionary","B783TY6","JE00B783TY65","New York Stock Exchange Inc."
"GME","GAMESTOP CORP CLASS A","Equity","0.0205","18.36","1,550","$28,458","-","Consumer Discretionary","B0LLFT5","US36467W1099","New York Stock Exchange Inc."
"CVC","CABLEVISION SYSTEMS CORP CLASS A","Equity","0.0209","13.29","2,185","$29,039","-","Consumer Discretionary","2162243","US12686C1099","New York Stock Exchange Inc."
