iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"31-Jul-2012"
Total Net Assets,"-"
Shares Outstanding,"4,800,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"NIHDQ","NII HOLDINGS INC CLASS B","Equity","0.0080","6.75","1,687","$11,387","-","Telecommunication Services","2090485","US62913F2011","Non-Nms Quotation Service (Nnqs)"
"ANRZQ","ALPHA NATURAL RESOURCES INC","Equity","0.0110","7.01","2,222","$15,576","-","Energy","B066NX5","US02076X1028","Non-Nms Quotation Service (Nnqs)"
"UAL","UNITED CONTINENTAL HOLDINGS INC","Equity","0.0126","18.89","949","$17,927","-","Industrials","B4QG225","US9100471096","New York Stock Exchange Inc."
"GHC","GRAHAM HOLDINGS COMPANY CO CLASS B","Equity","0.0138","338.50","58","$19,633","-","Consumer Discretionary","2942003","US9396401088","New York Stock Exchange Inc."
"LUV","SOUTHWEST AIRLINES","Equity","0.0139","9.19","2,144","$19,703","-","Industrials","2831543","US8447411088","New York Stock Exchange Inc."
"SHLD","SEARS HOLDINGS CORP","Equity","0.0141","49.49","405","$20,043","-","Consumer Discretionary","2634805","US8123501061","NASDAQ"
"DLB","DOLBY LABORATORIES INC. CL A","Equity","0.0143","35.25","576","$20,304","-","Information Technology","B04NJM9","US25659T1079","New York Stock Exchange Inc."
"DAL","DELTA AIR LINES INC","Equity","0.0159","9.65","2,345","$22,629","-","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"WLTGQ","WALTER ENERGY INC","Equity","0.0160","34.30","663","$22,741","-","Materials","2951805","US93317Q1058","Non-Nms Quotation Service (Nnqs)"
"GME","GAMESTOP CORP CLASS A","Equity","0.0176","16.02","1,566","$25,087","-","Consumer Discretionary","B0LLFT5","US36467W1099","New York Stock Exchange Inc."
"GMCR","GREEN MOUNTAIN COFFEE ROASTERS INC","Equity","0.0183","18.26","1,425","$26,021","-","Consumer Staples","2387596","US3931221069","NASDAQ"
"AMD","ADVANCED MICRO DEVICES INC","Equity","0.0184","4.06","6,436","$26,130","-","Information Technology","2007849","US0079031078","NASDAQ"
"GNW","GENWORTH FINANCIAL A INC","Equity","0.0191","5.04","5,381","$27,120","-","Financials","B011WL6","US37247D1063","New York Stock Exchange Inc."
"ST","SENSATA TECHNOLOGIES HOLDING N.V.","Equity","0.0195","28.71","966","$27,734","-","Industrials","B62S207","NL0009324904","New York Stock Exchange Inc."
"PBI","PITNEY BOWES INC","Equity","0.0199","13.36","2,113","$28,230","-","Industrials","2690506","US7244791007","New York Stock Exchange Inc."
"CREE","CREE INC","Equity","0.0204","23.95","1,213","$29,051","-","Information Technology","2232351","US2254471012","NASDAQ"
"PCS","METROPCS COMMUNICATIONS INC.","Equity","0.0208","8.76","3,375","$29,565","-","Telecommunication Services","B02F228","US5917081029","New York Stock Exchange Inc."
"GT","GOODYEAR TIRE & RUBBER","Equity","0.0211","11.45","2,624","$30,045","-","Consumer Discretionary","2378200","US3825501014","NASDAQ"
"URS","URS CORP","Equity","0.0213","35.07","864","$30,300","-","Industrials","2910550","US9032361076","New York Stock Exchange Inc."
"DLPH","DELPHI AUTOMOTIVE PLC","Equity","0.0215","28.39","1,077","$30,576","-","Consumer Discretionary","B783TY6","JE00B783TY65","New York Stock Exchange Inc."
"LVLT","LEVEL COMMUNICATIONS INC","Equity","0.0217","19.27","1,601","$30,851","-","Telecommunication Services","B5LL299","US52729N3089","New York Stock Exchange Inc."
"ANF","ABERCROMBIE & FITCH CO. CL A","Equity","0.0219","33.80","922","$31,164","-","Consumer Discretionary","2004185","US0028962076","New York Stock Exchange Inc."
"MAN","MANPOWERGROUP","Equity","0.0222","35.58","888","$31,595","-","Industrials","2562490","US56418H1005","New York Stock Exchange Inc."
"CLR","CONTINENTAL RESOURCES INC","Equity","0.0222","63.99","494","$31,611","-","Energy","B1XGWS3","US2120151012","New York Stock Exchange Inc."
"OI","OWENS ILLINOIS INC","Equity","0.0222","18.45","1,714","$31,623","-","Materials","2662862","US6907684038","New York Stock Exchange Inc."
"FRC","FIRST REPUBLIC BANK","Equity","0.0228","32.53","995","$32,367","-","Financials","B4WHY15","US33616C1009","New York Stock Exchange Inc."
"ATI","ALLEGHENY TECHNOLOGIES INC","Equity","0.0228","30.03","1,078","$32,372","-","Materials","2526117","US01741R1023","New York Stock Exchange Inc."
"NDAQ","NASDAQ INC","Equity","0.0228","22.70","1,427","$32,393","-","Financials","2965107","US6311031081","NASDAQ"
"SEE","SEALED AIR CORP","Equity","0.0228","16.20","2,001","$32,416","-","Materials","2232793","US81211K1007","New York Stock Exchange Inc."
"WCRX","WARNER CHILCOTT PLC CLASS A","Equity","0.0229","17.00","1,914","$32,538","-","Health Care","B446CM7","IE00B446CM77","NASDAQ"
"SEIC","SEI INVESTMENTS","Equity","0.0230","21.18","1,547","$32,765","-","Financials","2793610","US7841171033","NASDAQ"
"NFLX","NETFLIX INC","Equity","0.0231","56.85","577","$32,802","-","Consumer Discretionary","2857817","US64110L1061","NASDAQ"
"HCBK","HUDSON CITY BANCORP INC","Equity","0.0232","6.35","5,183","$32,912","-","Financials","2437952","US4436831071","NASDAQ"
"PDCO","PATTERSON COMPANIES INC","Equity","0.0233","34.10","971","$33,111","-","Health Care","2672689","US7033951036","NASDAQ"
"SPXC","SPX CORP","Equity","0.0234","60.72","547","$33,214","-","Industrials","2787185","US7846351044","New York Stock Exchange Inc."
"H9B1","HERC HOLDINGS INC","Equity","0.0235","11.26","2,970","$33,442","-","Industrials","B1HKTD5","US42805T1051","Boerse Berlin"
"USX1","US STEEL CORP CORP","Equity","0.0236","20.65","1,628","$33,618","-","Materials","B1C5WK3","US9129091081","Deutsche Boerse Ag"
"LM","LEGG MASON INC","Equity","0.0237","24.52","1,375","$33,715","-","Financials","2510615","US5249011058","New York Stock Exchange Inc."
"CVC","CABLEVISION SYSTEMS CORP CLASS A","Equity","0.0238","15.34","2,204","$33,809","-","Consumer Discretionary","2162243","US12686C1099","New York Stock Exchange Inc."
"EV","EATON VANCE COM NON VOTING CORP","Equity","0.0239","26.53","1,283","$34,038","-","Financials","2301057","US2782651036","New York Stock Exchange Inc."
"LDOS","SAIC INC","Equity","0.0240","11.57","2,953","$34,166","-","Information Technology","B1FWD42","US78390X1019","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.0241","76.92","445","$34,229","-","Consumer Discretionary","B4XT1S6","US16117M3051","NASDAQ"
"AIZ","ASSURANT INC","Equity","0.0244","36.21","959","$34,725","-","Financials","2331430","US04621X1081","New York Stock Exchange Inc."
"APOL","APOLLO EDUCATION GROUP INC CLASS A","Equity","0.0244","27.20","1,277","$34,734","-","Consumer Discretionary","2043694","US0376041051","NASDAQ"
"FLIR","FLIR SYSTEMS INC","Equity","0.0246","20.45","1,708","$34,929","-","Information Technology","2344717","US3024451011","NASDAQ"
