iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"31-Aug-2012"
Total Net Assets,"-"
Shares Outstanding,"4,800,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"LVNAR","LIBERTY VENTURES RTS","Equity","0.0007","9.98","100","$995","-","Consumer Discretionary","B7JST73","US53071M1128","-"
"NIHDQ","NII HOLDINGS INC CLASS B","Equity","0.0072","6.24","1,687","$10,527","-","Telecommunication Services","2090485","US62913F2011","Non-Nms Quotation Service (Nnqs)"
"ANRZQ","ALPHA NATURAL RESOURCES INC","Equity","0.0091","5.94","2,222","$13,199","-","Energy","B066NX5","US02076X1028","Non-Nms Quotation Service (Nnqs)"
"UAL","UNITED CONTINENTAL HOLDINGS INC","Equity","0.0120","18.45","949","$17,509","-","Industrials","B4QG225","US9100471096","New York Stock Exchange Inc."
"DLB","DOLBY LABORATORIES INC. CL A","Equity","0.0131","33.18","576","$19,112","-","Information Technology","B04NJM9","US25659T1079","New York Stock Exchange Inc."
"LUV","SOUTHWEST AIRLINES","Equity","0.0132","8.94","2,144","$19,167","-","Industrials","2831543","US8447411088","New York Stock Exchange Inc."
"DAL","DELTA AIR LINES INC","Equity","0.0139","8.65","2,345","$20,284","-","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"GHC","GRAHAM HOLDINGS COMPANY CO CLASS B","Equity","0.0141","352.50","58","$20,445","-","Consumer Discretionary","2942003","US9396401088","New York Stock Exchange Inc."
"SHLD","SEARS HOLDINGS CORP","Equity","0.0147","52.75","405","$21,364","-","Consumer Discretionary","2634805","US8123501061","NASDAQ"
"WLTGQ","WALTER ENERGY INC","Equity","0.0149","32.70","663","$21,680","-","Materials","2951805","US93317Q1058","Non-Nms Quotation Service (Nnqs)"
"AMD","ADVANCED MICRO DEVICES INC","Equity","0.0165","3.72","6,436","$23,942","-","Information Technology","2007849","US0079031078","NASDAQ"
"WCRX","WARNER CHILCOTT PLC CLASS A","Equity","0.0179","13.62","1,914","$26,069","-","Health Care","B446CM7","IE00B446CM77","NASDAQ"
"PBI","PITNEY BOWES INC","Equity","0.0194","13.36","2,113","$28,230","-","Industrials","2690506","US7244791007","New York Stock Exchange Inc."
"GNW","GENWORTH FINANCIAL A INC","Equity","0.0196","5.29","5,381","$28,465","-","Financials","B011WL6","US37247D1063","New York Stock Exchange Inc."
"SEE","SEALED AIR CORP","Equity","0.0196","14.27","2,001","$28,554","-","Materials","2232793","US81211K1007","New York Stock Exchange Inc."
"ST","SENSATA TECHNOLOGIES HOLDING N.V.","Equity","0.0199","30.03","966","$29,009","-","Industrials","B62S207","NL0009324904","New York Stock Exchange Inc."
"GME","GAMESTOP CORP CLASS A","Equity","0.0205","19.08","1,566","$29,879","-","Consumer Discretionary","B0LLFT5","US36467W1099","New York Stock Exchange Inc."
"OI","OWENS ILLINOIS INC","Equity","0.0206","17.48","1,714","$29,961","-","Materials","2662862","US6907684038","New York Stock Exchange Inc."
"URS","URS CORP","Equity","0.0216","36.41","864","$31,458","-","Industrials","2910550","US9032361076","New York Stock Exchange Inc."
"USX1","US STEEL CORP CORP","Equity","0.0218","19.45","1,628","$31,665","-","Materials","B1C5WK3","US9129091081","Deutsche Boerse Ag"
"ATI","ALLEGHENY TECHNOLOGIES INC","Equity","0.0220","29.64","1,078","$31,952","-","Materials","2526117","US01741R1023","New York Stock Exchange Inc."
"GT","GOODYEAR TIRE & RUBBER","Equity","0.0220","12.20","2,624","$32,013","-","Consumer Discretionary","2378200","US3825501014","NASDAQ"
"FRC","FIRST REPUBLIC BANK","Equity","0.0224","32.69","995","$32,527","-","Financials","B4WHY15","US33616C1009","New York Stock Exchange Inc."
"DLPH","DELPHI AUTOMOTIVE PLC","Equity","0.0224","30.29","1,077","$32,622","-","Consumer Discretionary","B783TY6","JE00B783TY65","New York Stock Exchange Inc."
"NDAQ","NASDAQ INC","Equity","0.0224","22.87","1,427","$32,635","-","Financials","2965107","US6311031081","NASDAQ"
"PCS","METROPCS COMMUNICATIONS INC.","Equity","0.0226","9.73","3,375","$32,839","-","Telecommunication Services","B02F228","US5917081029","New York Stock Exchange Inc."
"CVC","CABLEVISION SYSTEMS CORP CLASS A","Equity","0.0227","14.95","2,204","$32,950","-","Consumer Discretionary","2162243","US12686C1099","New York Stock Exchange Inc."
"MAN","MANPOWERGROUP","Equity","0.0227","37.11","888","$32,954","-","Industrials","2562490","US56418H1005","New York Stock Exchange Inc."
"PDCO","PATTERSON COMPANIES INC","Equity","0.0227","33.97","971","$32,985","-","Health Care","2672689","US7033951036","NASDAQ"
"ANF","ABERCROMBIE & FITCH CO. CL A","Equity","0.0228","35.99","922","$33,183","-","Consumer Discretionary","2004185","US0028962076","New York Stock Exchange Inc."
"SEIC","SEI INVESTMENTS","Equity","0.0231","21.75","1,547","$33,647","-","Financials","2793610","US7841171033","NASDAQ"
"LM","LEGG MASON INC","Equity","0.0232","24.58","1,375","$33,798","-","Financials","2510615","US5249011058","New York Stock Exchange Inc."
