iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"28-Sep-2012"
Total Net Assets,"-"
Shares Outstanding,"4,650,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL*","APPLE INC","Equity","4.6106","667.26","9,933","$6,627,894","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"XOM","EXXON MOBIL CORP","Equity","3.1411","91.45","49,377","$4,515,527","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"GEC","GENERAL ELECTRIC CO.","Equity","1.7797","22.71","112,653","$2,558,350","-","Industrials","5254471","US3696041033","Deutsche Boerse Ag"
"CVX","CHEVRON CORP","Equity","1.7003","116.56","20,970","$2,444,263","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.6725","207.45","11,590","$2,404,346","-","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.6479","29.78","79,547","$2,368,910","-","Information Technology","2588173","US5949181045","NASDAQ"
"T","AT&T INC","Equity","1.6344","37.70","62,322","$2,349,539","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"GOOGL","GOOGLE INC CLASS A","Equity","1.4502","754.50","2,763","$2,084,684","-","Information Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"PG","PROCTER & GAMBLE","Equity","1.4031","69.36","29,081","$2,017,058","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.3948","68.91","29,098","$2,005,143","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.3759","24.85","79,596","$1,977,961","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"WFC*","WELLS FARGO CO","Equity","1.2893","34.53","53,678","$1,853,501","-","Financials","B045BZ2","US9497461015","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"JPM","JPMORGAN CHASE","Equity","1.1379","40.48","40,408","$1,635,716","-","Financials","0190031","US46625H1005","London Stock Exchange"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","1.1325","89.94","18,101","$1,628,004","-","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.1263","37.93","42,685","$1,619,042","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.0155","73.80","19,780","$1,459,764","-","Consumer Staples","2961280","US9311421039","Bolsa De Valores De Lima"
"MRK","MERCK & CO INC","Equity","1.0146","45.10","32,340","$1,458,534","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.9478","45.57","29,899","$1,362,497","-","Telecommunication Services","2090571","US92343V1044","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.9191","31.49","41,956","$1,321,194","-","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"INCO","INTEL CORPORATION CORP","Equity","0.8347","22.68","52,905","$1,199,885","-","Information Technology","5923652","US4581401001","Nyse Euronext - Euronext Amsterdam"
"PEP","PEPSICO INC","Equity","0.8114","70.77","16,481","$1,166,360","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.7980","68.56","16,733","$1,147,214","-","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"QCI","QUALCOMM","Equity","0.7925","62.49","18,231","$1,139,255","-","Information Technology","5382468","US7475251036","Deutsche Boerse Ag"
"CSCO","CISCO SYSTEMS INC","Equity","0.7562","19.09","56,941","$1,087,004","-","Information Technology","2198163","US17275R1023","NASDAQ"
"SLBA","SCHLUMBERGER LTD.","Equity","0.7136","72.33","14,182","$1,025,784","-","Energy","4779232","AN8068571086","Nyse Euronext - Euronext Amsterdam"
"C","CITIGROUP INC","Equity","0.7098","32.72","31,187","$1,020,439","-","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.7041","8.83","114,622","$1,012,112","-","Financials","BHZL9B0","US0605051046","Swiss Exchange"
"HD","HOME DEPOT INC","Equity","0.6833","60.37","16,270","$982,220","-","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"AMZN","AMAZON COM INC","Equity","0.6779","254.32","3,832","$974,554","-","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"MCD","MCDONALDS CORP","Equity","0.6756","91.75","10,586","$971,266","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.6564","52.28","18,049","$943,602","-","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","0.5993","88.20","9,768","$861,538","-","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","0.5584","35.77","22,442","$802,750","-","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"VISA","VISA INC","Equity","0.5248","134.28","5,618","$754,385","-","Information Technology","B73HHS3","US92826C8394","Spot Regulated Market - Bvb"
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.5162","86.06","8,623","$742,095","-","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"KFT","KRAFT FOODS INC A","Equity","0.5127","41.35","17,825","$737,064","-","-","2764296","US50075N1046","NASDAQ"
"COP","CONOCOPHILLIPS","Equity","0.5079","57.18","12,770","$730,189","-","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.5021","78.29","9,220","$721,834","-","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","0.4911","33.39","21,144","$705,998","-","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.4848","84.32","8,266","$696,989","-","Health Care","2023607","US0311621009","NASDAQ"
"USB","US BANCORP","Equity","0.4804","34.30","20,134","$690,596","-","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.4589","48.42","13,623","$659,626","-","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"MMM","3M CO","Equity","0.4505","92.42","7,008","$647,679","-","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"AEC1","AMERICAN EXPRESS ORD","Equity","0.4338","56.86","10,968","$623,640","-","Financials","4028440","US0258161092","Boerse Berlin"
"UNH","UNITEDHEALTH GROUP INC","Equity","0.4250","55.41","11,026","$610,951","-","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"EMC","EMC CORP","Equity","0.4221","27.27","22,252","$606,812","-","Information Technology","2295172","US2686481027","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.4198","118.70","5,084","$603,471","-","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"EBAY","EBAY INC","Equity","0.4164","48.41","12,364","$598,541","-","Information Technology","2293819","US2786421030","NASDAQ"
"CAT","CATERPILLAR INC.","Equity","0.4155","86.04","6,942","$597,290","-","Industrials","4516310","US1491231015","Swiss Exchange"
"BMY","BRISTOL MYERS SQUIBB","Equity","0.4119","33.75","17,543","$592,076","-","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.3929","113.68","4,968","$564,762","-","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.3827","71.57","7,687","$550,159","-","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.3782","107.22","5,071","$543,713","-","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"4XS","EXPRESS SCRIPTS HOLDING CO","Equity","0.3737","62.67","8,571","$537,145","-","Health Care","B7WDD51","US30219G1085","Deutsche Boerse Ag"
"GILD","GILEAD SCIENCES INC","Equity","0.3718","66.33","8,057","$534,421","-","Health Care","2369174","US3755581036","NASDAQ"
"LLY","ELI LILLY","Equity","0.3671","47.41","11,131","$527,721","-","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.3668","69.62","7,573","$527,232","-","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.3646","451.48","1,161","$524,168","-","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"MON","MONSANTO","Equity","0.3590","91.02","5,670","$516,083","-","Materials","2654320","US61166W1018","New York Stock Exchange Inc."
