iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"31-Oct-2012"
Total Net Assets,"-"
Shares Outstanding,"4,800,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL*","APPLE INC","Equity","4.1876","595.10","10,254","$6,102,155","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"XOM","EXXON MOBIL CORP","Equity","3.1889","91.17","50,970","$4,646,935","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.6370","110.21","21,645","$2,385,495","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"GEC","GENERAL ELECTRIC CO.","Equity","1.6806","21.06","116,286","$2,448,983","-","Industrials","5254471","US3696041033","Deutsche Boerse Ag"
"MSFT","MICROSOFT CORP","Equity","1.6079","28.54","82,112","$2,343,066","-","Information Technology","2588173","US5949181045","NASDAQ"
"PFE","PFIZER INC","Equity","1.4023","24.87","82,164","$2,043,419","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.1242","37.18","44,062","$1,638,225","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.5973","194.53","11,965","$2,327,551","-","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","1.0454","45.63","33,384","$1,523,312","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.5271","34.59","64,332","$2,225,244","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.9454","44.64","30,862","$1,377,680","-","Telecommunication Services","2090571","US92343V1044","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.4598","70.82","30,037","$2,127,220","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.9228","31.05","43,309","$1,344,744","-","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.4264","69.24","30,020","$2,078,585","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.8260","37.39","32,192","$1,203,659","-","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.8083","69.24","17,012","$1,177,911","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"GOOGL","GOOGLE INC CLASS A","Equity","1.3309","679.77","2,853","$1,939,384","-","Information Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"ABT","ABBOTT LABORATORIES","Equity","0.7766","65.52","17,273","$1,131,727","-","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
