iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"28-Mar-2013"
Total Net Assets,"$158,485,386"
Shares Outstanding,"4,700,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"XOM","EXXON MOBIL CORP","Equity","2.7762","90.11","48,828","$4,399,891","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"AAPL*","APPLE INC","Equity","2.8138","442.63","10,075","$4,459,497","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.5471","213.30","11,495","$2,451,884","-","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.5266","81.53","29,676","$2,419,484","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"GEC","GENERAL ELECTRIC CO.","Equity","1.6381","23.12","112,292","$2,596,191","-","Industrials","5254471","US3696041033","Deutsche Boerse Ag"
"GOOGL","GOOGLE INC CLASS A","Equity","1.4219","794.03","2,838","$2,253,457","-","Information Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"CVX","CHEVRON CORP","Equity","1.5713","118.82","20,959","$2,490,348","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"WFC*","WELLS FARGO CO","Equity","1.2498","36.99","53,550","$1,980,815","-","Financials","B045BZ2","US9497461015","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"PEP","PEPSICO INC","Equity","0.8267","79.11","16,561","$1,310,141","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"QCI","QUALCOMM","Equity","0.7707","66.95","18,243","$1,221,369","-","Information Technology","5382468","US7475251036","Deutsche Boerse Ag"
"MSFT","MICROSOFT CORP","Equity","1.4642","28.61","81,112","$2,320,614","-","Information Technology","2588173","US5949181045","NASDAQ"
"INCO","INTEL CORPORATION CORP","Equity","0.7344","21.85","53,270","$1,163,950","-","Information Technology","5923652","US4581401001","Nyse Euronext - Euronext Amsterdam"
"PFE","PFIZER INC","Equity","1.4356","28.86","78,839","$2,275,294","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.6761","99.69","10,748","$1,071,468","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.4236","77.06","29,279","$2,256,240","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"SLBA","SCHLUMBERGER LTD.","Equity","0.6716","74.89","14,212","$1,064,337","-","Energy","4779232","AN8068571086","Nyse Euronext - Euronext Amsterdam"
"AMZN","AMAZON COM INC","Equity","0.6522","266.49","3,879","$1,033,715","-","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"T","AT&T INC","Equity","1.4081","36.69","60,822","$2,231,559","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.6459","56.80","18,022","$1,023,650","-","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","0.6012","42.01","22,681","$952,829","-","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"JPM","JPMORGAN CHASE","Equity","1.2190","47.46","40,705","$1,931,859","-","Financials","0190031","US46625H1005","London Stock Exchange"
"-","BLACKROCK FDS III","Cash","0.5512","1.00","873,628","$873,628","-","S-T Securities","-","-","-"
"KO","COCA-COLA","Equity","1.1029","40.44","43,222","$1,747,898","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.5494","93.43","9,320","$870,768","-","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","1.0463","92.71","17,887","$1,658,304","-","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.5005","48.93","16,211","$793,204","-","Health Care","2369174","US3755581036","NASDAQ"
