iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"30-Apr-2013"
Total Net Assets,"$158,155,479"
Shares Outstanding,"4,600,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL*","APPLE INC","Equity","2.7628","442.75","9,869","$4,369,500","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"XOM","EXXON MOBIL CORP","Equity","2.6914","88.99","47,833","$4,256,659","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.6635","33.10","79,485","$2,630,954","-","Information Technology","2588173","US5949181045","NASDAQ"
"CVX","CHEVRON CORP","Equity","1.5845","122.01","20,539","$2,505,963","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.5671","85.23","29,080","$2,478,488","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"GEC","GENERAL ELECTRIC CO.","Equity","1.5508","22.29","110,038","$2,452,747","-","Industrials","5254471","US3696041033","Deutsche Boerse Ag"
"GOOGL","GOOGLE INC CLASS A","Equity","1.4504","824.57","2,782","$2,293,954","-","Information Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.4429","202.54","11,267","$2,282,018","-","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.4200","29.07","77,256","$2,245,832","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.4118","37.46","59,605","$2,232,803","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.3927","76.77","28,692","$2,202,685","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"WFC*","WELLS FARGO CO","Equity","1.2605","37.98","52,490","$1,993,570","-","Financials","B045BZ2","US9497461015","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"JPM","JPMORGAN CHASE","Equity","1.2365","49.01","39,901","$1,955,548","-","Financials","0190031","US46625H1005","London Stock Exchange"
"KO","COCA-COLA","Equity","1.1341","42.33","42,371","$1,793,564","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","1.0600","95.59","17,538","$1,676,457","-","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.0213","53.91","29,963","$1,615,305","-","Telecommunication Services","2090571","US92343V1044","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.9486","47.00","31,919","$1,500,193","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.9085","46.66","30,794","$1,436,848","-","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.8810","12.31","113,194","$1,393,418","-","Financials","BHZL9B0","US0605051046","Swiss Exchange"
"WMT","WALMART STORES INC","Equity","0.8632","77.72","17,565","$1,365,152","-","Consumer Staples","2961280","US9311421039","Bolsa De Valores De Lima"
"PEP","PEPSICO INC","Equity","0.8470","82.47","16,244","$1,339,643","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.8392","32.78","40,488","$1,327,197","-","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"INCO","INTEL CORPORATION CORP","Equity","0.7895","23.95","52,136","$1,248,657","-","Information Technology","5923652","US4581401001","Nyse Euronext - Euronext Amsterdam"
"CSCO","CISCO SYSTEMS INC","Equity","0.7358","20.92","55,629","$1,163,759","-","Information Technology","2198163","US17275R1023","NASDAQ"
"HD","HOME DEPOT INC","Equity","0.7266","73.35","15,667","$1,149,174","-","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.7008","62.84","17,638","$1,108,372","-","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","0.6971","106.32","10,370","$1,102,538","-","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"QCI","QUALCOMM","Equity","0.6957","61.62","17,855","$1,100,225","-","Information Technology","5382468","US7475251036","Deutsche Boerse Ag"
"MCD","MCDONALDS CORP","Equity","0.6794","102.14","10,520","$1,074,513","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"SLBA","SCHLUMBERGER LTD.","Equity","0.6546","74.43","13,910","$1,035,321","-","Energy","4779232","AN8068571086","Nyse Euronext - Euronext Amsterdam"
"AMZN","AMAZON COM INC","Equity","0.6093","253.81","3,797","$963,717","-","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"VISA","VISA INC","Equity","0.5977","168.46","5,611","$945,229","-","Information Technology","B73HHS3","US92826C8394","Spot Regulated Market - Bvb"
"CMCSA","COMCAST A CORP","Equity","0.5797","41.30","22,199","$916,819","-","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"AMGN","AMGEN INC","Equity","0.5296","104.21","8,038","$837,640","-","Health Care","2023607","US0311621009","NASDAQ"
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.5265","91.29","9,122","$832,747","-","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.5080","50.64","15,867","$803,505","-","Health Care","2369174","US3755581036","NASDAQ"
