iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"31-Jul-2013"
Total Net Assets,"$184,943,485"
Shares Outstanding,"5,100,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL*","APPLE INC","Equity","2.6774","452.50","10,943","$4,951,708","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"XOM","EXXON MOBIL CORP","Equity","2.6467","93.75","52,213","$4,894,969","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.6469","93.50","32,575","$3,045,763","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.5960","31.83","92,732","$2,951,660","-","Information Technology","2588173","US5949181045","NASDAQ"
"GEC","GENERAL ELECTRIC CO.","Equity","1.5925","24.37","120,857","$2,945,285","-","Industrials","5254471","US3696041033","Deutsche Boerse Ag"
"CVX","CHEVRON CORP","Equity","1.5410","125.89","22,639","$2,850,024","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"GOOGL","GOOGLE INC CLASS A","Equity","1.4964","887.60","3,118","$2,767,537","-","Information Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"PG","PROCTER & GAMBLE","Equity","1.3821","80.30","31,833","$2,556,190","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"WFC*","WELLS FARGO CO","Equity","1.3725","43.50","58,353","$2,538,356","-","Financials","B045BZ2","US9497461015","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"JPM","JPMORGAN CHASE","Equity","1.3440","55.73","44,603","$2,485,725","-","Financials","0190031","US46625H1005","London Stock Exchange"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.3014","195.04","12,340","$2,406,794","-","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.2267","29.23","77,617","$2,268,745","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.2205","35.27","63,997","$2,257,174","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.0133","40.08","46,755","$1,873,940","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.9987","52.14","35,425","$1,847,060","-","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.9957","14.60","126,133","$1,841,542","-","Financials","BHZL9B0","US0605051046","Swiss Exchange"
