iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"30-Aug-2013"
Total Net Assets,"$179,830,286"
Shares Outstanding,"5,100,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL*","APPLE INC","Equity","2.9687","487.05","10,961","$5,338,555","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"XOM","EXXON MOBIL CORP","Equity","2.5347","87.16","52,296","$4,558,119","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.7251","33.40","92,881","$3,102,225","-","Information Technology","2588173","US5949181045","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.5678","86.41","32,628","$2,819,385","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"GEC","GENERAL ELECTRIC CO.","Equity","1.5577","23.14","121,052","$2,801,143","-","Industrials","5254471","US3696041033","Deutsche Boerse Ag"
"CVX","CHEVRON CORP","Equity","1.5186","120.43","22,676","$2,730,871","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"GOOGL","GOOGLE INC CLASS A","Equity","1.4708","846.90","3,123","$2,644,869","-","Information Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"PG","PROCTER & GAMBLE","Equity","1.3810","77.89","31,885","$2,483,523","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"WFC*","WELLS FARGO CO","Equity","1.3351","41.08","58,447","$2,401,003","-","Financials","B045BZ2","US9497461015","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"JPM","JPMORGAN CHASE","Equity","1.2553","50.53","44,676","$2,257,478","-","Financials","0190031","US46625H1005","London Stock Exchange"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.2526","182.27","12,358","$2,252,493","-","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.2196","28.21","77,746","$2,193,215","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.2059","33.83","64,100","$2,168,503","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.9943","38.18","46,831","$1,788,008","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.9920","14.12","126,342","$1,783,949","-","Financials","BHZL9B0","US0605051046","Swiss Exchange"
"C","CITIGROUP INC","Equity","0.9536","48.33","35,484","$1,714,942","-","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.9282","47.29","35,298","$1,669,242","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.8929","83.44","19,244","$1,605,719","-","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.8795","47.38","33,381","$1,581,592","-","Telecommunication Services","2090571","US92343V1044","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.8073","23.31","62,279","$1,451,723","-","Information Technology","2198163","US17275R1023","NASDAQ"
"PEP","PEPSICO INC","Equity","0.7993","79.73","18,027","$1,437,293","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","0.7931","72.98","19,544","$1,426,321","-","Consumer Staples","2961280","US9311421039","Bolsa De Valores De Lima"
"ORCL","ORACLE CORP","Equity","0.7841","31.86","44,260","$1,410,124","-","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","0.7731","111.22","12,500","$1,390,250","-","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"QCI","QUALCOMM","Equity","0.7388","66.28","20,045","$1,328,583","-","Information Technology","5382468","US7475251036","Deutsche Boerse Ag"
"HD","HOME DEPOT INC","Equity","0.7225","74.49","17,442","$1,299,255","-","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"INCO","INTEL CORPORATION CORP","Equity","0.7050","21.98","57,683","$1,267,872","-","Information Technology","5923652","US4581401001","Nyse Euronext - Euronext Amsterdam"
"SLBA","SCHLUMBERGER LTD.","Equity","0.6990","80.94","15,531","$1,257,079","-","Energy","4779232","AN8068571086","Nyse Euronext - Euronext Amsterdam"
"DIS","WALT DISNEY","Equity","0.6769","60.83","20,010","$1,217,208","-","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"AMZN","AMAZON COM INC","Equity","0.6639","280.98","4,249","$1,193,884","-","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"MCD","MCDONALDS CORP","Equity","0.6138","94.36","11,697","$1,103,729","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"VISA","VISA INC","Equity","0.5988","174.42","6,174","$1,076,869","-","Information Technology","B73HHS3","US92826C8394","Spot Regulated Market - Bvb"
"GILD","GILEAD SCIENCES INC","Equity","0.5956","60.27","17,771","$1,071,058","-","Health Care","2369174","US3755581036","NASDAQ"
"CMCSA","COMCAST A CORP","Equity","0.5796","42.09","24,763","$1,042,275","-","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.5656","100.10","10,161","$1,017,116","-","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.5293","108.94","8,737","$951,809","-","Health Care","2023607","US0311621009","NASDAQ"
"COP","CONOCOPHILLIPS","Equity","0.4993","66.30","13,543","$897,901","-","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.4841","103.92","8,378","$870,642","-","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"MMM","3M CO","Equity","0.4836","113.58","7,656","$869,568","-","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","0.4767","71.74","11,950","$857,293","-","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.4681","153.54","5,482","$841,706","-","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"AEC1","AMERICAN EXPRESS ORD","Equity","0.4640","71.91","11,604","$834,444","-","Financials","4028440","US0258161092","Boerse Berlin"
"CVS","CVS HEALTH CORP","Equity","0.4639","58.05","14,372","$834,295","-","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.4615","88.21","9,409","$829,968","-","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.4434","41.69","19,125","$797,321","-","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","0.4421","33.88","23,467","$795,062","-","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"ABBV","ABBVIE INC.","Equity","0.4374","42.61","18,460","$786,581","-","Health Care","B8S0P46","US00287Y1091","Nyse Euronext - Euronext Paris"
"USB","US BANCORP","Equity","0.4373","36.13","21,768","$786,478","-","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.4367","152.13","5,162","$785,295","-","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"FB*","FACEBOOK CLASS A INC","Equity","0.4282","41.28","18,652","$769,955","-","Information Technology","B8WST99","US30303M1027","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"AIG*","AMERICAN INTERNATIONAL GROUP INC","Equity","0.4233","46.46","16,383","$761,154","-","Financials","B00PHX6","US0268747849","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"MA","MASTERCARD INC CLASS A","Equity","0.4183","606.08","1,241","$752,145","-","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.4059","85.58","8,530","$729,997","-","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"F","FORD MOTOR ORD","Equity","0.3860","16.19","42,879","$694,211","-","Consumer Discretionary","4232490","US3453708600","Swiss Exchange"
"ALD","HONEYWELL INTERNATIONAL","Equity","0.3850","79.57","8,701","$692,339","-","Industrials","4020822","US4385161066","Boerse Berlin"
"CELG","CELGENE CORP","Equity","0.3812","139.98","4,897","$685,482","-","Health Care","2182348","US1510201049","NASDAQ"
"EBAY","EBAY INC","Equity","0.3789","49.99","13,632","$681,464","-","Information Technology","2293819","US2786421030","NASDAQ"
"TWX*","TIME WARNER INC","Equity","0.3679","60.53","10,929","$661,532","-","Consumer Discretionary","B3QHV68","US8873173038","Bolsa Mexicana De Valores (Mexican Stock Exchange)"
"EMC","EMC CORP","Equity","0.3522","25.78","24,566","$633,311","-","Information Technology","2295172","US2686481027","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC.","Equity","0.3516","82.54","7,660","$632,256","-","Industrials","4516310","US1491231015","Swiss Exchange"
"CL","COLGATE-PALMOLIVE","Equity","0.3513","57.77","10,937","$631,830","-","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"DD","E I DU PONT DE NEMOURS","Equity","0.3436","56.62","10,912","$617,837","-","Materials","2018175","US2635341090","New York Stock Exchange Inc."
"SBUX","STARBUCKS CORP","Equity","0.3425","70.52","8,734","$615,922","-","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"LLY","ELI LILLY","Equity","0.3410","51.40","11,932","$613,305","-","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"MON","MONSANTO","Equity","0.3409","97.89","6,262","$612,987","-","Materials","2654320","US61166W1018","New York Stock Exchange Inc."
