iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"28-Nov-2014"
Total Net Assets,"$62,104,064"
Shares Outstanding,"1,400,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","3.6619","118.93","19,122","$2,274,179","-","Information Technology","2046251","US0378331005","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.9845","90.54","13,612","$1,232,430","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.9233","47.81","24,983","$1,194,437","-","Information Technology","2588173","US5949181045","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.5684","108.25","8,998","$974,034","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","1.3911","54.48","15,858","$863,944","-","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.3678","26.49","32,066","$849,428","-","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.2601","90.43","8,654","$782,581","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.1651","60.16","12,027","$723,544","-","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.0789","50.59","13,244","$670,014","-","Telecommunication Services","2090571","US92343V1044","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.0639","108.87","6,069","$660,732","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.0171","31.15","20,278","$631,660","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.9497","37.25","15,834","$589,817","-","Information Technology","2463247","US4581401001","NASDAQ"
"T","AT&T INC","Equity","0.9448","35.38","16,585","$586,777","-","Telecommunication Services","2831811","US00206R1023","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.9228","17.04","33,632","$573,089","-","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.9098","44.83","12,603","$564,992","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.8973","60.40","9,226","$557,250","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","0.8796","148.69","3,674","$546,287","-","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.8427","53.97","9,697","$523,347","-","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"GOOG","GOOGLE INC CLASS C","Equity","0.8018","541.83","919","$497,942","-","Information Technology","BKM4JZ7","US38259P7069","NASDAQ"
"GOOGL","GOOGLE INC CLASS A","Equity","0.8010","549.08","906","$497,466","-","Information Technology","B020QX2","US38259P5089","NASDAQ"
