iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"27-Feb-2015"
Total Net Assets,"$49,810,708"
Shares Outstanding,"1,100,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","3.8140","128.46","14,789","$1,899,795","1,899,794.94","Information Technology","2046251","US0378331005","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.8989","88.54","10,683","$945,873","945,872.82","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.7383","43.85","19,746","$865,862","865,862.10","Information Technology","2588173","US5949181045","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.4525","102.51","7,058","$723,516","723,515.58","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","1.3694","54.79","12,449","$682,081","682,080.71","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.3212","25.99","25,322","$658,119","658,118.78","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.1656","85.13","6,820","$580,587","580,586.60","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.1616","61.28","9,442","$578,606","578,605.76","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.0968","34.32","15,918","$546,306","546,305.76","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.0388","49.45","10,464","$517,445","517,444.80","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.0205","106.68","4,765","$508,330","508,330.20","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.9075","34.56","13,079","$452,010","452,010.24","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.8657","43.30","9,959","$431,225","431,224.70","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","0.8621","147.41","2,913","$429,405","429,405.33","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.8488","104.08","4,062","$422,773","422,772.96","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.8449","58.54","7,189","$420,844","420,844.06","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.8417","15.81","26,518","$419,250","419,249.58","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"GOOG","GOOGLE INC CLASS C","Equity","0.8150","558.40","727","$405,957","405,956.80","Information Technology","BKM4JZ7","US38259P7069","NASDAQ"
"INTC","INTEL CORPORATION CORP","Equity","0.8139","33.25","12,192","$405,384","405,384.00","Information Technology","2463247","US4581401001","NASDAQ"
"GOOGL","GOOGLE INC CLASS A","Equity","0.8110","562.63","718","$403,968","403,968.34","Information Technology","B020QX2","US38259P5089","NASDAQ"
"C","CITIGROUP INC","Equity","0.8047","52.42","7,646","$400,803","400,803.32","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"FB","FACEBOOK CLASS A INC","Equity","0.8002","78.97","5,047","$398,562","398,561.59","Information Technology","B7TL820","US30303M1027","NASDAQ"
"GILD","GILEAD SCIENCES INC","Equity","0.7921","103.53","3,811","$394,553","394,552.83","Health Care","2369174","US3755581036","NASDAQ"
"ORCL","ORACLE CORP","Equity","0.7869","43.82","8,945","$391,970","391,969.90","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.7731","161.94","2,378","$385,093","385,093.32","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.7655","114.75","3,323","$381,314","381,314.25","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.7639","29.51","12,894","$380,502","380,501.94","Information Technology","2198163","US17275R1023","NASDAQ"
"AMZN","AMAZON COM INC","Equity","0.7571","380.16","992","$377,119","377,118.72","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"PEP","PEPSICO INC","Equity","0.7511","98.98","3,780","$374,144","374,144.40","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","0.6856","83.93","4,069","$341,511","341,511.17","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","0.6765","271.31","1,242","$336,967","336,967.02","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.6522","82.96","3,916","$324,871","324,871.36","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","0.6466","59.38","5,424","$322,077","322,077.12","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"QCOM","QUALCOMM INC","Equity","0.6114","72.51","4,200","$304,542","304,542.00","Information Technology","2714923","US7475251036","NASDAQ"
"AMGN","AMGEN INC","Equity","0.6073","157.72","1,918","$302,507","302,506.96","Health Care","2023607","US0311621009","NASDAQ"
"CVS","CVS HEALTH CORP","Equity","0.6050","103.87","2,901","$301,327","301,326.87","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","0.5619","56.29","4,972","$279,874","279,873.88","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.5570","77.59","3,576","$277,462","277,461.84","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","0.5548","113.63","2,432","$276,348","276,348.16","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.5485","84.16","3,246","$273,183","273,183.36","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.5428","120.26","2,248","$270,344","270,344.48","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.5362","121.91","2,191","$267,105","267,104.81","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"MMM","3M CO","Equity","0.5221","168.65","1,542","$260,058","260,058.30","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.5185","150.85","1,712","$258,255","258,255.20","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.5127","60.92","4,192","$255,377","255,376.64","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"BIIB","BIOGEN IDEC INC","Equity","0.4917","409.59","598","$244,935","244,934.82","Health Care","2455965","US09062X1037","NASDAQ"
