iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"29-May-2015"
Total Net Assets,"$49,951,635"
Shares Outstanding,"1,100,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","3.8219","130.28","15,320","$1,995,890","1,995,889.60","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","1.8392","46.86","20,496","$960,443","960,442.56","Information Technology","2588173","US5949181045","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.8002","85.20","11,034","$940,097","940,096.80","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.4023","100.14","7,313","$732,324","732,323.82","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.3819","27.27","26,463","$721,646","721,646.01","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","1.3796","55.96","12,874","$720,429","720,429.04","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.2351","65.78","9,805","$644,973","644,972.90","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.0737","34.75","16,136","$560,726","560,726.00","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.0659","78.39","7,101","$556,647","556,647.39","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.0344","49.44","10,926","$540,181","540,181.44","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.9755","103.00","4,946","$509,438","509,438.00","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.9026","34.54","13,647","$471,367","471,367.38","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.8974","110.37","4,246","$468,631","468,631.02","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.8740","16.50","27,662","$456,423","456,423.00","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.8703","60.89","7,464","$454,483","454,482.96","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"AMZN","AMAZON COM INC","Equity","0.8565","429.23","1,042","$447,258","447,257.66","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"KO","COCA-COLA","Equity","0.8510","40.96","10,850","$444,416","444,416.00","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.8423","112.27","3,918","$439,874","439,873.86","Health Care","2369174","US3755581036","NASDAQ"
