iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"30-Jun-2015"
Total Net Assets,"$51,005,693"
Shares Outstanding,"1,150,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","3.7594","125.43","15,288","$1,917,497","1,917,497.40","Information Technology","2046251","US0378331005","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.7959","83.20","11,010","$916,032","916,032.00","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.7703","44.15","20,452","$902,956","902,955.80","Information Technology","2588173","US5949181045","NASDAQ"
"WFC","WELLS FARGO","Equity","1.4157","56.24","12,839","$722,065","722,065.36","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.3935","97.46","7,293","$710,776","710,775.78","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.3747","26.57","26,390","$701,182","701,182.30","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.2986","67.76","9,775","$662,354","662,354.00","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.0893","78.24","7,101","$555,582","555,582.24","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.0569","33.53","16,077","$539,062","539,061.81","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.9984","46.61","10,926","$509,261","509,260.86","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.9504","35.52","13,647","$484,741","484,741.44","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.9502","114.14","4,246","$484,638","484,638.44","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.9355","96.47","4,946","$477,141","477,140.62","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.9231","17.02","27,662","$470,807","470,807.24","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.8994","117.08","3,918","$458,719","458,719.44","Health Care","2369174","US3755581036","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","0.8882","85.77","5,282","$453,011","453,010.73","Information Technology","B7TL820","US30303M1027","NASDAQ"
"AMZN","AMAZON COM INC","Equity","0.8826","434.09","1,037","$450,151","450,151.33","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"C","CITIGROUP INC","Equity","0.8614","55.24","7,954","$439,379","439,378.96","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.8384","39.23","10,900","$427,607","427,607.00","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.8331","56.93","7,464","$424,926","424,925.52","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"GOOG","GOOGLE INC CLASS C","Equity","0.8246","520.51","808","$420,572","420,572.08","Information Technology","BKM4JZ7","US38259P7069","NASDAQ"
