iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"30-Oct-2015"
Total Net Assets,"$47,880,604"
Shares Outstanding,"1,100,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"SNDK","SANDISK CORP","Equity","0.2483","77.00","1,545","$118,965","118,965.00","Information Technology","2765802","US80004C1018","NASDAQ"
"CAM","CAMERON INTERNATIONAL CORP","Equity","0.2373","68.01","1,672","$113,713","113,712.72","Energy","2222233","US13342B1052","New York Stock Exchange Inc."
"FCX","FREEPORT MCMORAN INC","Equity","0.2120","11.77","8,633","$101,610","101,610.41","Materials","2352118","US35671D8570","New York Stock Exchange Inc."
"KLAC","KLA TENCOR CORP","Equity","0.2112","67.12","1,508","$101,217","101,216.96","Information Technology","2480138","US4824801009","NASDAQ"
"CVC","CABLEVISION SYSTEMS CORP CLASS A","Equity","0.2110","32.59","3,103","$101,127","101,126.77","Consumer Discretionary","2162243","US12686C1099","New York Stock Exchange Inc."
"LNKD","LINKEDIN CORP CLASS A","Equity","0.2066","240.87","411","$98,998","98,997.57","Information Technology","B3ZVCQ8","US53578A1088","New York Stock Exchange Inc."
"NVDA","NVIDIA CORP","Equity","0.2039","28.37","3,444","$97,706","97,706.28","Information Technology","2379504","US67066G1040","NASDAQ"
"MXIM","MAXIM INTEGRATED PRODUCTS INC","Equity","0.1990","40.98","2,327","$95,360","95,360.46","Information Technology","2573760","US57772K1016","NASDAQ"
"TAP","MOLSON COORS BREWING CLASS B","Equity","0.1969","88.10","1,071","$94,355","94,355.10","Consumer Staples","B067BM3","US60871R2094","New York Stock Exchange Inc."
"AMZN","AMAZON COM INC","Equity","0.1959","625.90","150","$93,885","93,885.00","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"CXO","CONCHO RESOURCES INC","Equity","0.1947","115.91","805","$93,308","93,307.55","Energy","B1YWRK7","US20605P1012","New York Stock Exchange Inc."
"CE","CELANESE CORP SERIES A","Equity","0.1942","71.05","1,310","$93,076","93,075.50","Materials","B05MZT4","US1508701034","New York Stock Exchange Inc."
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.1935","34.76","2,667","$92,705","92,704.92","Information Technology","2575818","US00507V1098","NASDAQ"
"CVX","CHEVRON CORP","Equity","0.1931","90.88","1,018","$92,516","92,515.84","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"EGN","ENERGEN CORP.","Equity","0.1919","58.15","1,581","$91,935","91,935.15","Energy","2012672","US29265N1081","New York Stock Exchange Inc."
"LEA","LEAR CORP","Equity","0.1916","125.06","734","$91,794","91,794.04","Consumer Discretionary","B570P91","US5218652049","New York Stock Exchange Inc."
"DOW","DOW CHEMICAL","Equity","0.1912","51.67","1,773","$91,611","91,610.91","Materials","2278719","US2605431038","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.1908","33.86","2,700","$91,422","91,422.00","Information Technology","2463247","US4581401001","NASDAQ"
"WFT","WEATHERFORD INTERNATIONAL PLC","Equity","0.1904","10.24","8,911","$91,249","91,248.64","Energy","BLNN369","IE00BLNN3691","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENTS INCORPORATED","Equity","0.1900","56.72","1,605","$91,036","91,035.60","Information Technology","2885409","US8825081040","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","0.1895","52.64","1,725","$90,804","90,804.00","Information Technology","2588173","US5949181045","NASDAQ"
"CFG","CITIZENS FINANCIAL GROUP INC","Equity","0.1885","24.30","3,718","$90,347","90,347.40","Financials","BQRX1X3","US1746101054","New York Stock Exchange Inc."
"DD","E I DU PONT DE NEMOURS","Equity","0.1884","63.40","1,424","$90,282","90,281.60","Materials","2018175","US2635341090","New York Stock Exchange Inc."
"CLR","CONTINENTAL RESOURCES INC","Equity","0.1872","33.91","2,646","$89,726","89,725.86","Energy","B1XGWS3","US2120151012","New York Stock Exchange Inc."
"SIG","SIGNET JEWELERS LTD","Equity","0.1871","150.94","594","$89,658","89,658.36","Consumer Discretionary","B3CTNK6","BMG812761002","New York Stock Exchange Inc."
"ALKS","ALKERMES PLC","Equity","0.1870","71.92","1,246","$89,612","89,612.32","Health Care","B3P6D26","IE00B56GVS15","NASDAQ"
"EOG","EOG RESOURCES INC","Equity","0.1869","85.85","1,043","$89,542","89,541.55","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"PXD","PIONEER NATURAL RESOURCE","Equity","0.1866","137.14","652","$89,415","89,415.28","Energy","2690830","US7237871071","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.1865","34.91","2,560","$89,370","89,369.60","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"TRMB","TRIMBLE NAVIGATION LTD","Equity","0.1858","22.75","3,914","$89,044","89,043.50","Information Technology","2903958","US8962391004","NASDAQ"
"LUV","SOUTHWEST AIRLINES","Equity","0.1847","46.29","1,912","$88,506","88,506.48","Industrials","2831543","US8447411088","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.1846","131.03","675","$88,445","88,445.25","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.1843","53.35","1,655","$88,294","88,294.25","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"PSX","PHILLIPS 66","Equity","0.1840","89.05","990","$88,160","88,159.50","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"JNPR","JUNIPER NETWORKS INC","Equity","0.1839","31.39","2,807","$88,112","88,111.73","Information Technology","2431846","US48203R1041","New York Stock Exchange Inc."
"TRIP","TRIPADVISOR INC","Equity","0.1836","83.78","1,050","$87,969","87,969.00","Consumer Discretionary","B6ZC3N6","US8969452015","NASDAQ"
"EXPE","EXPEDIA INC","Equity","0.1832","136.30","644","$87,777","87,777.20","Consumer Discretionary","B748CK2","US30212P3038","NASDAQ"
"ALV","AUTOLIV INC","Equity","0.1824","121.24","721","$87,414","87,414.04","Consumer Discretionary","2064253","US0528001094","New York Stock Exchange Inc."
"ALB","ALBEMARLE CORP.","Equity","0.1822","53.52","1,631","$87,291","87,291.12","Materials","2046853","US0126531013","New York Stock Exchange Inc."
"PCLN","PRICELINE GROUP INC/THE","Equity","0.1821","1,454.24","60","$87,254","87,254.40","Consumer Discretionary","2779063","US7415034039","NASDAQ"
"MCHP","MICROCHIP TECHNOLOGY INC","Equity","0.1818","48.29","1,804","$87,115","87,115.16","Information Technology","2592174","US5950171042","NASDAQ"
"GE","GENERAL ELECTRIC","Equity","0.1811","28.92","3,001","$86,789","86,788.92","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"CTXS","CITRIX SYSTEMS INC","Equity","0.1808","82.10","1,055","$86,616","86,615.50","Information Technology","2182553","US1773761002","NASDAQ"
"IPG","INTERPUBLIC GROUP OF COMPANIES INC","Equity","0.1807","22.93","3,777","$86,607","86,606.61","Consumer Discretionary","2466321","US4606901001","New York Stock Exchange Inc."
"SJM","JM SMUCKER","Equity","0.1798","117.39","734","$86,164","86,164.26","Consumer Staples","2951452","US8326964058","New York Stock Exchange Inc."
"LB","L BRANDS INC","Equity","0.1797","95.98","897","$86,094","86,094.06","Consumer Discretionary","B9M2WX3","US5017971046","New York Stock Exchange Inc."
"AAL","AMERICAN AIRLINES GROUP INC","Equity","0.1796","46.22","1,862","$86,062","86,061.64","Industrials","BCV7KT2","US02376R1023","NASDAQ"
"MCD","MCDONALDS CORP","Equity","0.1794","112.25","766","$85,984","85,983.50","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"URI","UNITED RENTALS INC","Equity","0.1793","74.86","1,148","$85,939","85,939.28","Industrials","2134781","US9113631090","New York Stock Exchange Inc."
"TSS","TOTAL SYSTEM SERVICES INC","Equity","0.1793","52.45","1,638","$85,913","85,913.10","Information Technology","2897697","US8919061098","New York Stock Exchange Inc."
"DAL","DELTA AIR LINES INC","Equity","0.1791","50.84","1,688","$85,818","85,817.92","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"XLNX","XILINX INC","Equity","0.1790","47.62","1,801","$85,764","85,763.62","Information Technology","2985677","US9839191015","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","0.1790","101.97","841","$85,757","85,756.77","Information Technology","B7TL820","US30303M1027","NASDAQ"
"DLR","DIGITAL REALTY TRUST REIT INC TRUS","Equity","0.1786","73.96","1,157","$85,572","85,571.72","Financials","B03GQS4","US2538681030","New York Stock Exchange Inc."
"SBUX","STARBUCKS CORP","Equity","0.1785","62.57","1,367","$85,533","85,533.19","Consumer Discretionary","2842255","US8552441094","NASDAQ"
