iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"29-Feb-2016"
Total Net Assets,"$33,821,614"
Shares Outstanding,"850,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"XRAY","DENTSPLY INTERNATIONAL INC","Equity","0.2929","60.96","1,625","$99,060","99,060.00","Health Care","2364339","US2490301072","NASDAQ"
"CLR","CONTINENTAL RESOURCES INC","Equity","0.2021","23.18","2,949","$68,358","68,357.82","Energy","B1XGWS3","US2120151012","New York Stock Exchange Inc."
"SPLK","SPLUNK INC","Equity","0.1949","43.60","1,512","$65,923","65,923.20","Information Technology","B424494","US8486371045","NASDAQ"
"LNG","CHENIERE ENERGY INC","Equity","0.1847","35.75","1,747","$62,455","62,455.25","Energy","2654364","US16411R2085","Nyse Mkt Llc"
"MRO","MARATHON OIL CORP","Equity","0.1840","8.21","7,581","$62,240","62,240.01","Energy","2910970","US5658491064","New York Stock Exchange Inc."
"S","SPRINT CORP","Equity","0.1837","3.44","18,065","$62,144","62,143.60","Telecommunications","BC4FF21","US85207U1051","New York Stock Exchange Inc."
"MDVN","MEDIVATION INC.","Equity","0.1793","35.77","1,695","$60,630","60,630.15","Health Care","B033T75","US58501N1019","NASDAQ"
"PANW","PALO ALTO NETWORKS INC.","Equity","0.1789","144.79","418","$60,522","60,522.22","Information Technology","B87ZMX0","US6974351057","New York Stock Exchange Inc."
"CF","CF INDUSTRIES HOLDINGS INC","Equity","0.1788","36.46","1,659","$60,487","60,487.14","Materials","B0G4K50","US1252691001","New York Stock Exchange Inc."
"OKE","ONEOK INC","Equity","0.1775","24.00","2,501","$60,024","60,024.00","Energy","2130109","US6826801036","New York Stock Exchange Inc."
"DATA","TABLEAU SOFTWARE INC CLASS A","Equity","0.1761","45.65","1,305","$59,573","59,573.25","Information Technology","B8DJFL5","US87336U1051","New York Stock Exchange Inc."
"HFC","HOLLYFRONTIER CORP","Equity","0.1754","33.82","1,754","$59,320","59,320.28","Energy","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"PAGP","PLAINS GP HOLDINGS CLASS A","Equity","0.1748","7.60","7,780","$59,128","59,128.00","Energy","BFMXX57","US72651A1088","New York Stock Exchange Inc."
"MOS","MOSAIC","Equity","0.1722","26.65","2,186","$58,257","58,256.90","Materials","B3NPHP6","US61945C1036","New York Stock Exchange Inc."
"QRVO","QORVO INC","Equity","0.1711","45.08","1,284","$57,883","57,882.72","Information Technology","BR9YYP4","US74736K1016","NASDAQ"
"PWR","QUANTA SERVICES INC.","Equity","0.1710","20.29","2,850","$57,827","57,826.50","Industrials","2150204","US74762E1029","New York Stock Exchange Inc."
"TSLA","TESLA MOTORS INC","Equity","0.1708","191.93","301","$57,771","57,770.93","Consumer Discretionary","B616C79","US88160R1014","NASDAQ"
"MPC","MARATHON PETROLEUM CORP","Equity","0.1707","34.25","1,686","$57,746","57,745.50","Energy","B3K3L40","US56585A1025","New York Stock Exchange Inc."
"BMRN","BIOMARIN PHARMACEUTICAL INC","Equity","0.1707","81.87","705","$57,718","57,718.35","Health Care","2437071","US09061G1013","NASDAQ"
"SIG","SIGNET JEWELERS LTD","Equity","0.1705","108.40","532","$57,669","57,668.80","Consumer Discretionary","B3CTNK6","BMG812761002","New York Stock Exchange Inc."
"N","NETSUITE INC.","Equity","0.1702","60.42","953","$57,580","57,580.26","Information Technology","B2B0FZ2","US64118Q1076","New York Stock Exchange Inc."
"MHK","MOHAWK INDUSTRIES INC","Equity","0.1701","179.73","320","$57,514","57,513.60","Consumer Discretionary","2598699","US6081901042","New York Stock Exchange Inc."
"CRM","SALESFORCE.COM INC","Equity","0.1697","67.75","847","$57,384","57,384.25","Information Technology","2310525","US79466L3024","New York Stock Exchange Inc."
