iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"30-Sep-2016"
Total Net Assets,"$73,544,422"
Shares Outstanding,"1,600,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.3080","46.53","4,868","$226,508","226,508.04","Consumer Discretionary","BY7QL61","IE00BY7QL619","New York Stock Exchange Inc."
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Equity","0.2621","67.33","2,863","$192,766","192,765.79","Consumer Discretionary","2210614","US5719032022","NASDAQ"
"TWTR","TWITTER INC","Equity","0.2065","23.05","6,590","$151,900","151,899.50","Information Technology","BFLR866","US90184L1026","New York Stock Exchange Inc."
"WDC","WESTERN DIGITAL CORP","Equity","0.2061","58.47","2,592","$151,554","151,554.24","Information Technology","2954699","US9581021055","NASDAQ"
"APC","ANADARKO PETROLEUM CORP","Equity","0.2037","63.36","2,364","$149,783","149,783.04","Energy","2032380","US0325111070","New York Stock Exchange Inc."
"APA","APACHE CORP","Equity","0.1999","63.87","2,302","$147,029","147,028.74","Energy","2043962","US0374111054","New York Stock Exchange Inc."
"STX","SEAGATE TECHNOLOGY PLC","Equity","0.1963","38.55","3,745","$144,370","144,369.75","Information Technology","B58JVZ5","IE00B58JVZ52","NASDAQ"
"SE","SPECTRA ENERGY CORP","Equity","0.1956","42.75","3,365","$143,854","143,853.75","Energy","B1L60G9","US8475601097","New York Stock Exchange Inc."
"INCY","INCYTE CORP","Equity","0.1921","94.29","1,498","$141,246","141,246.42","Health Care","2471950","US45337C1027","NASDAQ"
"ETFC","E*TRADE FINANCIAL CORP.","Equity","0.1876","29.12","4,739","$138,000","137,999.68","Financials","2299011","US2692464017","NASDAQ"
"PAGP","PLAINS GP HOLDINGS CLASS A","Equity","0.1861","12.94","10,576","$136,853","136,853.44","Energy","BFMXX57","US72651A1088","New York Stock Exchange Inc."
"ADSK","AUTODESK INC","Equity","0.1853","72.33","1,884","$136,270","136,269.72","Information Technology","2065159","US0527691069","NASDAQ"
"PANW","PALO ALTO NETWORKS INC.","Equity","0.1852","159.33","855","$136,227","136,227.15","Information Technology","B87ZMX0","US6974351057","New York Stock Exchange Inc."
"LVS","LAS VEGAS SANDS CORP","Equity","0.1850","57.54","2,365","$136,082","136,082.10","Consumer Discretionary","B02T2J7","US5178341070","New York Stock Exchange Inc."
"AMZN","AMAZON COM INC","Equity","0.1822","837.31","160","$133,970","133,969.60","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"GT","GOODYEAR TIRE & RUBBER","Equity","0.1820","32.30","4,143","$133,819","133,818.90","Consumer Discretionary","2378200","US3825501014","NASDAQ"
"NVDA","NVIDIA CORP","Equity","0.1817","68.52","1,950","$133,614","133,614.00","Information Technology","2379504","US67066G1040","NASDAQ"
"DISH","DISH NETWORK CORP CLASS A","Equity","0.1814","54.78","2,435","$133,389","133,389.30","Consumer Discretionary","2303581","US25470M1099","NASDAQ"
