iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"30-Dec-2016"
Total Net Assets,"$94,596,266"
Shares Outstanding,"2,000,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"EVHC","ENVISION HEALTHCARE CORP","Equity","0.2878","63.29","4,302","$272,274","272,273.58","Health Care","BD8NPH3","US29414D1000","New York Stock Exchange Inc."
"MAA","MID-AMERICA APARTMENT COMMUNITIES","Equity","0.2575","97.92","2,488","$243,625","243,624.96","Real Estate","2589132","US59522J1034","New York Stock Exchange Inc."
"HES","HESS CORP","Equity","0.1862","62.29","2,827","$176,094","176,093.83","Energy","2023748","US42809H1077","New York Stock Exchange Inc."
"HFC","HOLLYFRONTIER CORP","Equity","0.1831","32.76","5,286","$173,169","173,169.36","Energy","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"FANG","DIAMONDBACK ENERGY INC","Equity","0.1816","101.06","1,700","$171,802","171,802.00","Energy","B7Y8YR3","US25278X1090","NASDAQ"
"NVDA","NVIDIA CORP","Equity","0.1810","106.74","1,604","$171,211","171,210.96","Information Technology","2379504","US67066G1040","NASDAQ"
"XLNX","XILINX INC","Equity","0.1807","60.37","2,831","$170,907","170,907.47","Information Technology","2985677","US9839191015","NASDAQ"
"GS","GOLDMAN SACHS GROUP INC","Equity","0.1792","239.45","708","$169,531","169,530.60","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"ALV","AUTOLIV INC","Equity","0.1791","113.15","1,497","$169,386","169,385.55","Consumer Discretionary","2064253","US0528001094","New York Stock Exchange Inc."
"LULU","LULULEMON ATHLETICA INC","Equity","0.1784","64.99","2,597","$168,779","168,779.03","Consumer Discretionary","B23FN39","US5500211090","NASDAQ"
"FRC","FIRST REPUBLIC BANK","Equity","0.1779","92.14","1,826","$168,248","168,247.64","Financials","B4WHY15","US33616C1009","New York Stock Exchange Inc."
