iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"05-Jan-2017"
Total Net Assets,"$96,218,428"
Shares Outstanding,"2,000,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"EVHC","ENVISION HEALTHCARE CORP","Equity","0.2959","65.94","4,318","$284,729","284,728.92","Health Care","BD8NPH3","US29414D1000","New York Stock Exchange Inc."
"MAA","MID-AMERICA APARTMENT COMMUNITIES","Equity","0.2546","98.08","2,498","$245,004","245,003.84","Real Estate","2589132","US59522J1034","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.2281","39.70","5,528","$219,462","219,461.60","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"LULU","LULULEMON ATHLETICA INC","Equity","0.1866","68.73","2,612","$179,523","179,522.76","Consumer Discretionary","B23FN39","US5500211090","NASDAQ"
"HFC","HOLLYFRONTIER CORP","Equity","0.1864","33.75","5,315","$179,381","179,381.25","Energy","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"DLR","DIGITAL REALTY TRUST REIT INC TRUS","Equity","0.1844","105.24","1,686","$177,435","177,434.64","Real Estate","B03GQS4","US2538681030","New York Stock Exchange Inc."
"TSLA","TESLA MOTORS INC","Equity","0.1836","226.75","779","$176,638","176,638.25","Consumer Discretionary","B616C79","US88160R1014","NASDAQ"
"HES","HESS CORP","Equity","0.1835","62.10","2,843","$176,550","176,550.30","Energy","2023748","US42809H1077","New York Stock Exchange Inc."
"FANG","DIAMONDBACK ENERGY INC","Equity","0.1832","103.67","1,700","$176,239","176,239.00","Energy","B7Y8YR3","US25278X1090","NASDAQ"
"CF","CF INDUSTRIES HOLDINGS INC","Equity","0.1830","33.05","5,329","$176,123","176,123.45","Materials","B0G4K50","US1252691001","New York Stock Exchange Inc."
"ALXN","ALEXION PHARMACEUTICALS INC","Equity","0.1830","139.18","1,265","$176,063","176,062.70","Health Care","2036070","US0153511094","NASDAQ"
"NEM","NEWMONT MINING CORP","Equity","0.1825","36.57","4,802","$175,609","175,609.14","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"WFT","WEATHERFORD INTERNATIONAL PLC","Equity","0.1825","5.78","30,376","$175,573","175,573.28","Energy","BLNN369","IE00BLNN3691","New York Stock Exchange Inc."
"WDC","WESTERN DIGITAL CORP","Equity","0.1817","70.55","2,478","$174,823","174,822.90","Information Technology","2954699","US9581021055","NASDAQ"
"BWA","BORGWARNER INC","Equity","0.1811","40.77","4,273","$174,210","174,210.21","Consumer Discretionary","2111955","US0997241064","New York Stock Exchange Inc."
"CLB","CORE LABORATORIES NV","Equity","0.1806","125.37","1,386","$173,763","173,762.82","Energy","2182531","NL0000200384","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.1795","220.83","782","$172,689","172,689.06","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"TRGP","TARGA RESOURCES CORP.","Equity","0.1795","58.99","2,927","$172,664","172,663.73","Energy","B55PZY3","US87612G1013","New York Stock Exchange Inc."
"S","SPRINT CORP","Equity","0.1793","8.77","19,667","$172,480","172,479.59","Telecommunications","BC4FF21","US85207U1051","New York Stock Exchange Inc."
"AN","AUTONATION INC","Equity","0.1789","51.12","3,368","$172,172","172,172.16","Consumer Discretionary","2732635","US05329W1027","New York Stock Exchange Inc."
"KMX","CARMAX INC","Equity","0.1787","66.38","2,590","$171,924","171,924.20","Consumer Discretionary","2983563","US1431301027","New York Stock Exchange Inc."
"HAL","HALLIBURTON","Equity","0.1786","56.21","3,058","$171,890","171,890.18","Energy","2405302","US4062161017","New York Stock Exchange Inc."
